"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","226.13","229.14","231.45","225.92","817.06K","-1.25%"
"Dec 19, 2021","228.99","218.89","229.73","217.70","838.77K","2.88%"
"Dec 12, 2021","222.57","227.15","228.75","216.24","1.77M","-2.21%"
"Dec 05, 2021","227.59","219.19","233.71","215.97","1.19M","3.83%"
"Nov 28, 2021","219.19","237.45","238.00","215.66","2.28M","-6.74%"
"Nov 21, 2021","235.02","245.13","245.20","231.80","1.08M","-3.90%"
"Nov 14, 2021","244.55","248.80","251.53","244.44","989.06K","-1.39%"
"Nov 07, 2021","248.00","249.00","250.31","241.34","964.84K","0.04%"
"Oct 31, 2021","247.89","244.71","249.85","242.31","821.55K","1.40%"
"Oct 24, 2021","244.47","243.63","246.35","240.12","1.07M","0.29%"
"Oct 17, 2021","243.77","243.77","249.74","242.43","848.86K","-0.40%"
"Oct 10, 2021","244.76","237.43","245.41","235.35","883.75K","2.77%"
"Oct 03, 2021","238.17","237.14","242.05","229.44","1.22M","-0.30%"
"Sep 26, 2021","238.88","245.90","246.44","234.92","1.17M","-3.77%"
"Sep 19, 2021","248.23","242.14","248.40","237.90","1.36M","0.58%"
"Sep 12, 2021","246.79","248.52","248.57","243.36","1.36M","-0.23%"
"Sep 05, 2021","247.36","252.28","252.86","247.23","802.57K","-1.83%"
"Aug 29, 2021","251.98","248.56","252.38","247.86","901.54K","1.56%"
"Aug 22, 2021","248.11","239.34","248.44","239.33","1.21M","4.06%"
"Aug 15, 2021","238.42","240.41","240.99","233.49","893.69K","-1.21%"
"Aug 08, 2021","241.35","242.15","243.69","237.77","937.02K","-0.28%"
"Aug 01, 2021","242.02","243.00","245.07","239.09","1.08M","0.05%"
"Jul 25, 2021","241.90","251.01","251.79","241.53","1.95M","-3.78%"
"Jul 18, 2021","251.39","236.44","252.10","235.46","834.91K","4.97%"
"Jul 11, 2021","239.48","249.25","250.15","239.24","1.20M","-3.57%"
"Jul 04, 2021","248.34","247.35","251.41","242.50","755.97K","0.64%"
"Jun 27, 2021","246.75","244.54","247.00","243.19","967.60K","1.28%"
"Jun 20, 2021","243.63","236.91","245.13","234.11","1.32M","2.70%"
"Jun 13, 2021","237.22","234.79","238.48","230.73","924.06K","1.20%"
"Jun 06, 2021","234.41","227.35","234.46","227.32","800.63K","2.90%"
