"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","32.03","31.24","32.08","30.84","68.26M","2.33%"
"Dec 19, 2021","31.30","30.56","31.39","30.15","68.49M","0.55%"
"Dec 12, 2021","31.13","30.53","31.76","28.90","138.91M","2.10%"
"Dec 05, 2021","30.49","30.56","31.58","30.30","71.89M","-0.65%"
"Nov 28, 2021","30.69","32.03","33.03","30.05","124.59M","-4.45%"
"Nov 21, 2021","32.12","33.02","33.47","31.64","84.86M","-4.60%"
"Nov 14, 2021","33.67","34.79","35.08","33.66","84.78M","-3.16%"
"Nov 07, 2021","34.77","33.09","35.01","32.57","115.64M","6.17%"
"Oct 31, 2021","32.75","31.77","32.75","30.96","90.11M","3.28%"
"Oct 24, 2021","31.71","33.44","33.71","31.70","81.92M","-3.88%"
"Oct 17, 2021","32.99","32.40","33.95","32.08","87.98M","1.45%"
"Oct 10, 2021","32.52","30.71","32.93","30.51","123.91M","6.03%"
"Oct 03, 2021","30.67","29.23","31.36","29.17","122.15M","4.57%"
"Sep 26, 2021","29.33","29.83","30.24","28.83","136.17M","-1.18%"
"Sep 19, 2021","29.68","30.34","31.24","29.54","119.42M","-2.94%"
"Sep 12, 2021","30.58","31.68","32.62","30.35","136.15M","-2.92%"
"Sep 05, 2021","31.50","32.89","33.06","31.50","79.45M","-5.35%"
"Aug 29, 2021","33.28","32.61","33.52","32.10","99.98M","2.05%"
"Aug 22, 2021","32.61","31.63","32.73","31.29","130.16M","5.71%"
"Aug 15, 2021","30.85","32.86","32.94","30.68","107.42M","-6.00%"
"Aug 08, 2021","32.82","32.80","33.08","31.90","109.53M","-1.26%"
"Aug 01, 2021","33.24","34.92","35.82","32.87","87.68M","-4.81%"
"Jul 25, 2021","34.92","33.06","35.37","33.01","85.56M","5.34%"
"Jul 18, 2021","33.15","33.52","33.81","32.87","91.59M","-2.27%"
"Jul 11, 2021","33.92","34.20","35.16","33.83","100.00M","-1.31%"
"Jul 04, 2021","34.37","35.02","35.05","33.38","79.76M","-0.15%"
"Jun 27, 2021","34.42","34.32","34.59","33.30","76.67M","0.17%"
"Jun 20, 2021","34.36","34.66","35.18","34.22","97.03M","0.67%"
"Jun 13, 2021","34.13","37.57","38.28","34.10","166.35M","-10.84%"
"Jun 06, 2021","38.28","38.55","38.99","37.97","86.46M","-1.03%"
"May 30, 2021","38.68","39.64","39.88","38.02","74.61M","-1.88%"
"May 23, 2021","39.42","39.38","40.00","38.77","76.35M","0.33%"
"May 16, 2021","39.29","38.27","40.13","38.13","134.02M","3.83%"
"May 09, 2021","37.84","37.98","38.22","36.43","101.75M","1.12%"
"May 02, 2021","37.42","34.98","37.58","34.91","131.57M","8.91%"
"Apr 25, 2021","34.36","36.12","36.18","34.31","90.33M","-4.71%"
"Apr 18, 2021","36.06","35.84","36.84","35.59","82.38M","0.08%"
"Apr 11, 2021","36.03","34.41","36.12","33.83","101.92M","3.74%"
"Apr 04, 2021","34.73","33.59","34.85","33.37","88.63M","3.36%"
