"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","152.62","154.59","155.06","150.84","8.98M","-1.34%"
"Dec 19, 2021","154.69","154.78","155.17","151.57","6.04M","0.15%"
"Dec 12, 2021","154.46","147.58","154.86","146.85","18.08M","4.90%"
"Dec 05, 2021","147.24","147.00","153.32","143.25","12.52M","-0.77%"
"Nov 28, 2021","148.39","158.16","158.43","147.23","15.61M","-4.20%"
"Nov 21, 2021","154.90","155.04","157.85","150.21","9.24M","0.22%"
"Nov 14, 2021","154.56","154.45","155.66","152.41","7.34M","0.36%"
"Nov 07, 2021","154.00","157.36","158.20","152.65","9.49M","-1.87%"
"Oct 31, 2021","156.94","159.83","164.83","154.61","10.07M","-1.67%"
"Oct 24, 2021","159.60","158.59","161.55","157.24","9.02M","0.73%"
"Oct 17, 2021","158.44","156.58","159.36","154.83","7.25M","0.88%"
"Oct 10, 2021","157.06","155.02","159.24","154.23","6.57M","1.30%"
"Oct 03, 2021","155.05","156.45","157.77","153.38","11.97M","-2.44%"
"Sep 26, 2021","158.93","169.94","170.37","155.08","14.67M","-6.78%"
"Sep 19, 2021","170.49","170.55","174.45","168.36","8.56M","-1.80%"
"Sep 12, 2021","173.61","174.13","174.13","169.63","12.16M","0.22%"
"Sep 05, 2021","173.23","175.33","175.80","172.79","8.05M","-1.47%"
"Aug 29, 2021","175.81","171.86","176.02","171.13","9.05M","2.33%"
"Aug 22, 2021","171.81","168.95","173.69","168.79","10.32M","2.78%"
"Aug 15, 2021","167.16","168.68","171.39","164.27","11.86M","-1.32%"
"Aug 08, 2021","169.40","172.12","177.37","166.36","18.73M","-1.58%"
"Aug 01, 2021","172.12","167.20","174.87","165.33","14.03M","3.82%"
"Jul 25, 2021","165.78","166.36","167.82","159.84","11.82M","-0.56%"
"Jul 18, 2021","166.72","159.31","166.75","158.50","17.33M","3.76%"
"Jul 11, 2021","160.68","163.54","163.99","157.11","14.70M","-1.51%"
"Jul 04, 2021","163.15","163.99","164.01","158.60","9.93M","-0.97%"
"Jun 27, 2021","164.74","164.52","165.79","162.42","10.94M","0.99%"
"Jun 20, 2021","163.13","159.03","163.13","158.08","14.70M","2.75%"
"Jun 13, 2021","158.77","161.99","162.73","156.15","14.99M","-2.06%"
"Jun 06, 2021","162.11","153.27","163.63","153.00","27.97M","5.94%"
"May 30, 2021","153.02","153.01","153.84","149.15","13.42M","0.70%"
"May 23, 2021","151.95","152.09","153.95","149.19","15.07M","0.38%"
"May 16, 2021","151.38","148.99","153.67","147.65","16.77M","1.14%"
"May 09, 2021","149.68","149.85","150.22","143.05","21.44M","-0.02%"
"May 02, 2021","149.71","156.01","156.46","145.10","20.04M","-3.19%"
"Apr 25, 2021","154.64","155.92","159.37","153.48","16.81M","-0.43%"
"Apr 18, 2021","155.31","152.52","157.17","149.55","15.16M","1.34%"
"Apr 11, 2021","153.26","148.64","154.51","145.67","17.91M","3.05%"
"Apr 04, 2021","148.73","152.39","153.84","147.85","17.58M","-1.84%"
"Mar 28, 2021","151.52","148.80","153.42","144.82","13.14M","1.60%"
"Mar 21, 2021","149.14","156.01","158.73","145.18","22.85M","-4.33%"
"Mar 14, 2021","155.89","155.50","159.30","152.88","16.45M","0.74%"
"Mar 07, 2021","154.75","150.00","156.33","147.10","17.82M","3.06%"
"Feb 28, 2021","150.15","158.86","160.02","142.46","26.85M","-4.32%"
"Feb 21, 2021","156.93","165.01","165.28","154.13","19.90M","-5.64%"
"Feb 14, 2021","166.31","171.78","171.99","163.39","8.94M","-2.58%"
"Feb 07, 2021","170.72","170.06","174.04","168.33","11.93M","0.99%"
"Jan 31, 2021","169.05","163.28","169.53","160.78","11.59M","5.24%"
"Jan 24, 2021","160.64","165.86","168.51","158.76","15.82M","-2.46%"
"Jan 17, 2021","164.69","163.15","166.36","162.53","10.87M","1.84%"
"Jan 10, 2021","161.71","157.46","163.60","156.01","12.76M","2.20%"
"Jan 03, 2021","158.23","152.53","159.61","148.49","18.47M","4.45%"
"Dec 27, 2020","151.49","157.14","157.39","150.01","9.73M","-2.97%"
"Dec 20, 2020","156.12","154.08","157.92","153.12","7.58M","0.24%"
"Dec 13, 2020","155.75","153.00","156.40","152.13","15.91M","3.70%"
"Dec 06, 2020","150.19","148.31","151.25","146.25","12.53M","1.62%"
"Nov 29, 2020","147.80","144.37","148.01","142.67","14.83M","3.20%"
"Nov 22, 2020","143.22","139.85","143.37","138.07","8.51M","3.13%"
"Nov 15, 2020","138.87","142.36","142.36","137.28","16.19M","-1.55%"
