"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","47.59","46.87","47.69","46.76","1.53M","1.58%"
"Dec 19, 2021","46.85","45.54","46.95","45.26","1.75M","2.49%"
"Dec 12, 2021","45.71","45.84","46.45","45.52","1.86M","-1.91%"
"Dec 05, 2021","46.60","45.96","46.96","45.76","1.02M","2.53%"
"Nov 28, 2021","45.45","46.09","46.16","44.88","1.29M","-0.81%"
"Nov 21, 2021","45.82","46.47","46.98","45.68","698.13K","-1.65%"
"Nov 14, 2021","46.59","47.90","47.94","46.57","1.02M","-2.33%"
"Nov 07, 2021","47.70","48.55","48.60","47.60","1.83M","-1.45%"
"Oct 31, 2021","48.40","47.90","48.40","47.71","769.48K","1.32%"
"Oct 24, 2021","47.77","47.95","48.15","47.63","1.31M","-0.64%"
"Oct 17, 2021","48.08","47.39","48.38","47.36","800.35K","0.73%"
"Oct 10, 2021","47.73","46.77","47.84","46.23","1.87M","1.99%"
"Oct 03, 2021","46.80","46.32","46.91","45.85","1.59M","1.30%"
"Sep 26, 2021","46.20","46.47","46.74","45.66","1.23M","-0.32%"
"Sep 19, 2021","46.35","45.44","46.65","45.07","932.13K","0.98%"
"Sep 12, 2021","45.90","46.92","47.10","45.90","1.07M","-1.18%"
"Sep 05, 2021","46.45","47.13","47.45","46.38","1.06M","-1.71%"
"Aug 29, 2021","47.26","46.51","47.47","46.47","1.70M","1.20%"
"Aug 22, 2021","46.70","46.11","46.71","46.06","2.01M","1.52%"
"Aug 15, 2021","46.00","46.24","46.49","45.38","1.06M","-0.67%"
"Aug 08, 2021","46.31","46.02","46.45","45.71","1.02M","0.19%"
"Aug 01, 2021","46.22","45.94","46.29","45.74","678.48K","0.74%"
"Jul 25, 2021","45.88","45.59","46.32","45.56","1.29M","0.55%"
"Jul 18, 2021","45.63","45.14","45.71","44.45","1.38M","-0.50%"
"Jul 11, 2021","45.86","46.31","46.52","45.50","1.28M","-1.16%"
"Jul 04, 2021","46.40","46.39","46.54","45.90","1.03M","0.83%"
"Jun 27, 2021","46.02","46.24","46.24","45.20","1.09M","-0.82%"
"Jun 20, 2021","46.40","46.20","46.64","45.90","906.09K","0.91%"
"Jun 13, 2021","45.98","47.49","47.86","45.89","1.71M","-2.83%"
"Jun 06, 2021","47.32","47.52","47.94","47.00","1.52M","-0.25%"
"May 30, 2021","47.44","47.29","47.56","46.95","1.66M","0.98%"
"May 23, 2021","46.98","47.34","47.40","46.70","3.96M","-0.49%"
"May 16, 2021","47.21","47.05","47.36","46.24","615.34K","-0.32%"
"May 09, 2021","47.36","47.56","47.86","46.25","1.05M","-0.27%"
"May 02, 2021","47.49","46.83","47.51","46.55","1.18M","1.82%"
"Apr 25, 2021","46.64","46.52","46.80","46.16","1.60M","0.50%"
"Apr 18, 2021","46.41","46.78","46.80","46.01","1.23M","-0.26%"
"Apr 11, 2021","46.53","45.77","46.62","45.47","1.54M","1.35%"
"Apr 04, 2021","45.91","45.59","46.05","45.50","1.05M","1.23%"
"Mar 28, 2021","45.35","44.80","45.35","44.56","796.82K","1.32%"
"Mar 21, 2021","44.76","44.53","44.86","43.93","1.32M","0.49%"
"Mar 14, 2021","44.54","45.44","45.57","44.28","1.23M","-1.59%"
"Mar 07, 2021","45.26","43.72","45.26","43.61","1.52M","3.57%"
"Feb 28, 2021","43.70","43.53","44.16","43.02","1.35M","1.65%"
"Feb 21, 2021","42.99","43.71","44.70","42.99","2.10M","-1.10%"
"Feb 14, 2021","43.47","44.17","44.30","43.40","1.81M","-1.67%"
"Feb 07, 2021","44.21","44.47","44.58","43.90","1.47M","-0.50%"
"Jan 31, 2021","44.43","43.25","44.43","42.94","1.76M","4.22%"
"Jan 24, 2021","42.63","43.53","44.05","42.45","4.89M","-2.85%"
"Jan 17, 2021","43.88","44.61","44.65","43.62","1.45M","-1.10%"
"Jan 10, 2021","44.37","44.04","44.79","43.87","1.07M","-0.63%"
"Jan 03, 2021","44.65","44.17","44.88","43.21","1.64M","2.15%"
"Dec 27, 2020","43.71","43.62","43.97","43.42","1.09M","0.95%"
"Dec 20, 2020","43.30","42.82","43.40","42.34","1.22M","-0.37%"
"Dec 13, 2020","43.46","43.62","44.17","42.86","1.72M","-0.84%"
"Dec 06, 2020","43.83","43.94","44.17","43.58","1.31M","-0.61%"
"Nov 29, 2020","44.10","43.84","44.29","43.00","2.07M","0.59%"
"Nov 22, 2020","43.84","43.43","44.30","43.31","952.61K","1.29%"
"Nov 15, 2020","43.28","43.57","43.81","42.84","1.75M","0.25%"
"Nov 08, 2020","43.17","42.80","43.71","42.15","2.43M","7.33%"
"Nov 01, 2020","40.22","38.61","40.94","38.43","1.78M","5.51%"
"Oct 25, 2020","38.12","40.20","40.22","37.82","2.51M","-6.43%"
"Oct 18, 2020","40.74","40.24","40.94","39.84","3.21M","1.90%"
"Oct 11, 2020","39.98","40.42","40.66","39.60","4.17M","-0.97%"
"Oct 04, 2020","40.37","39.25","40.55","39.14","1.62M","3.46%"
"Sep 27, 2020","39.02","38.67","39.10","38.26","4.62M","1.61%"
"Sep 20, 2020","38.40","38.37","38.78","37.53","1.25M","-1.84%"
"Sep 13, 2020","39.12","39.63","40.27","39.00","1.78M","-0.51%"
"Sep 06, 2020","39.32","39.43","40.16","39.09","1.08M","-1.58%"
"Aug 30, 2020","39.95","40.00","40.96","39.43","2.00M","-0.47%"
"Aug 23, 2020","40.14","40.25","40.48","39.42","1.35M","0.60%"
"Aug 16, 2020","39.90","40.29","40.61","39.60","1.19M","-1.38%"
"Aug 09, 2020","40.46","40.06","40.95","40.06","1.51M","1.07%"
"Aug 02, 2020","40.03","39.44","40.20","39.00","1.05M","2.27%"
"Jul 26, 2020","39.14","39.39","39.89","38.70","1.50M","-0.13%"
"Jul 19, 2020","39.19","39.30","39.83","39.07","1.52M","-0.18%"
"Jul 12, 2020","39.26","38.07","39.40","37.59","1.79M","2.75%"
"Jul 05, 2020","38.21","39.38","39.49","37.52","1.00M","-1.65%"
"Jun 28, 2020","38.85","37.63","39.32","37.42","1.50M","3.68%"
"Jun 21, 2020","37.47","38.70","39.41","37.33","1.49M","-3.33%"
"Jun 14, 2020","38.76","38.00","40.31","37.86","1.63M","-1.02%"
