"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","82.92","80.66","83.22","80.23","9.24M","3.26%"
"Dec 19, 2021","80.30","76.72","80.69","75.26","11.06M","3.33%"
"Dec 12, 2021","77.71","83.08","83.43","77.50","21.44M","-6.42%"
"Dec 05, 2021","83.04","79.94","83.09","79.42","14.99M","5.42%"
"Nov 28, 2021","78.77","77.45","79.98","75.30","24.38M","2.50%"
"Nov 21, 2021","76.85","78.73","79.63","76.31","11.79M","-2.16%"
"Nov 14, 2021","78.55","76.80","79.85","76.14","12.27M","2.44%"
"Nov 07, 2021","76.68","74.66","76.78","73.93","13.28M","3.18%"
"Oct 31, 2021","74.32","72.02","74.73","71.37","13.30M","3.29%"
"Oct 24, 2021","71.95","71.40","73.43","71.05","16.51M","0.94%"
"Oct 17, 2021","71.28","69.05","72.31","68.90","10.70M","3.08%"
"Oct 10, 2021","69.15","66.96","70.30","66.90","12.21M","3.02%"
"Oct 03, 2021","67.12","66.18","68.43","65.62","15.97M","1.07%"
"Sep 26, 2021","66.41","68.80","69.81","65.78","14.54M","-3.87%"
"Sep 19, 2021","69.08","69.23","70.16","67.97","10.24M","-2.07%"
"Sep 12, 2021","70.54","71.07","71.07","68.65","13.77M","0.20%"
"Sep 05, 2021","70.40","72.92","73.19","70.29","9.28M","-3.56%"
"Aug 29, 2021","73.00","73.97","74.32","72.46","8.79M","-1.08%"
"Aug 22, 2021","73.80","72.55","74.27","71.00","13.80M","2.32%"
"Aug 15, 2021","72.13","73.24","74.42","70.05","12.00M","-1.78%"
"Aug 08, 2021","73.44","71.51","74.63","70.85","11.87M","2.70%"
"Aug 01, 2021","71.51","72.11","72.75","71.21","12.21M","-0.07%"
"Jul 25, 2021","71.56","70.14","72.36","68.42","13.52M","1.86%"
"Jul 18, 2021","70.25","65.42","70.36","65.08","17.65M","5.93%"
"Jul 11, 2021","66.32","68.43","68.62","66.20","17.40M","-3.28%"
"Jul 04, 2021","68.57","70.13","70.47","67.42","15.28M","-2.11%"
"Jun 27, 2021","70.05","68.24","70.80","67.87","11.62M","2.86%"
"Jun 20, 2021","68.10","67.62","68.71","67.23","14.50M","1.14%"
"Jun 13, 2021","67.33","68.21","68.35","66.00","23.55M","-1.19%"
"Jun 06, 2021","68.14","70.66","70.85","67.28","14.61M","-3.47%"
"May 30, 2021","70.59","72.63","72.74","69.06","8.87M","-1.85%"
"May 23, 2021","71.92","69.73","72.66","69.53","10.38M","3.72%"
"May 16, 2021","69.34","72.43","72.70","67.94","17.02M","-4.79%"
"May 09, 2021","72.83","77.09","78.61","69.55","18.47M","-5.45%"
"May 02, 2021","77.03","73.97","77.05","73.75","11.65M","5.20%"
"Apr 25, 2021","73.22","72.45","74.70","72.17","9.35M","1.57%"
"Apr 18, 2021","72.09","73.11","73.17","69.38","11.88M","-1.17%"
"Apr 11, 2021","72.94","71.39","73.23","70.14","9.37M","2.43%"
"Apr 04, 2021","71.21","70.03","71.26","69.08","11.89M","2.67%"
"Mar 28, 2021","69.36","68.56","69.36","66.38","11.26M","1.21%"
"Mar 21, 2021","68.53","65.48","68.55","63.15","14.04M","5.38%"
"Mar 14, 2021","65.03","63.81","67.21","63.45","17.24M","1.99%"
"Mar 07, 2021","63.76","61.62","65.41","61.29","15.69M","3.98%"
"Feb 28, 2021","61.32","60.89","61.87","57.19","20.58M","1.98%"
"Feb 21, 2021","60.13","62.52","62.69","58.79","16.01M","-4.36%"
"Feb 14, 2021","62.87","64.56","64.61","61.35","9.75M","-2.42%"
"Feb 07, 2021","64.43","63.34","65.32","63.16","10.52M","2.22%"
"Jan 31, 2021","63.03","59.44","63.10","58.48","12.06M","6.88%"
"Jan 24, 2021","58.97","62.17","63.55","58.22","18.47M","-4.89%"
"Jan 17, 2021","62.00","57.31","62.09","57.30","19.25M","8.87%"
"Jan 10, 2021","56.95","54.93","58.09","54.58","12.16M","3.10%"
"Jan 03, 2021","55.24","55.93","57.07","53.73","17.90M","-1.00%"
"Dec 27, 2020","55.80","58.23","58.33","55.65","8.36M","-3.79%"
"Dec 20, 2020","58.00","57.13","58.27","56.42","7.71M","-0.07%"
"Dec 13, 2020","58.04","55.11","58.65","54.94","12.96M","5.99%"
"Dec 06, 2020","54.76","54.88","56.02","54.23","12.37M","0.07%"
"Nov 29, 2020","54.72","56.70","56.92","53.63","15.56M","-3.92%"
"Nov 22, 2020","56.95","56.59","58.22","56.28","8.31M","1.26%"
"Nov 15, 2020","56.24","55.54","57.21","55.16","13.26M","1.19%"
"Nov 08, 2020","55.58","56.54","57.48","51.93","30.49M","-0.54%"
"Nov 01, 2020","55.88","52.58","58.52","52.58","20.26M","7.42%"
"Oct 25, 2020","52.02","55.81","56.03","51.54","19.72M","-8.01%"
"Oct 18, 2020","56.55","59.52","59.80","54.99","23.29M","-4.72%"
"Oct 11, 2020","59.35","59.97","60.87","58.17","11.56M","-0.37%"
"Oct 04, 2020","59.57","58.59","59.97","56.74","14.67M","2.57%"
"Sep 27, 2020","58.08","55.11","58.39","54.79","17.36M","7.18%"
"Sep 20, 2020","54.19","54.30","56.05","52.83","14.71M","-1.83%"
"Sep 13, 2020","55.20","55.61","57.17","54.56","14.52M","0.56%"
"Sep 06, 2020","54.89","51.84","55.07","51.70","12.73M","3.84%"
"Aug 30, 2020","52.86","55.38","56.61","51.66","19.96M","-4.41%"
"Aug 23, 2020","55.30","57.26","57.26","55.11","12.60M","-2.28%"
"Aug 16, 2020","56.59","54.50","56.69","54.40","14.09M","4.58%"
"Aug 09, 2020","54.11","52.89","54.56","52.76","11.54M","2.77%"
"Aug 02, 2020","52.65","52.12","52.85","51.68","10.97M","1.92%"
"Jul 26, 2020","51.66","50.39","52.74","50.09","18.63M","3.40%"
"Jul 19, 2020","49.96","48.11","51.49","47.35","16.88M","3.93%"
"Jul 12, 2020","48.07","45.64","48.73","43.88","16.85M","6.33%"
"Jul 05, 2020","45.21","44.22","46.03","43.83","17.46M","4.31%"
"Jun 28, 2020","43.34","42.38","44.40","41.65","13.95M","3.36%"
"Jun 21, 2020","41.93","43.75","44.91","41.68","18.87M","-4.27%"
"Jun 14, 2020","43.80","41.03","46.24","40.91","18.69M","2.99%"
"Jun 07, 2020","42.53","46.80","47.36","41.19","24.20M","-7.92%"
"May 31, 2020","46.19","43.35","46.66","42.90","18.50M","6.80%"
"May 24, 2020","43.25","43.67","46.21","42.79","21.70M","3.35%"
"May 17, 2020","41.85","38.10","41.97","38.10","23.45M","14.41%"
"May 10, 2020","36.58","38.09","38.47","33.66","15.69M","-5.31%"
"May 03, 2020","38.63","35.17","38.79","34.78","14.47M","7.84%"
"Apr 26, 2020","35.82","32.75","38.34","32.50","18.68M","10.83%"
"Apr 19, 2020","32.32","31.38","32.52","29.90","10.15M","0.47%"
"Apr 12, 2020","32.17","33.38","33.38","30.00","14.04M","-3.94%"
"Apr 05, 2020","33.49","26.95","35.03","26.95","13.55M","30.06%"
"Mar 29, 2020","25.75","30.61","30.61","25.27","13.00M","-15.66%"
"Mar 22, 2020","30.53","25.30","32.15","23.37","22.66M","20.10%"
"Mar 15, 2020","25.42","30.36","30.76","22.39","23.10M","-25.93%"
"Mar 08, 2020","34.32","41.41","42.05","31.83","22.73M","-22.74%"
"Mar 01, 2020","44.42","43.47","47.51","43.13","24.83M","2.33%"
"Feb 23, 2020","43.41","48.96","49.55","42.33","23.85M","-13.42%"
"Feb 16, 2020","50.14","49.80","50.52","49.52","8.85M","0.50%"
"Feb 09, 2020","49.89","48.93","49.95","48.86","10.09M","1.98%"
"Feb 02, 2020","48.92","47.68","49.23","47.58","12.43M","2.99%"
"Jan 26, 2020","47.50","47.90","49.62","47.39","13.42M","-1.88%"
