"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","276.48","272.21","277.83","272.21","345.88K","1.28%"
"Dec 19, 2021","272.99","259.41","273.74","258.53","770.77K","3.48%"
"Dec 12, 2021","263.80","268.97","269.25","263.02","1.07M","-2.40%"
"Dec 05, 2021","270.28","263.93","273.97","263.83","770.15K","3.01%"
"Nov 28, 2021","262.39","269.20","269.34","254.20","1.19M","-1.53%"
"Nov 21, 2021","266.48","274.46","277.19","264.27","657.09K","-2.49%"
"Nov 14, 2021","273.29","278.58","278.76","270.89","517.18K","-1.64%"
"Nov 07, 2021","277.86","280.48","280.48","275.11","471.88K","-0.14%"
"Oct 31, 2021","278.24","271.58","281.45","270.13","1.14M","2.76%"
"Oct 24, 2021","270.76","267.47","274.29","266.51","648.79K","1.44%"
"Oct 17, 2021","266.91","259.45","267.97","258.97","870.61K","2.57%"
"Oct 10, 2021","260.21","253.32","261.17","248.66","665.32K","2.56%"
"Oct 03, 2021","253.71","248.98","255.58","246.53","908.27K","2.11%"
"Sep 26, 2021","248.46","251.01","254.09","243.04","1.03M","-0.89%"
"Sep 19, 2021","250.70","242.25","251.45","241.25","929.18K","1.95%"
"Sep 12, 2021","245.91","249.32","250.40","245.17","977.94K","-0.83%"
"Sep 05, 2021","247.98","253.68","254.46","247.82","764.29K","-2.35%"
"Aug 29, 2021","253.95","257.37","257.37","251.85","1.02M","-1.03%"
"Aug 22, 2021","256.59","253.02","257.30","252.60","733.39K","2.01%"
"Aug 15, 2021","251.53","256.79","258.03","248.88","1.03M","-2.30%"
"Aug 08, 2021","257.44","251.03","258.39","249.47","1.10M","2.02%"
"Aug 01, 2021","252.35","252.23","253.57","247.16","1.38M","0.70%"
"Jul 25, 2021","250.60","257.72","259.13","248.49","1.15M","-2.78%"
"Jul 18, 2021","257.77","248.86","258.80","245.48","1.41M","1.91%"
"Jul 11, 2021","252.94","258.95","259.61","252.81","1.04M","-2.40%"
"Jul 04, 2021","259.15","262.07","262.33","251.78","1.76M","-1.36%"
"Jun 27, 2021","262.71","261.11","263.99","257.67","1.02M","0.49%"
"Jun 20, 2021","261.42","256.60","262.41","256.60","781.01K","2.33%"
"Jun 13, 2021","255.46","266.97","268.38","254.65","2.29M","-4.57%"
"Jun 06, 2021","267.68","270.85","271.65","264.83","1.49M","-1.04%"
"May 30, 2021","270.49","277.60","278.08","268.75","574.91K","-1.75%"
"May 23, 2021","275.32","271.65","275.79","269.89","1.00M","1.81%"
"May 16, 2021","270.42","278.51","278.55","267.44","1.13M","-2.75%"
"May 09, 2021","278.07","279.73","282.40","267.92","1.57M","-0.22%"
"May 02, 2021","278.69","271.66","278.69","270.64","1.09M","3.19%"
"Apr 25, 2021","270.07","266.69","271.41","264.88","1.38M","1.44%"
"Apr 18, 2021","266.24","261.92","266.70","259.31","969.78K","1.41%"
"Apr 11, 2021","262.55","261.33","265.26","259.09","745.96K","0.08%"
"Apr 04, 2021","262.33","261.68","263.33","257.73","719.28K","1.12%"
"Mar 28, 2021","259.43","256.88","259.84","254.13","768.37K","0.95%"
"Mar 21, 2021","257.00","254.44","257.00","244.14","1.16M","2.77%"
"Mar 14, 2021","250.08","251.70","253.29","245.46","767.64K","0.11%"
"Mar 07, 2021","249.81","241.99","250.18","241.40","1.49M","3.89%"
"Feb 28, 2021","240.45","239.26","241.35","229.63","823.04K","2.31%"
"Feb 21, 2021","235.03","232.89","241.36","232.00","929.09K","0.40%"
"Feb 14, 2021","234.09","233.16","234.67","226.87","398.61K","0.89%"
"Feb 07, 2021","232.02","226.22","232.21","224.97","509.79K","2.96%"
"Jan 31, 2021","225.34","215.35","225.98","213.11","983.79K","5.73%"
"Jan 24, 2021","213.12","225.78","227.42","212.80","628.01K","-6.09%"
"Jan 17, 2021","226.93","230.67","231.75","224.60","418.18K","-0.68%"
"Jan 10, 2021","228.48","224.97","232.97","224.93","1.15M","0.54%"
"Jan 03, 2021","227.26","220.90","229.27","214.50","865.05K","3.05%"
"Dec 27, 2020","220.54","222.61","223.18","218.58","194.21K","-0.10%"
"Dec 20, 2020","220.75","217.17","221.85","217.09","289.89K","-0.33%"
"Dec 13, 2020","221.47","226.41","227.98","217.63","676.82K","-1.16%"
"Dec 06, 2020","224.07","226.02","228.04","222.50","758.75K","-0.44%"
"Nov 29, 2020","225.06","222.11","225.16","218.64","622.31K","1.48%"
"Nov 22, 2020","221.78","217.98","225.49","217.17","951.95K","2.71%"
"Nov 15, 2020","215.92","216.97","222.90","214.83","930.75K","1.17%"
"Nov 08, 2020","213.43","213.55","218.58","207.25","1.63M","4.25%"
"Nov 01, 2020","204.72","198.74","207.30","195.87","1.67M","4.12%"
"Oct 25, 2020","196.61","207.77","208.56","193.57","1.70M","-6.54%"
"Oct 18, 2020","210.36","209.47","212.56","206.10","1.16M","0.40%"
"Oct 11, 2020","209.53","211.84","212.84","207.41","1.19M","-0.16%"
"Oct 04, 2020","209.87","200.54","210.90","200.54","1.12M","4.95%"
"Sep 27, 2020","199.97","202.29","203.82","194.26","1.18M","0.23%"
"Sep 20, 2020","199.52","199.92","202.33","193.97","1.68M","-1.49%"
"Sep 13, 2020","202.54","202.09","207.59","200.60","1.77M","1.22%"
"Sep 06, 2020","200.10","198.05","201.60","195.28","1.79M","0.59%"
"Aug 30, 2020","198.93","200.89","203.86","194.67","1.52M","-0.94%"
"Aug 23, 2020","200.82","195.94","200.90","194.89","945.23K","3.56%"
"Aug 16, 2020","193.92","195.28","195.28","190.27","830.12K","-0.12%"
"Aug 09, 2020","194.16","189.09","196.35","188.91","1.11M","3.66%"
"Aug 02, 2020","187.30","178.18","187.30","175.90","1.11M","5.72%"
"Jul 26, 2020","177.17","172.72","177.71","171.41","695.42K","2.77%"
"Jul 19, 2020","172.39","175.68","175.68","172.09","570.33K","-1.77%"
"Jul 12, 2020","175.49","166.08","175.96","163.53","929.65K","6.37%"
"Jul 05, 2020","164.98","165.82","167.16","161.18","545.76K","0.81%"
"Jun 28, 2020","163.66","156.76","168.36","156.48","610.13K","4.81%"
"Jun 21, 2020","156.15","159.31","163.41","155.00","1.36M","-2.89%"
"Jun 14, 2020","160.80","154.62","170.24","154.62","836.58K","-0.37%"
"Jun 07, 2020","161.40","179.00","179.36","156.65","1.99M","-7.95%"
"May 31, 2020","175.34","161.04","179.88","157.83","1.10M","10.03%"
"May 24, 2020","159.35","155.64","164.01","155.46","926.95K","6.02%"
"May 17, 2020","150.30","142.33","152.38","142.33","1.05M","9.26%"
"May 10, 2020","137.56","144.84","147.26","133.08","1.02M","-6.81%"
"May 03, 2020","147.61","141.73","148.00","139.33","1.12M","1.95%"
"Apr 26, 2020","144.78","147.88","155.60","143.64","1.75M","0.01%"
"Apr 19, 2020","144.77","145.89","145.96","138.49","1.11M","-1.70%"
"Apr 12, 2020","147.28","147.00","148.58","139.69","727.43K","-0.10%"
"Apr 05, 2020","147.43","137.02","151.64","136.42","1.14M","12.82%"
"Mar 29, 2020","130.68","137.26","140.72","129.32","661.43K","-5.10%"
"Mar 22, 2020","137.71","123.31","145.51","117.18","1.16M","11.91%"
"Mar 15, 2020","123.05","138.91","138.91","116.61","988.63K","-13.70%"
"Mar 08, 2020","142.58","149.81","156.49","130.53","1.73M","-11.51%"
"Mar 01, 2020","161.13","169.38","174.46","155.86","1.90M","-4.50%"
"Feb 23, 2020","168.73","189.38","190.34","163.89","1.56M","-13.87%"
"Feb 16, 2020","195.91","194.01","198.90","194.01","562.33K","0.47%"
"Feb 09, 2020","195.00","195.02","198.17","194.00","1.10M","-0.02%"
"Feb 02, 2020","195.03","189.39","197.30","189.39","927.79K","2.90%"
"Jan 26, 2020","189.54","194.41","197.96","188.93","1.50M","-4.49%"
"Jan 19, 2020","198.45","201.57","201.78","195.01","1.10M","-1.89%"
"Jan 12, 2020","202.28","196.60","203.89","196.60","1.23M","2.78%"
"Jan 05, 2020","196.80","194.93","198.45","192.74","1.03M","0.52%"
"Dec 29, 2019","195.78","195.21","198.84","193.64","526.37K","-0.19%"
"Dec 22, 2019","196.15","195.46","197.25","195.30","360.50K","0.33%"
