"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","32.91","32.79","33.33","32.79","2.24M","0.24%"
"Dec 19, 2021","32.83","32.01","32.92","31.79","1.48M","1.61%"
"Dec 12, 2021","32.31","31.40","32.38","31.01","6.85M","2.15%"
"Dec 05, 2021","31.63","31.43","31.79","31.19","3.24M","1.28%"
"Nov 28, 2021","31.23","31.73","31.73","30.26","8.97M","-0.79%"
"Nov 21, 2021","31.48","31.51","31.98","31.39","1.85M","-0.10%"
"Nov 14, 2021","31.51","32.80","32.83","31.43","2.86M","-3.61%"
"Nov 07, 2021","32.69","33.13","33.13","32.56","721.23K","-1.21%"
"Oct 31, 2021","33.09","31.77","33.31","31.77","1.27M","4.06%"
"Oct 24, 2021","31.80","32.37","32.48","31.69","544.04K","-1.70%"
"Oct 17, 2021","32.35","32.06","32.86","31.85","1.14M","0.62%"
"Oct 10, 2021","32.15","32.39","32.55","31.54","1.07M","-0.80%"
"Oct 03, 2021","32.41","32.84","33.19","32.17","862.27K","-1.37%"
"Sep 26, 2021","32.86","32.97","33.11","32.39","745.83K","-0.57%"
"Sep 19, 2021","33.05","33.21","33.63","32.88","802.06K","-1.78%"
"Sep 12, 2021","33.65","33.92","34.17","33.59","1.24M","-0.53%"
"Sep 05, 2021","33.83","34.63","34.63","33.83","821.40K","-2.42%"
"Aug 29, 2021","34.67","34.49","34.78","34.36","634.07K","0.70%"
"Aug 22, 2021","34.43","34.18","34.69","34.18","627.43K","1.09%"
"Aug 15, 2021","34.06","33.87","34.09","33.08","764.77K","0.18%"
"Aug 08, 2021","34.00","33.87","34.05","33.52","523.90K","0.68%"
"Aug 01, 2021","33.77","34.01","34.10","33.62","585.37K","-0.18%"
"Jul 25, 2021","33.83","33.56","33.95","33.45","1.30M","0.62%"
"Jul 18, 2021","33.62","32.82","33.66","32.57","1.27M","1.30%"
"Jul 11, 2021","33.19","33.61","33.66","33.17","561.11K","-1.37%"
"Jul 04, 2021","33.65","33.58","33.70","33.05","809.05K","0.33%"
"Jun 27, 2021","33.54","33.59","33.60","33.12","1.88M","0.00%"
"Jun 20, 2021","33.54","32.92","33.56","32.84","1.20M","2.41%"
"Jun 13, 2021","32.75","33.77","33.77","32.74","1.32M","-3.11%"
"Jun 06, 2021","33.80","33.67","33.93","33.54","1.34M","0.36%"
"May 30, 2021","33.68","33.18","33.69","32.97","651.14K","1.60%"
"May 23, 2021","33.15","33.14","33.25","32.80","1.11M","0.39%"
"May 16, 2021","33.02","33.86","34.13","32.18","1.82M","-1.99%"
"May 09, 2021","33.69","33.96","34.25","32.99","1.71M","-0.47%"
"May 02, 2021","33.85","33.08","33.89","32.63","919.21K","3.04%"
"Apr 25, 2021","32.85","33.18","33.19","32.70","662.03K","-0.90%"
"Apr 18, 2021","33.15","33.10","33.26","32.55","532.47K","0.30%"
"Apr 11, 2021","33.05","32.80","33.10","32.56","1.58M","0.76%"
"Apr 04, 2021","32.80","32.85","33.06","32.67","481.52K","0.55%"
"Mar 28, 2021","32.62","32.48","32.72","32.24","1.39M","0.18%"
"Mar 21, 2021","32.56","32.18","32.56","31.45","821.96K","1.31%"
"Mar 14, 2021","32.14","32.23","32.51","31.98","972.99K","-0.09%"
"Mar 07, 2021","32.17","31.15","32.35","31.15","955.06K","3.11%"
"Feb 28, 2021","31.20","30.92","31.35","30.30","1.34M","1.86%"
"Feb 21, 2021","30.63","31.70","31.74","30.63","1.37M","-3.68%"
"Feb 14, 2021","31.80","32.06","32.32","31.75","1.10M","-0.41%"
"Feb 07, 2021","31.93","31.87","32.12","31.61","716.45K","0.57%"
"Jan 31, 2021","31.75","31.02","31.82","30.74","958.05K","3.12%"
"Jan 24, 2021","30.79","31.49","32.22","30.79","1.61M","-2.50%"
"Jan 17, 2021","31.58","31.54","32.25","31.23","810.73K","0.45%"
"Jan 10, 2021","31.44","30.88","31.57","30.84","790.96K","1.06%"
"Jan 03, 2021","31.11","30.52","31.18","29.92","1.68M","2.95%"
"Dec 27, 2020","30.22","30.51","30.51","29.91","1.03M","0.00%"
"Dec 20, 2020","30.22","30.10","30.34","29.80","1.10M","-0.89%"
"Dec 13, 2020","30.49","30.63","30.81","30.23","2.69M","-0.36%"
"Dec 06, 2020","30.60","30.60","31.24","30.38","656.29K","0.16%"
"Nov 29, 2020","30.55","29.84","30.58","29.66","1.58M","2.04%"
"Nov 22, 2020","29.94","29.40","30.05","29.34","889.30K","2.18%"
"Nov 15, 2020","29.30","29.71","29.80","29.11","1.40M","-0.54%"
"Nov 08, 2020","29.46","28.98","29.52","28.67","765.03K","4.73%"
"Nov 01, 2020","28.13","26.91","28.24","26.68","1.66M","5.67%"
"Oct 25, 2020","26.62","27.29","27.34","26.22","1.38M","-3.55%"
"Oct 18, 2020","27.60","27.84","27.92","27.17","904.89K","-0.50%"
"Oct 11, 2020","27.74","28.17","28.28","26.66","1.32M","-1.39%"
"Oct 04, 2020","28.13","27.30","28.21","27.24","1.21M","3.53%"
"Sep 27, 2020","27.17","27.05","27.36","26.81","2.19M","1.12%"
"Sep 20, 2020","26.87","27.60","27.63","26.48","1.23M","-3.41%"
"Sep 13, 2020","27.82","28.01","28.47","27.64","2.13M","0.11%"
"Sep 06, 2020","27.79","28.21","28.39","27.61","1.70M","-2.11%"
"Aug 30, 2020","28.39","29.15","29.56","28.19","1.83M","-2.47%"
"Aug 23, 2020","29.11","29.03","29.26","28.90","815.25K","0.76%"
"Aug 16, 2020","28.89","29.19","29.19","28.73","711.70K","-0.69%"
"Aug 09, 2020","29.09","29.35","29.68","28.93","863.42K","-0.82%"
"Aug 02, 2020","29.33","28.94","29.36","28.65","1.21M","2.16%"
"Jul 26, 2020","28.71","28.29","28.73","28.24","1.69M","1.38%"
"Jul 19, 2020","28.32","28.18","28.56","28.07","1.92M","0.25%"
"Jul 12, 2020","28.25","27.83","28.30","27.33","2.94M","1.91%"
"Jul 05, 2020","27.72","27.80","27.91","27.33","2.20M","1.02%"
"Jun 28, 2020","27.44","26.95","27.84","26.80","2.35M","2.50%"
"Jun 21, 2020","26.77","27.67","27.95","26.64","3.14M","-3.67%"
"Jun 14, 2020","27.79","27.36","28.59","27.04","1.92M","-0.50%"
"Jun 07, 2020","27.93","29.39","29.75","27.42","2.78M","-4.77%"
"May 31, 2020","29.33","28.14","29.56","28.07","1.50M","4.41%"
"May 24, 2020","28.09","27.57","28.24","27.41","1.15M","3.96%"
"May 17, 2020","27.02","26.48","27.28","26.48","1.07M","3.52%"
"May 10, 2020","26.10","27.10","27.33","25.47","1.33M","-4.57%"
"May 03, 2020","27.35","26.38","27.38","26.24","1.82M","2.94%"
"Apr 26, 2020","26.57","27.31","28.18","26.49","1.86M","-1.74%"
"Apr 19, 2020","27.04","27.10","27.52","26.18","1.93M","-0.88%"
"Apr 12, 2020","27.28","26.96","27.39","26.24","2.57M","1.30%"
"Apr 05, 2020","26.93","24.88","27.16","24.88","1.82M","11.14%"
"Mar 29, 2020","24.23","24.86","25.47","23.87","1.80M","-1.98%"
"Mar 22, 2020","24.72","23.09","25.57","22.06","2.47M","6.00%"
"Mar 15, 2020","23.32","23.91","25.64","23.11","2.63M","-10.55%"
"Mar 08, 2020","26.07","26.74","27.68","24.09","3.78M","-8.24%"
"Mar 01, 2020","28.41","28.00","29.51","27.79","3.89M","1.50%"
"Feb 23, 2020","27.99","29.81","30.14","26.87","3.47M","-8.17%"
"Feb 16, 2020","30.48","30.40","30.75","30.32","872.35K","-0.03%"
"Feb 09, 2020","30.49","30.11","30.96","30.05","1.35M","1.16%"
"Feb 02, 2020","30.14","29.51","30.20","29.23","762.40K","2.45%"
"Jan 26, 2020","29.42","30.09","30.47","29.18","873.65K","-3.48%"
"Jan 19, 2020","30.48","30.23","30.75","30.21","438.22K","0.63%"
"Jan 12, 2020","30.29","29.70","30.31","29.65","800.30K","2.12%"
"Jan 05, 2020","29.66","29.59","29.94","29.55","757.98K","-0.27%"
"Dec 29, 2019","29.74","29.89","30.04","29.62","748.38K","-0.54%"
"Dec 22, 2019","29.90","29.98","30.02","29.81","463.99K","-0.03%"
"Dec 15, 2019","29.91","29.40","29.94","29.40","1.58M","1.36%"
"Dec 08, 2019","29.51","29.41","29.74","29.23","800.61K","0.10%"
"Dec 01, 2019","29.48","29.64","29.64","29.05","1.48M","-0.57%"
"Nov 24, 2019","29.65","29.60","29.76","29.43","839.11K","0.44%"
"Nov 17, 2019","29.52","29.75","29.92","29.13","1.54M","-1.01%"
"Nov 10, 2019","29.82","29.84","29.99","29.46","1.10M","-0.50%"
"Nov 03, 2019","29.97","29.63","30.05","29.43","1.20M","1.35%"
"Oct 27, 2019","29.57","29.60","29.85","29.45","1.22M","0.92%"
"Oct 20, 2019","29.30","29.71","29.76","29.11","1.32M","-0.91%"
"Oct 13, 2019","29.57","28.90","29.64","28.81","3.44M","2.11%"
"Oct 06, 2019","28.96","28.65","29.19","28.35","1.60M","1.15%"
"Sep 29, 2019","28.63","29.20","29.32","27.89","2.06M","-1.62%"
"Sep 22, 2019","29.10","29.41","29.60","28.93","1.82M","-1.92%"
"Sep 15, 2019","29.67","29.59","29.75","29.28","2.14M","-0.10%"
"Sep 08, 2019","29.70","29.27","29.99","28.90","2.45M","2.34%"
"Sep 01, 2019","29.02","28.24","29.06","28.09","426.20K","2.26%"
"Aug 25, 2019","28.38","27.91","28.55","27.77","729.71K","2.27%"
"Aug 18, 2019","27.75","28.27","28.58","27.64","1.52M","-0.93%"
"Aug 11, 2019","28.01","28.72","29.16","27.45","2.06M","-2.84%"
"Aug 04, 2019","28.83","28.69","29.11","28.25","2.29M","-1.06%"
"Jul 28, 2019","29.14","30.58","30.63","28.88","1.88M","-4.65%"
"Jul 21, 2019","30.56","30.25","30.59","29.85","2.71M","1.23%"
"Jul 14, 2019","30.19","30.63","30.70","30.09","2.04M","-1.24%"
"Jul 07, 2019","30.57","30.05","30.59","29.82","7.32M","1.06%"
"Jun 30, 2019","30.25","29.77","30.27","29.46","1.25M","2.72%"
"Jun 23, 2019","29.45","29.79","30.16","29.31","2.84M","-1.11%"
"Jun 16, 2019","29.78","29.35","30.09","29.25","2.87M","1.15%"
"Jun 09, 2019","29.44","29.76","29.88","29.35","1.47M","-0.54%"
"Jun 02, 2019","29.60","28.00","29.73","28.00","3.29M","5.71%"
"May 26, 2019","28.00","29.35","29.50","27.97","2.38M","-4.57%"
"May 19, 2019","29.34","29.48","29.83","29.00","3.46M","-0.20%"
"May 12, 2019","29.40","28.89","29.69","28.46","2.26M","0.20%"
"May 05, 2019","29.34","29.57","29.86","28.81","1.62M","-2.33%"
"Apr 28, 2019","30.04","30.25","30.47","29.67","1.52M","-0.79%"
"Apr 21, 2019","30.28","30.66","30.89","30.17","832.47K","-1.40%"
"Apr 14, 2019","30.71","30.86","31.04","30.54","721.52K","-0.49%"
"Apr 07, 2019","30.86","30.29","30.90","30.17","1.12M","1.65%"
"Mar 31, 2019","30.36","30.01","30.45","29.92","3.33M","2.08%"
"Mar 24, 2019","29.74","29.40","29.99","29.27","3.22M","0.88%"
"Mar 17, 2019","29.48","29.79","29.89","29.22","1.95M","-0.81%"
"Mar 10, 2019","29.72","28.94","29.79","28.49","3.42M","2.84%"
"Mar 03, 2019","28.90","29.78","29.80","28.58","2.33M","-2.69%"
"Feb 24, 2019","29.70","29.96","29.97","29.59","2.66M","-0.30%"
"Feb 17, 2019","29.79","29.19","29.80","29.10","1.05M","1.92%"
"Feb 10, 2019","29.23","28.08","29.23","28.08","1.81M","4.32%"
"Feb 03, 2019","28.02","28.02","28.05","27.41","1.64M","-0.14%"
"Jan 27, 2019","28.06","27.87","28.20","27.16","4.09M","0.00%"
"Jan 20, 2019","28.06","27.95","28.27","27.52","3.30M","0.04%"
"Jan 13, 2019","28.05","27.77","28.15","27.53","1.78M","0.39%"
"Jan 06, 2019","27.94","27.02","27.95","26.97","3.35M","3.71%"
"Dec 30, 2018","26.94","26.21","26.99","25.97","3.38M","3.42%"
"Dec 23, 2018","26.05","25.20","26.39","24.54","4.09M","2.72%"
"Dec 16, 2018","25.36","27.42","27.42","25.27","8.18M","-7.75%"
"Dec 09, 2018","27.49","27.69","28.33","27.25","2.15M","-0.87%"
"Dec 02, 2018","27.73","29.20","29.26","27.60","4.11M","-3.41%"
"Nov 25, 2018","28.71","27.87","28.91","27.87","5.32M","3.68%"
"Nov 18, 2018","27.69","28.48","28.66","27.48","2.73M","-2.94%"
"Nov 11, 2018","28.53","28.69","28.71","27.91","2.87M","-1.04%"
"Nov 04, 2018","28.83","28.63","29.53","28.48","2.57M","0.84%"
"Oct 28, 2018","28.59","27.59","28.74","26.82","3.19M","4.92%"
"Oct 21, 2018","27.25","28.55","28.84","27.04","2.70M","-4.39%"
"Oct 14, 2018","28.50","28.13","28.83","27.97","1.88M","1.39%"
"Oct 07, 2018","28.11","29.28","29.32","27.55","3.62M","-4.29%"
"Sep 30, 2018","29.37","29.89","30.04","29.19","1.81M","-1.24%"
"Sep 23, 2018","29.74","30.08","30.09","29.50","2.19M","-1.13%"
"Sep 16, 2018","30.08","29.91","30.23","29.63","2.54M","0.47%"
