"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","54.56","54.18","55.40","53.76","8.30M","0.91%"
"Dec 19, 2021","54.07","51.94","54.45","50.66","12.79M","2.19%"
"Dec 12, 2021","52.91","54.32","55.26","52.45","17.83M","-3.06%"
"Dec 05, 2021","54.58","54.23","55.63","53.85","11.26M","2.08%"
"Nov 28, 2021","53.47","55.87","56.02","52.99","15.96M","-2.89%"
"Nov 21, 2021","55.06","57.07","58.12","54.24","9.22M","-2.29%"
"Nov 14, 2021","56.35","57.69","57.94","55.51","9.45M","-1.90%"
"Nov 07, 2021","57.44","57.78","58.31","56.90","11.56M","-0.21%"
"Oct 31, 2021","57.56","55.78","58.12","55.76","9.69M","4.01%"
"Oct 24, 2021","55.34","57.25","57.44","54.74","9.23M","-2.86%"
"Oct 17, 2021","56.97","55.25","57.24","55.06","11.64M","3.04%"
"Oct 10, 2021","55.29","55.41","56.01","53.39","11.20M","0.33%"
"Oct 03, 2021","55.11","54.18","55.47","53.17","12.70M","1.81%"
"Sep 26, 2021","54.13","52.39","54.51","52.34","16.56M","4.42%"
"Sep 19, 2021","51.84","49.04","52.18","48.25","12.15M","2.61%"
"Sep 12, 2021","50.52","50.83","51.35","49.81","16.99M","0.20%"
"Sep 05, 2021","50.42","51.62","52.34","50.38","10.47M","-2.27%"
"Aug 29, 2021","51.59","52.89","52.99","51.33","11.22M","-2.38%"
"Aug 22, 2021","52.85","51.36","52.94","51.12","10.37M","3.75%"
"Aug 15, 2021","50.94","51.85","52.18","49.70","10.56M","-2.60%"
"Aug 08, 2021","52.30","51.68","53.03","51.18","11.72M","0.91%"
"Aug 01, 2021","51.83","49.71","52.18","48.38","17.49M","4.79%"
"Jul 25, 2021","49.46","48.82","50.54","48.36","14.05M","1.35%"
"Jul 18, 2021","48.80","47.65","49.88","46.86","21.82M","-0.20%"
"Jul 11, 2021","48.90","50.25","51.04","48.76","12.97M","-3.55%"
"Jul 04, 2021","50.70","51.12","51.15","48.24","15.23M","-1.19%"
"Jun 27, 2021","51.31","52.65","52.77","51.02","10.47M","-2.93%"
"Jun 20, 2021","52.86","50.18","53.10","50.05","14.69M","5.87%"
"Jun 13, 2021","49.93","53.68","54.41","49.84","29.59M","-6.93%"
"Jun 06, 2021","53.65","55.31","55.38","53.35","13.34M","-2.54%"
"May 30, 2021","55.05","55.27","55.73","54.40","8.62M","0.13%"
"May 23, 2021","54.98","54.94","55.20","53.25","14.32M","0.44%"
"May 16, 2021","54.74","55.00","55.68","53.01","9.67M","-0.74%"
"May 09, 2021","55.15","55.13","55.65","52.41","16.29M","0.40%"
"May 02, 2021","54.93","54.25","55.09","53.16","12.88M","2.42%"
"Apr 25, 2021","53.63","53.40","54.86","53.25","10.66M","1.13%"
"Apr 18, 2021","53.03","52.79","53.30","50.22","12.13M","0.38%"
"Apr 11, 2021","52.83","52.79","53.18","51.45","12.16M","0.38%"
"Apr 04, 2021","52.63","52.89","53.14","51.06","11.12M","0.69%"
"Mar 28, 2021","52.27","51.90","52.64","50.62","14.19M","-0.57%"
"Mar 21, 2021","52.57","53.19","53.20","49.39","21.46M","-2.49%"
"Mar 14, 2021","53.91","55.24","56.49","52.83","24.64M","-2.09%"
"Mar 07, 2021","55.06","52.78","55.29","51.48","24.93M","5.48%"
"Feb 28, 2021","52.20","50.69","52.93","50.10","21.69M","4.97%"
"Feb 21, 2021","49.73","49.32","52.91","49.25","22.63M","0.69%"
"Feb 14, 2021","49.39","48.06","49.45","47.66","8.50M","4.04%"
"Feb 07, 2021","47.47","46.43","47.95","46.20","11.30M","3.11%"
"Jan 31, 2021","46.04","42.98","46.64","42.68","14.12M","7.75%"
"Jan 24, 2021","42.73","45.01","45.68","42.59","17.20M","-5.96%"
"Jan 17, 2021","45.44","46.39","46.48","44.52","13.03M","-1.30%"
"Jan 10, 2021","46.04","44.73","47.24","44.41","12.13M","1.81%"
"Jan 03, 2021","45.22","41.97","46.17","40.77","17.14M","8.13%"
"Dec 27, 2020","41.82","41.84","42.10","40.95","6.58M","0.87%"
"Dec 20, 2020","41.46","40.76","41.83","40.21","9.86M","1.49%"
"Dec 13, 2020","40.85","41.54","41.77","40.56","13.46M","0.02%"
"Dec 06, 2020","40.84","40.86","41.61","40.41","22.16M","-0.73%"
"Nov 29, 2020","41.14","39.74","41.17","38.55","11.22M","2.95%"
"Nov 22, 2020","39.96","39.00","41.17","38.85","10.96M","3.82%"
"Nov 15, 2020","38.49","39.34","39.90","38.07","19.31M","1.48%"
"Nov 08, 2020","37.93","36.68","39.11","36.56","30.21M","12.65%"
"Nov 01, 2020","33.67","33.59","35.23","32.78","21.21M","1.57%"
"Oct 25, 2020","33.15","34.05","34.15","31.42","11.04M","-4.16%"
"Oct 18, 2020","34.59","32.72","34.87","32.16","18.98M","6.43%"
"Oct 11, 2020","32.50","32.74","33.24","31.36","10.49M","-0.76%"
"Oct 04, 2020","32.75","30.87","33.39","30.87","20.14M","7.20%"
"Sep 27, 2020","30.55","29.11","30.69","28.75","8.29M","6.86%"
"Sep 20, 2020","28.59","30.00","30.28","27.79","10.62M","-7.89%"
"Sep 13, 2020","31.04","31.22","32.06","30.81","8.03M","0.06%"
"Sep 06, 2020","31.02","32.52","32.53","30.60","8.84M","-5.66%"
"Aug 30, 2020","32.88","32.37","33.55","31.32","17.15M","1.33%"
"Aug 23, 2020","32.45","31.39","33.06","31.10","11.84M","4.21%"
"Aug 16, 2020","31.14","33.21","33.25","30.91","8.37M","-6.46%"
"Aug 09, 2020","33.29","32.75","34.68","32.51","14.32M","2.15%"
"Aug 02, 2020","32.59","31.15","32.62","30.59","11.01M","4.89%"
"Jul 26, 2020","31.07","31.51","31.91","30.44","10.86M","-1.71%"
"Jul 19, 2020","31.61","30.10","32.22","29.70","10.64M","4.50%"
"Jul 12, 2020","30.25","30.34","31.71","29.19","15.93M","1.65%"
"Jul 05, 2020","29.76","31.19","31.62","28.19","14.32M","-1.81%"
"Jun 28, 2020","30.31","30.05","31.74","29.94","10.88M","2.09%"
"Jun 21, 2020","29.69","32.31","33.45","29.62","22.48M","-9.73%"
"Jun 14, 2020","32.89","31.21","34.93","31.10","21.34M","0.61%"
"Jun 07, 2020","32.69","37.83","38.09","31.39","31.74M","-10.83%"
"May 31, 2020","36.66","31.60","37.86","31.37","22.01M","16.57%"
"May 24, 2020","31.45","30.16","34.08","30.10","18.03M","8.82%"
"May 17, 2020","28.90","27.83","29.69","27.83","16.50M","8.40%"
"May 10, 2020","26.66","29.52","29.54","24.78","22.38M","-11.22%"
"May 03, 2020","30.03","29.35","30.54","28.26","12.86M","0.60%"
"Apr 26, 2020","29.85","28.61","32.94","28.37","17.59M","6.11%"
"Apr 19, 2020","28.13","27.33","28.67","26.73","13.47M","-0.11%"
"Apr 12, 2020","28.16","30.94","30.94","25.66","18.63M","-8.54%"
"Apr 05, 2020","30.79","25.71","31.07","25.60","10.39M","25.93%"
"Mar 29, 2020","24.45","27.71","27.82","24.10","9.38M","-11.45%"
"Mar 22, 2020","27.61","25.00","28.89","22.56","22.66M","8.74%"
"Mar 15, 2020","25.39","27.62","28.90","24.10","21.83M","-18.70%"
"Mar 08, 2020","31.23","32.79","33.42","27.37","19.32M","-13.92%"
"Mar 01, 2020","36.28","38.72","40.87","35.56","18.19M","-6.37%"
"Feb 23, 2020","38.75","44.01","44.22","37.92","23.61M","-14.57%"
"Feb 16, 2020","45.36","45.58","46.11","44.97","6.55M","-1.00%"
"Feb 09, 2020","45.82","45.35","46.33","45.21","5.10M","0.59%"
"Feb 02, 2020","45.55","44.42","46.68","44.42","8.32M","3.08%"
"Jan 26, 2020","44.19","44.55","45.42","44.06","8.68M","-2.88%"
"Jan 19, 2020","45.50","46.51","46.74","45.07","7.86M","-2.86%"
"Jan 12, 2020","46.84","46.52","47.03","45.94","7.52M","1.08%"
"Jan 05, 2020","46.34","46.49","46.98","46.13","9.71M","-1.28%"
"Dec 29, 2019","46.94","47.35","47.51","46.53","5.42M","-0.45%"
"Dec 22, 2019","47.15","47.53","47.59","47.09","2.82M","-0.76%"
"Dec 15, 2019","47.51","47.73","48.17","47.39","6.88M","0.55%"
"Dec 08, 2019","47.25","46.38","47.92","46.36","7.44M","1.48%"
"Dec 01, 2019","46.56","46.47","46.85","44.90","7.18M","0.76%"
"Nov 24, 2019","46.21","46.11","46.58","45.97","4.05M","0.57%"
"Nov 17, 2019","45.95","45.80","46.14","45.38","5.20M","0.02%"
"Nov 10, 2019","45.94","46.21","46.55","45.63","4.55M","-1.14%"
"Nov 03, 2019","46.47","45.41","46.83","45.29","9.30M","3.38%"
"Oct 27, 2019","44.95","44.90","45.36","43.68","11.97M","0.74%"
"Oct 20, 2019","44.62","43.88","44.84","43.78","6.80M","2.50%"
"Oct 13, 2019","43.53","42.36","43.68","42.13","7.43M","2.18%"
"Oct 06, 2019","42.60","42.03","43.14","41.01","7.08M","1.00%"
"Sep 29, 2019","42.18","43.40","43.71","40.78","7.51M","-2.63%"
"Sep 22, 2019","43.32","43.26","44.03","42.75","7.36M","-0.55%"
"Sep 15, 2019","43.56","43.98","44.59","43.43","11.70M","-2.00%"
"Sep 08, 2019","44.45","41.64","44.81","41.52","10.91M","7.60%"
"Sep 01, 2019","41.31","40.72","41.93","39.88","6.69M","0.88%"
"Aug 25, 2019","40.95","40.03","41.30","39.28","8.04M","2.92%"
"Aug 18, 2019","39.79","41.44","41.45","39.60","9.59M","-2.31%"
"Aug 11, 2019","40.73","41.29","41.99","39.61","11.83M","-2.61%"
"Aug 04, 2019","41.82","41.79","42.19","40.35","11.49M","-2.04%"
"Jul 28, 2019","42.69","44.83","45.22","42.13","15.63M","-5.01%"
"Jul 21, 2019","44.94","43.47","45.02","43.07","13.42M","3.24%"
"Jul 14, 2019","43.53","44.09","44.09","42.62","7.34M","-1.00%"
"Jul 07, 2019","43.97","43.72","44.08","43.05","7.58M","-0.07%"
"Jun 30, 2019","44.00","43.84","44.21","42.90","7.93M","1.48%"
"Jun 23, 2019","43.36","42.28","43.68","41.46","11.38M","2.26%"
"Jun 16, 2019","42.40","42.76","43.44","42.06","14.29M","-0.91%"
"Jun 09, 2019","42.79","42.80","43.32","42.21","6.20M","0.90%"
"Jun 02, 2019","42.41","40.88","42.88","40.76","8.84M","3.59%"
"May 26, 2019","40.94","42.64","42.81","40.84","8.14M","-4.26%"
"May 19, 2019","42.76","43.01","43.81","41.91","6.24M","-0.97%"
"May 12, 2019","43.18","43.84","44.02","42.48","12.28M","-3.53%"
"May 05, 2019","44.76","45.26","46.09","43.87","8.86M","-2.72%"
"Apr 28, 2019","46.01","45.18","46.06","44.77","15.21M","2.18%"
"Apr 21, 2019","45.03","44.07","45.07","43.70","9.66M","1.99%"
"Apr 14, 2019","44.15","44.56","44.79","43.80","9.23M","-0.88%"
"Apr 07, 2019","44.54","43.71","44.76","42.80","17.56M","1.69%"
"Mar 31, 2019","43.80","42.10","43.92","42.10","16.83M","4.86%"
"Mar 24, 2019","41.77","40.34","42.29","40.05","16.54M","3.42%"
"Mar 17, 2019","40.39","44.39","45.28","40.07","20.89M","-8.87%"
"Mar 10, 2019","44.32","43.73","44.65","43.61","12.73M","1.56%"
"Mar 03, 2019","43.64","45.45","45.86","43.07","11.71M","-4.00%"
"Feb 24, 2019","45.46","45.84","45.99","44.81","10.52M","-0.22%"
"Feb 17, 2019","45.56","44.76","45.77","44.52","7.32M","1.42%"
"Feb 10, 2019","44.92","43.53","45.02","43.40","18.42M","3.43%"
"Feb 03, 2019","43.43","43.01","44.32","42.80","20.52M","1.07%"
"Jan 27, 2019","42.97","42.69","43.47","41.90","23.65M","0.14%"
"Jan 20, 2019","42.91","42.29","43.11","41.90","14.20M","0.59%"
"Jan 13, 2019","42.66","39.68","42.72","39.55","14.29M","6.73%"
"Jan 06, 2019","39.97","38.80","40.13","38.52","13.78M","2.62%"
"Dec 30, 2018","38.95","37.24","39.06","36.63","13.68M","5.10%"
"Dec 23, 2018","37.06","35.58","37.52","34.92","16.92M","3.35%"
"Dec 16, 2018","35.86","38.54","39.29","35.76","25.46M","-7.34%"
"Dec 09, 2018","38.70","40.96","41.10","38.59","21.06M","-5.77%"
"Dec 02, 2018","41.07","44.88","44.98","40.56","19.12M","-7.37%"
"Nov 25, 2018","44.34","43.21","44.46","42.82","9.90M","3.67%"
"Nov 18, 2018","42.77","43.62","44.05","42.32","8.15M","-2.02%"
"Nov 11, 2018","43.65","43.90","44.38","42.27","13.51M","-0.80%"
"Nov 04, 2018","44.00","43.40","44.67","43.32","17.60M","1.17%"
"Oct 28, 2018","43.49","41.67","43.98","41.43","23.94M","5.89%"
"Oct 21, 2018","41.07","43.46","43.70","40.31","18.32M","-5.26%"
"Oct 14, 2018","43.35","44.09","45.18","43.20","14.07M","-1.86%"
"Oct 07, 2018","44.17","46.87","47.54","43.13","15.77M","-5.98%"
"Sep 30, 2018","46.98","47.00","48.06","45.95","19.00M","0.88%"
"Sep 23, 2018","46.57","48.74","48.82","46.52","8.04M","-4.67%"
"Sep 16, 2018","48.85","48.61","49.52","47.95","11.48M","0.49%"
"Sep 09, 2018","48.61","49.63","49.79","48.12","7.90M","-1.78%"
"Sep 02, 2018","49.49","49.27","49.97","49.20","4.15M","0.14%"
"Aug 26, 2018","49.42","49.73","50.13","48.91","5.76M","-0.30%"
"Aug 19, 2018","49.57","49.47","50.40","49.23","4.31M","0.14%"
"Aug 12, 2018","49.50","48.69","49.62","48.44","9.80M","1.37%"
"Aug 05, 2018","48.83","48.81","49.49","48.40","5.10M","-0.06%"
"Jul 29, 2018","48.86","48.68","49.27","48.00","7.86M","0.43%"
"Jul 22, 2018","48.65","48.72","49.50","48.20","9.34M","-0.08%"
"Jul 15, 2018","48.69","47.37","48.93","47.37","8.18M","3.09%"
"Jul 08, 2018","47.23","48.02","49.18","47.05","12.22M","-1.23%"
"Jul 01, 2018","47.82","46.93","48.00","46.79","6.05M","1.40%"
"Jun 24, 2018","47.16","48.95","49.03","47.15","11.24M","-3.93%"
"Jun 17, 2018","49.09","49.01","50.05","48.73","6.05M","-0.39%"
"Jun 10, 2018","49.28","51.07","51.19","48.62","10.98M","-3.20%"
"Jun 03, 2018","50.91","49.43","51.07","49.37","8.69M","3.14%"
"May 27, 2018","49.36","49.09","49.76","48.17","11.13M","-0.70%"
"May 20, 2018","49.71","49.91","50.88","49.04","10.26M","-0.10%"
"May 13, 2018","49.76","49.90","50.28","49.43","10.62M","0.06%"
"May 06, 2018","49.73","48.52","50.01","48.20","13.15M","2.79%"
"Apr 29, 2018","48.38","48.81","49.04","47.23","9.35M","-0.72%"
"Apr 22, 2018","48.73","48.16","49.39","48.07","11.63M","1.44%"
"Apr 15, 2018","48.04","47.70","48.22","46.81","12.19M","1.20%"
"Apr 08, 2018","47.47","47.23","48.75","46.82","13.57M","0.70%"
"Apr 01, 2018","47.14","47.79","48.58","46.29","11.80M","-1.57%"
"Mar 25, 2018","47.89","47.36","48.57","46.81","11.00M","2.44%"
"Mar 18, 2018","46.75","50.60","50.81","46.68","10.28M","-7.65%"
"Mar 11, 2018","50.62","51.93","52.00","50.16","11.74M","-2.39%"
"Mar 04, 2018","51.86","49.43","51.89","49.10","12.25M","3.97%"
"Feb 25, 2018","49.88","50.59","51.27","48.35","12.98M","-0.93%"
"Feb 18, 2018","50.35","50.41","51.23","49.50","11.27M","-0.38%"
"Feb 11, 2018","50.54","48.36","50.85","47.86","11.29M","5.27%"
"Feb 04, 2018","48.01","49.59","50.24","46.60","21.00M","-4.51%"
"Jan 28, 2018","50.28","50.87","51.20","49.83","11.85M","-1.08%"
"Jan 21, 2018","50.83","50.69","51.58","50.42","9.58M","0.10%"
"Jan 14, 2018","50.78","50.59","50.79","49.52","11.54M","0.83%"
"Jan 07, 2018","50.36","48.08","50.55","47.86","14.33M","4.57%"
"Dec 31, 2017","48.16","47.69","48.40","47.16","9.90M","1.73%"
"Dec 24, 2017","47.34","48.17","48.34","47.30","7.78M","-1.74%"
"Dec 17, 2017","48.18","47.80","48.56","47.34","11.50M","1.67%"
"Dec 10, 2017","47.39","47.74","48.12","46.62","13.83M","-0.67%"
"Dec 03, 2017","47.71","48.53","48.95","46.98","13.22M","0.38%"
"Nov 26, 2017","47.53","44.85","48.41","44.57","19.61M","5.90%"
"Nov 19, 2017","44.88","45.04","45.60","44.84","5.46M","-0.04%"
"Nov 12, 2017","44.90","43.48","45.04","43.27","7.16M","2.79%"
"Nov 05, 2017","43.68","45.48","45.72","43.34","10.96M","-4.36%"
"Oct 29, 2017","45.67","45.96","46.13","45.18","7.36M","-1.17%"
"Oct 22, 2017","46.21","45.75","46.28","45.09","6.82M","1.03%"
"Oct 15, 2017","45.74","44.69","45.86","44.46","10.34M","2.37%"
"Oct 08, 2017","44.68","45.48","45.48","44.23","6.32M","-1.35%"
"Oct 01, 2017","45.29","45.03","45.68","44.57","12.11M","0.44%"
"Sep 24, 2017","45.09","43.36","45.45","43.15","9.39M","3.70%"
"Sep 17, 2017","43.48","42.10","43.55","42.05","14.38M","3.75%"
"Sep 10, 2017","41.91","40.76","42.39","40.56","16.51M","4.20%"
"Sep 03, 2017","40.22","41.64","41.78","39.60","12.87M","-4.26%"
"Aug 27, 2017","42.01","42.25","42.28","41.11","6.50M","-0.31%"
"Aug 20, 2017","42.14","41.33","42.31","41.06","6.07M","1.79%"
"Aug 13, 2017","41.40","42.30","43.20","41.02","9.58M","-1.08%"
"Aug 06, 2017","41.85","43.82","44.29","41.67","8.83M","-4.50%"
"Jul 30, 2017","43.82","43.19","44.16","43.13","6.46M","1.69%"
"Jul 23, 2017","43.09","43.17","44.46","42.85","12.11M","-0.25%"
"Jul 16, 2017","43.20","43.73","43.95","43.01","9.74M","-1.32%"
"Jul 09, 2017","43.78","44.07","44.26","43.11","8.30M","-0.97%"
"Jul 02, 2017","44.21","43.88","44.75","43.71","11.81M","1.59%"
"Jun 25, 2017","43.52","42.06","44.32","41.80","18.09M","3.82%"
"Jun 18, 2017","41.92","43.68","43.97","41.80","8.58M","-3.61%"
"Jun 11, 2017","43.49","44.02","44.50","43.08","11.57M","-0.89%"
"Jun 04, 2017","43.88","41.49","44.09","40.80","14.68M","5.99%"
"May 28, 2017","41.40","41.65","41.84","40.50","8.46M","-1.10%"
"May 21, 2017","41.86","41.72","42.47","41.31","6.64M","0.82%"
"May 14, 2017","41.52","42.47","42.90","40.77","12.31M","-1.89%"
"May 07, 2017","42.32","43.11","43.49","41.79","9.11M","-1.74%"
"Apr 30, 2017","43.07","42.84","43.59","42.31","11.89M","1.06%"
"Apr 23, 2017","42.62","43.43","44.16","42.51","12.51M","0.61%"
"Apr 16, 2017","42.36","41.13","42.70","40.86","11.13M","3.29%"
"Apr 09, 2017","41.01","42.34","42.70","41.00","12.15M","-3.23%"
"Apr 02, 2017","42.38","43.11","43.35","41.66","16.54M","-1.40%"
"Mar 26, 2017","42.98","40.95","43.56","40.55","18.31M","2.31%"
"Mar 19, 2017","42.01","44.36","44.37","40.89","23.20M","-5.79%"
"Mar 12, 2017","44.59","44.83","45.27","44.23","10.02M","-0.76%"
"Mar 05, 2017","44.93","45.37","45.91","44.45","10.69M","-1.68%"
"Feb 26, 2017","45.70","45.14","46.99","44.86","16.09M","1.17%"
"Feb 19, 2017","45.17","45.48","45.72","44.78","7.43M","-0.33%"
"Feb 12, 2017","45.32","44.44","45.72","44.34","13.00M","2.67%"
"Feb 05, 2017","44.14","43.85","44.29","42.91","10.08M","0.05%"
"Jan 29, 2017","44.12","43.75","44.34","42.83","13.08M","0.00%"
"Jan 22, 2017","44.12","42.69","44.54","42.36","10.50M","2.92%"
"Jan 15, 2017","42.87","43.45","43.45","42.05","17.28M","-2.26%"
"Jan 08, 2017","43.86","43.46","44.47","42.90","13.99M","0.21%"
"Jan 01, 2017","43.77","44.30","44.56","43.25","12.91M","0.69%"
"Dec 25, 2016","43.47","44.18","44.33","43.13","10.08M","-1.16%"
"Dec 18, 2016","43.98","43.07","44.14","42.78","13.27M","1.90%"
