"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","340.66","338.70","344.46","338.70","439.93K","0.76%"
"Dec 19, 2021","338.09","320.51","338.85","316.84","444.70K","3.68%"
"Dec 12, 2021","326.10","340.28","340.28","321.89","627.75K","-4.46%"
"Dec 05, 2021","341.31","334.62","346.67","330.32","468.81K","2.43%"
"Nov 28, 2021","333.20","346.47","349.44","329.65","989.16K","-2.91%"
"Nov 21, 2021","343.18","357.73","360.54","341.42","1.10M","-3.50%"
"Nov 14, 2021","355.63","346.68","357.42","344.69","1.52M","2.83%"
"Nov 07, 2021","345.85","353.21","355.23","342.05","477.81K","-2.71%"
"Oct 31, 2021","355.50","340.97","357.81","339.85","562.52K","4.93%"
"Oct 24, 2021","338.81","330.55","340.00","329.55","347.70K","3.16%"
"Oct 17, 2021","328.42","322.47","330.49","322.47","507.86K","1.64%"
"Oct 10, 2021","323.13","313.68","323.71","311.72","336.20K","3.04%"
"Oct 03, 2021","313.59","312.36","316.89","306.66","352.48K","0.40%"
"Sep 26, 2021","312.33","320.99","324.54","308.00","397.56K","-3.10%"
"Sep 19, 2021","322.32","314.24","323.04","309.51","381.71K","0.59%"
"Sep 12, 2021","320.44","320.09","323.00","315.06","234.90K","0.67%"
"Sep 05, 2021","318.30","320.46","322.75","317.75","203.94K","-0.67%"
"Aug 29, 2021","320.46","319.65","323.03","318.56","274.76K","0.45%"
"Aug 22, 2021","319.03","312.17","319.47","312.17","297.99K","2.75%"
"Aug 15, 2021","310.50","316.30","317.23","305.56","354.19K","-2.47%"
"Aug 08, 2021","318.35","316.67","319.56","315.15","295.87K","0.54%"
"Aug 01, 2021","316.65","317.06","319.37","314.17","286.03K","0.50%"
"Jul 25, 2021","315.07","320.81","323.16","314.58","298.40K","-1.69%"
"Jul 18, 2021","320.50","305.41","320.89","303.15","393.19K","3.30%"
"Jul 11, 2021","310.25","320.63","321.96","310.19","932.58K","-3.11%"
"Jul 04, 2021","320.21","318.32","320.43","310.59","380.20K","0.75%"
"Jun 27, 2021","317.82","313.50","317.82","311.14","289.18K","1.63%"
"Jun 20, 2021","312.71","303.50","314.28","302.90","400.51K","3.25%"
"Jun 13, 2021","302.86","306.96","307.19","301.85","326.20K","-1.27%"
"Jun 06, 2021","306.77","302.43","306.77","301.00","293.44K","1.49%"
"May 30, 2021","302.28","307.11","307.38","299.60","378.91K","-0.91%"
"May 23, 2021","305.06","299.02","307.05","297.93","361.24K","2.60%"
"May 16, 2021","297.34","300.50","303.44","292.29","389.63K","-1.42%"
"May 09, 2021","301.61","311.74","311.74","291.66","725.41K","-3.48%"
"May 02, 2021","312.49","315.70","316.13","306.18","592.54K","-0.49%"
"Apr 25, 2021","314.04","313.43","316.49","311.43","560.07K","0.55%"
"Apr 18, 2021","312.32","313.61","313.71","304.20","576.20K","-0.81%"
"Apr 11, 2021","314.88","309.01","315.15","308.03","569.54K","1.91%"
"Apr 04, 2021","308.98","302.22","308.99","300.92","598.81K","3.63%"
"Mar 28, 2021","298.16","292.23","298.52","288.03","432.75K","1.87%"
"Mar 21, 2021","292.70","295.89","297.51","282.11","563.88K","-0.58%"
"Mar 14, 2021","294.40","296.34","300.95","289.35","583.56K","-0.41%"
"Mar 07, 2021","295.62","279.23","295.82","278.39","941.08K","6.33%"
"Feb 28, 2021","278.03","287.99","291.84","264.51","903.96K","-1.94%"
"Feb 21, 2021","283.52","293.41","294.66","278.72","669.16K","-4.20%"
"Feb 14, 2021","295.94","298.19","298.42","292.21","520.09K","-0.47%"
"Feb 07, 2021","297.34","300.58","300.59","294.19","555.08K","-0.29%"
"Jan 31, 2021","298.20","286.37","298.95","283.98","611.75K","5.26%"
"Jan 24, 2021","283.29","295.07","297.54","281.71","691.77K","-3.59%"
"Jan 17, 2021","293.83","288.28","295.88","285.74","578.92K","2.78%"
"Jan 10, 2021","285.87","284.26","291.36","282.65","708.42K","-0.60%"
"Jan 03, 2021","287.60","276.89","287.81","268.67","722.64K","4.51%"
"Dec 27, 2020","275.18","274.97","276.00","272.56","353.44K","1.01%"
"Dec 20, 2020","272.44","270.00","273.05","268.52","264.73K","-0.04%"
"Dec 13, 2020","272.55","265.93","275.00","264.92","455.28K","3.53%"
"Dec 06, 2020","263.26","265.38","268.80","261.00","457.59K","-0.85%"
"Nov 29, 2020","265.51","264.66","265.67","257.86","600.63K","0.42%"
"Nov 22, 2020","264.40","254.51","265.06","254.51","353.12K","4.71%"
"Nov 15, 2020","252.50","248.86","254.16","247.00","600.63K","2.59%"
"Nov 08, 2020","246.13","258.30","258.30","240.35","505.66K","-0.40%"
"Nov 01, 2020","247.11","231.95","249.07","228.49","507.61K","7.85%"
"Oct 25, 2020","229.12","243.23","244.95","227.52","641.87K","-6.81%"
"Oct 18, 2020","245.86","248.56","249.42","240.87","259.77K","-0.35%"
"Oct 11, 2020","246.73","248.98","252.00","244.17","415.37K","-0.04%"
"Oct 04, 2020","246.83","239.29","247.22","236.00","876.64K","4.02%"
"Sep 27, 2020","237.30","233.48","239.64","232.31","653.88K","3.39%"
"Sep 20, 2020","229.53","227.00","233.16","221.60","980.54K","-0.32%"
"Sep 13, 2020","230.26","233.43","239.54","227.57","1.18M","-0.04%"
"Sep 06, 2020","230.35","232.33","242.20","227.81","547.26K","-3.49%"
"Aug 30, 2020","238.68","245.97","251.74","230.49","780.81K","-2.85%"
"Aug 23, 2020","245.67","240.34","246.54","238.41","629.50K","3.21%"
"Aug 16, 2020","238.04","233.07","238.46","232.73","413.56K","2.96%"
"Aug 09, 2020","231.19","226.27","232.59","224.76","387.57K","2.79%"
"Aug 02, 2020","224.92","219.43","226.18","218.35","323.76K","2.98%"
"Jul 26, 2020","218.42","215.69","221.17","214.50","365.91K","1.79%"
"Jul 19, 2020","214.57","212.84","220.03","211.85","359.74K","0.98%"
"Jul 12, 2020","212.49","214.93","218.35","205.00","913.90K","0.12%"
"Jul 05, 2020","212.23","207.17","212.47","205.00","343.09K","4.21%"
"Jun 28, 2020","203.65","193.52","207.02","190.98","292.22K","5.76%"
"Jun 21, 2020","192.56","197.54","202.98","192.28","387.47K","-2.89%"
"Jun 14, 2020","198.30","189.64","203.42","188.93","336.06K","2.01%"
"Jun 07, 2020","194.39","205.67","207.41","190.16","505.84K","-4.55%"
"May 31, 2020","203.65","190.77","205.02","190.75","461.88K","7.12%"
"May 24, 2020","190.12","190.35","192.84","186.23","343.59K","2.35%"
"May 17, 2020","185.75","180.76","186.62","180.76","652.15K","5.28%"
"May 10, 2020","176.44","177.57","180.24","167.91","398.37K","-1.60%"
"May 03, 2020","179.31","167.57","179.32","166.34","326.94K","5.72%"
"Apr 26, 2020","169.61","171.13","179.31","167.89","512.01K","0.09%"
"Apr 19, 2020","169.46","167.80","170.67","161.50","494.25K","-0.29%"
"Apr 12, 2020","169.96","158.34","170.23","156.00","513.07K","7.07%"
"Apr 05, 2020","158.74","141.44","161.10","141.44","618.96K","16.51%"
"Mar 29, 2020","136.25","145.96","149.35","134.49","1.26M","-6.40%"
"Mar 22, 2020","145.57","128.43","151.47","125.22","1.17M","12.99%"
"Mar 15, 2020","128.83","135.03","141.55","118.99","1.27M","-15.29%"
"Mar 08, 2020","152.09","164.26","169.90","142.54","1.26M","-12.76%"
"Mar 01, 2020","174.33","177.76","186.02","170.81","687.50K","-1.64%"
"Feb 23, 2020","177.23","194.49","195.92","171.77","1.93M","-11.98%"
"Feb 16, 2020","201.35","201.95","205.05","200.86","217.68K","-0.37%"
"Feb 09, 2020","202.09","196.68","203.13","196.68","215.98K","2.81%"
"Feb 02, 2020","196.56","192.79","199.20","192.79","373.76K","2.50%"
"Jan 26, 2020","191.76","187.77","195.20","187.06","338.71K","-0.08%"
"Jan 19, 2020","191.92","193.52","195.52","190.96","213.42K","-1.11%"
"Jan 12, 2020","194.08","191.70","194.42","191.27","238.70K","1.44%"
"Jan 05, 2020","191.32","189.05","193.05","189.05","326.41K","0.50%"
"Dec 29, 2019","190.37","190.82","191.74","188.76","204.31K","-0.12%"
"Dec 22, 2019","190.60","188.66","191.66","188.05","99.18K","1.32%"
"Dec 15, 2019","188.12","186.00","188.61","185.78","289.32K","1.24%"
"Dec 08, 2019","185.81","183.64","186.45","183.38","211.09K","1.09%"
"Dec 01, 2019","183.80","185.00","185.06","180.47","437.78K","-0.53%"
"Nov 24, 2019","184.78","182.13","186.14","182.13","207.99K","1.89%"
"Nov 17, 2019","181.35","182.69","183.47","180.20","298.67K","-0.85%"
"Nov 10, 2019","182.91","181.89","183.32","181.40","206.61K","0.03%"
"Nov 03, 2019","182.85","183.34","184.12","182.05","220.22K","0.19%"
"Oct 27, 2019","182.50","182.84","183.44","180.69","191.48K","0.07%"
"Oct 20, 2019","182.37","183.68","184.00","179.93","622.97K","-0.12%"
"Oct 13, 2019","182.59","179.90","183.97","179.58","225.05K","1.42%"
"Oct 06, 2019","180.03","177.35","181.59","175.18","290.80K","1.21%"
"Sep 29, 2019","177.87","178.75","181.23","173.03","357.42K","-0.31%"
"Sep 22, 2019","178.43","180.04","182.60","177.56","296.27K","-1.22%"
"Sep 15, 2019","180.63","183.74","183.97","180.63","182.66K","-2.37%"
"Sep 08, 2019","185.01","183.68","186.37","181.70","284.49K","1.05%"
"Sep 01, 2019","183.08","177.35","183.66","176.60","230.16K","2.67%"
"Aug 25, 2019","178.32","175.18","180.15","173.96","511.23K","2.55%"
"Aug 18, 2019","173.88","176.00","179.57","173.16","436.01K","0.14%"
"Aug 11, 2019","173.64","176.28","179.09","170.21","303.81K","-2.18%"
"Aug 04, 2019","177.51","173.92","179.40","171.13","472.24K","0.20%"
"Jul 28, 2019","177.16","185.32","185.32","176.48","395.48K","-4.57%"
"Jul 21, 2019","185.65","184.05","186.34","183.18","196.90K","1.09%"
"Jul 14, 2019","183.64","186.70","187.07","183.56","177.81K","-1.38%"
"Jul 07, 2019","186.21","182.21","186.34","182.15","315.58K","1.77%"
"Jun 30, 2019","182.97","181.64","183.05","179.93","189.64K","2.00%"
"Jun 23, 2019","179.39","179.94","179.94","176.48","292.62K","-0.24%"
"Jun 16, 2019","179.83","178.39","181.71","178.24","191.61K","1.01%"
"Jun 09, 2019","178.04","175.36","178.44","175.36","205.56K","2.22%"
"Jun 02, 2019","174.18","166.64","174.55","164.89","482.04K","4.36%"
"May 26, 2019","166.90","171.42","172.39","166.50","296.91K","-2.41%"
"May 19, 2019","171.03","173.76","175.25","169.85","301.53K","-2.15%"
"May 12, 2019","174.79","173.92","177.53","171.31","330.58K","-1.43%"
"May 05, 2019","177.32","179.34","181.47","174.24","761.94K","-2.67%"
"Apr 28, 2019","182.18","182.27","182.50","178.30","336.86K","-0.04%"
"Apr 21, 2019","182.25","179.84","182.75","179.25","479.89K","1.00%"
"Apr 14, 2019","180.45","179.11","181.06","178.24","400.07K","0.83%"
"Apr 07, 2019","178.96","177.46","179.37","176.43","432.34K","0.60%"
"Mar 31, 2019","177.89","173.65","177.93","173.52","585.28K","3.18%"
"Mar 24, 2019","172.41","168.37","172.64","168.30","335.14K","2.14%"
"Mar 17, 2019","168.79","168.46","172.65","168.46","389.88K","0.30%"
"Mar 10, 2019","168.28","165.46","169.16","165.46","344.32K","2.06%"
"Mar 03, 2019","164.89","170.16","170.50","163.66","322.71K","-2.73%"
"Feb 24, 2019","169.51","169.93","170.19","167.49","276.59K","0.31%"
"Feb 17, 2019","168.98","166.88","168.98","166.64","1.19M","1.00%"
"Feb 10, 2019","167.31","163.57","167.73","163.18","517.81K","2.68%"
"Feb 03, 2019","162.95","163.28","166.35","161.86","391.59K","-0.32%"
"Jan 27, 2019","163.47","161.61","166.24","160.25","472.24K","0.13%"
"Jan 20, 2019","163.26","162.34","163.73","158.84","397.48K","-0.01%"
"Jan 13, 2019","163.27","158.62","163.97","157.90","517.24K","2.10%"
"Jan 06, 2019","159.91","154.34","160.95","154.34","576.93K","4.07%"
"Dec 30, 2018","153.66","150.40","154.73","147.69","542.26K","3.09%"
"Dec 23, 2018","149.06","141.02","151.24","139.15","880.24K","4.68%"
"Dec 16, 2018","142.39","154.63","155.22","142.09","2.44M","-8.51%"
"Dec 09, 2018","155.64","158.22","162.33","155.17","438.59K","-1.77%"
"Dec 02, 2018","158.45","169.44","170.09","158.14","468.16K","-4.41%"
"Nov 25, 2018","165.76","158.89","166.29","158.87","457.28K","5.61%"
"Nov 18, 2018","156.96","162.85","163.02","153.99","389.62K","-3.78%"
"Nov 11, 2018","163.13","167.89","167.89","159.77","363.13K","-3.09%"
"Nov 04, 2018","168.34","166.13","171.96","164.16","402.94K","1.36%"
"Oct 28, 2018","166.08","160.80","168.16","154.88","655.81K","4.45%"
"Oct 21, 2018","159.00","164.26","165.00","157.09","945.02K","-2.75%"
"Oct 14, 2018","163.50","166.63","170.09","163.00","475.80K","-1.88%"
"Oct 07, 2018","166.63","171.89","174.17","162.14","1.13M","-3.46%"
"Sep 30, 2018","172.60","181.78","181.95","171.01","668.02K","-4.35%"
"Sep 23, 2018","180.45","179.68","181.85","178.44","262.43K","-0.21%"
"Sep 16, 2018","180.83","180.41","182.50","178.45","311.81K","0.09%"
"Sep 09, 2018","180.67","179.97","181.75","178.93","384.39K","1.11%"
"Sep 02, 2018","178.69","180.82","181.76","177.89","299.20K","-1.22%"
"Aug 26, 2018","180.90","179.05","181.24","175.11","276.55K","1.45%"
"Aug 19, 2018","178.32","175.77","179.01","175.62","352.46K","1.76%"
"Aug 12, 2018","175.24","175.67","176.47","173.13","562.55K","-0.03%"
"Aug 05, 2018","175.30","173.29","176.97","172.89","496.38K","1.19%"
"Jul 29, 2018","173.23","172.72","173.59","170.28","363.25K","0.36%"
"Jul 22, 2018","172.60","174.45","175.66","171.94","340.53K","-1.12%"
"Jul 15, 2018","174.55","175.00","176.16","173.85","342.27K","0.08%"
"Jul 08, 2018","174.41","172.43","174.67","171.77","333.44K","1.90%"
"Jul 01, 2018","171.15","168.39","171.37","167.94","352.53K","0.90%"
"Jun 24, 2018","169.63","172.70","172.70","167.49","334.15K","-2.24%"
"Jun 17, 2018","173.51","174.24","175.82","173.37","387.72K","-1.02%"
"Jun 10, 2018","175.29","172.45","175.38","172.31","491.10K","1.73%"
"Jun 03, 2018","172.31","167.09","172.49","167.09","337.39K","3.45%"
"May 27, 2018","166.56","164.88","166.68","163.94","354.86K","0.57%"
"May 20, 2018","165.62","164.90","166.17","163.30","445.93K","0.96%"
"May 13, 2018","164.04","164.08","165.28","162.39","410.12K","0.16%"
"May 06, 2018","163.77","163.18","163.98","161.60","362.47K","0.86%"
"Apr 29, 2018","162.37","163.51","163.79","158.49","250.07K","-0.01%"
"Apr 22, 2018","162.39","161.58","164.00","157.52","284.02K","0.92%"
"Apr 15, 2018","160.91","159.66","164.18","159.04","404.31K","1.39%"
"Apr 08, 2018","158.71","159.20","160.56","157.53","392.48K","0.46%"
"Apr 01, 2018","157.98","157.70","161.72","152.79","791.23K","-0.40%"
"Mar 25, 2018","158.62","159.40","162.32","155.39","383.84K","1.08%"
"Mar 18, 2018","156.93","163.91","164.50","156.85","471.37K","-4.64%"
"Mar 11, 2018","164.57","166.84","167.93","164.57","297.01K","-1.07%"
"Mar 04, 2018","166.35","160.94","166.36","160.47","951.34K","3.05%"
"Feb 25, 2018","161.43","166.54","167.21","158.47","434.11K","-2.67%"
"Feb 18, 2018","165.85","163.81","166.10","163.11","317.90K","0.92%"
"Feb 11, 2018","164.34","159.71","165.63","157.84","664.95K","3.98%"
"Feb 04, 2018","158.05","163.88","166.28","152.43","1.20M","-4.57%"
"Jan 28, 2018","165.62","170.97","171.48","165.31","657.83K","-3.16%"
"Jan 21, 2018","171.02","166.61","171.02","166.47","538.64K","2.73%"
"Jan 14, 2018","166.47","166.37","166.75","163.79","361.98K","0.68%"
"Jan 07, 2018","165.34","160.49","165.44","160.09","478.91K","3.00%"
"Dec 31, 2017","160.52","156.72","160.54","156.22","435.52K","2.92%"
"Dec 24, 2017","155.97","156.58","157.20","155.97","231.81K","-0.44%"
"Dec 17, 2017","156.66","155.94","157.29","155.90","379.75K","1.15%"
"Dec 10, 2017","154.88","154.14","155.30","153.82","309.95K","0.66%"
"Dec 03, 2017","153.87","154.59","155.50","152.40","447.18K","0.61%"
"Nov 26, 2017","152.93","149.86","153.53","149.36","423.20K","2.23%"
"Nov 19, 2017","149.59","148.20","149.62","148.07","155.12K","1.07%"
"Nov 12, 2017","148.00","145.55","148.19","145.00","227.72K","1.49%"
"Nov 05, 2017","145.83","144.87","146.11","144.12","312.20K","0.59%"
"Oct 29, 2017","144.97","145.68","146.52","144.05","214.65K","-0.77%"
"Oct 22, 2017","146.10","145.40","146.18","143.11","268.58K","0.67%"
"Oct 15, 2017","145.13","144.62","145.50","143.74","209.77K","0.37%"
"Oct 08, 2017","144.59","146.08","146.08","143.81","207.60K","-0.84%"
"Oct 01, 2017","145.81","143.58","145.93","143.36","280.34K","1.72%"
"Sep 24, 2017","143.34","142.62","143.48","141.89","546.13K","0.44%"
"Sep 17, 2017","142.71","143.09","143.44","141.83","174.25K","-0.10%"
"Sep 10, 2017","142.85","141.69","143.62","141.59","246.44K","1.30%"
"Sep 03, 2017","141.01","142.28","143.00","140.78","176.81K","-1.01%"
"Aug 27, 2017","142.45","140.47","142.63","139.00","365.01K","1.71%"
"Aug 20, 2017","140.06","139.42","141.09","138.69","210.46K","0.54%"
"Aug 13, 2017","139.31","142.78","143.45","139.08","317.63K","-1.88%"
"Aug 06, 2017","141.98","144.08","145.00","141.15","272.42K","-1.32%"
