"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","199.88","195.12","200.14","195.12","619.76K","2.48%"
"Dec 19, 2021","195.05","191.90","195.50","191.54","559.75K","0.87%"
"Dec 12, 2021","193.37","192.12","196.86","191.85","843.08K","0.60%"
"Dec 05, 2021","192.22","187.00","192.39","186.98","1.11M","3.44%"
"Nov 28, 2021","185.83","187.90","188.75","181.82","686.70K","-0.76%"
"Nov 21, 2021","187.26","188.30","190.94","186.96","358.73K","-0.34%"
"Nov 14, 2021","187.90","190.28","191.28","187.87","764.49K","-1.06%"
"Nov 07, 2021","189.91","190.65","190.93","188.39","715.98K","-0.36%"
"Oct 31, 2021","190.60","186.28","190.92","185.50","889.50K","2.65%"
"Oct 24, 2021","185.68","185.17","186.66","184.35","340.55K","0.12%"
"Oct 17, 2021","185.46","183.08","185.72","181.98","406.56K","0.90%"
"Oct 10, 2021","183.81","182.28","185.21","180.90","334.63K","0.93%"
"Oct 03, 2021","182.12","179.65","184.00","177.86","474.35K","1.35%"
"Sep 26, 2021","179.69","184.12","185.06","178.02","475.63K","-2.56%"
"Sep 19, 2021","184.42","183.44","185.00","181.65","422.01K","-0.43%"
"Sep 12, 2021","185.21","187.05","188.10","184.37","341.76K","-0.56%"
"Sep 05, 2021","186.25","188.84","188.84","185.97","377.13K","-1.43%"
"Aug 29, 2021","188.96","186.44","189.58","186.43","538.31K","1.34%"
"Aug 22, 2021","186.47","188.37","188.67","185.10","349.01K","-1.01%"
"Aug 15, 2021","188.37","187.94","189.68","185.40","549.19K","0.21%"
"Aug 08, 2021","187.98","184.81","188.20","184.47","361.08K","2.07%"
"Aug 01, 2021","184.17","185.55","185.96","183.00","453.08K","-0.72%"
"Jul 25, 2021","185.50","184.93","186.47","184.00","404.34K","0.25%"
"Jul 18, 2021","185.03","183.50","185.54","182.13","1.57M","0.44%"
"Jul 11, 2021","184.22","182.54","185.18","181.83","917.59K","0.78%"
"Jul 04, 2021","182.80","182.12","183.15","180.60","308.35K","0.36%"
"Jun 27, 2021","182.15","182.08","182.91","180.97","315.91K","0.13%"
"Jun 20, 2021","181.92","179.36","182.10","179.17","1.24M","1.43%"
"Jun 13, 2021","179.36","185.21","185.49","179.26","513.64K","-3.19%"
"Jun 06, 2021","185.27","186.98","187.05","184.22","381.61K","-0.76%"
"May 30, 2021","186.68","185.29","187.07","183.91","288.56K","1.00%"
"May 23, 2021","184.83","185.50","186.47","184.36","394.30K","-0.14%"
"May 16, 2021","185.09","185.41","186.25","182.32","435.47K","-0.16%"
"May 09, 2021","185.38","185.02","187.07","181.50","567.07K","0.39%"
"May 02, 2021","184.66","182.00","185.00","181.29","519.15K","1.74%"
"Apr 25, 2021","181.50","181.71","181.86","179.21","478.03K","-0.17%"
"Apr 18, 2021","181.80","182.32","183.79","180.07","638.14K","-0.35%"
"Apr 11, 2021","182.44","179.90","182.68","179.21","599.65K","1.41%"
"Apr 04, 2021","179.90","178.12","181.12","178.12","627.05K","1.23%"
"Mar 28, 2021","177.72","178.38","180.49","176.43","497.98K","-0.59%"
"Mar 21, 2021","178.78","173.82","179.01","173.70","455.06K","2.92%"
"Mar 14, 2021","173.70","174.08","174.96","172.51","481.33K","-0.02%"
"Mar 07, 2021","173.74","169.72","173.85","169.48","1.76M","2.65%"
"Feb 28, 2021","169.26","166.89","169.76","164.57","630.65K","2.15%"
"Feb 21, 2021","165.70","169.49","170.98","165.62","724.55K","-2.47%"
"Feb 14, 2021","169.89","172.43","172.56","169.80","521.22K","-1.34%"
"Feb 07, 2021","172.20","172.14","173.82","171.31","483.76K","0.36%"
"Jan 31, 2021","171.59","167.69","172.17","166.42","604.92K","2.88%"
"Jan 24, 2021","166.79","168.74","173.72","166.79","776.69K","-1.34%"
"Jan 17, 2021","169.06","170.62","170.98","168.59","559.97K","-0.55%"
"Jan 10, 2021","169.99","172.43","173.21","169.44","1.57M","-1.86%"
"Jan 03, 2021","173.21","174.01","174.01","170.15","605.59K","-0.41%"
"Dec 27, 2020","173.92","172.88","174.38","172.21","294.35K","1.00%"
"Dec 20, 2020","172.20","171.74","172.25","169.95","492.70K","-0.61%"
"Dec 13, 2020","173.26","174.38","174.96","172.36","383.52K","-0.21%"
"Dec 06, 2020","173.63","173.89","174.86","172.56","422.12K","-0.37%"
"Nov 29, 2020","174.28","171.89","174.28","170.49","409.90K","1.17%"
"Nov 22, 2020","172.27","171.20","172.78","170.13","634.80K","0.83%"
"Nov 15, 2020","170.86","174.92","175.00","170.63","595.25K","-1.37%"
"Nov 08, 2020","173.24","171.39","173.37","166.44","516.14K","3.84%"
"Nov 01, 2020","166.84","161.45","167.67","160.72","552.07K","4.59%"
"Oct 25, 2020","159.52","166.37","166.46","157.69","613.97K","-4.80%"
"Oct 18, 2020","167.57","169.54","170.08","166.49","358.24K","-1.09%"
"Oct 11, 2020","169.42","168.71","170.87","167.48","537.41K","0.77%"
"Oct 04, 2020","168.12","164.13","168.89","163.55","502.85K","2.69%"
"Sep 27, 2020","163.72","162.08","164.74","161.26","523.97K","1.79%"
"Sep 20, 2020","160.84","160.99","162.41","157.71","845.83K","-0.60%"
"Sep 13, 2020","161.81","164.78","166.09","160.78","1.22M","-1.36%"
"Sep 06, 2020","164.04","166.86","167.60","163.10","423.85K","-1.77%"
"Aug 30, 2020","166.99","167.56","172.31","165.20","648.51K","-0.58%"
"Aug 23, 2020","167.97","164.65","167.97","164.04","435.06K","2.38%"
"Aug 16, 2020","164.06","164.19","165.80","162.99","419.39K","0.03%"
"Aug 09, 2020","164.01","162.38","164.75","161.57","902.17K","1.12%"
"Aug 02, 2020","162.19","159.84","162.30","158.75","464.72K","1.43%"
"Jul 26, 2020","159.90","158.30","160.60","157.86","524.69K","1.00%"
"Jul 19, 2020","158.32","156.73","160.10","154.99","1.06M","0.87%"
"Jul 12, 2020","156.96","154.16","157.51","152.50","1.02M","2.24%"
"Jul 05, 2020","153.52","151.64","153.67","149.88","916.64K","2.14%"
"Jun 28, 2020","150.30","146.43","151.87","146.30","665.84K","3.26%"
"Jun 21, 2020","145.55","150.23","151.61","145.41","672.46K","-4.01%"
"Jun 14, 2020","151.63","146.38","154.28","145.53","464.34K","2.48%"
"Jun 07, 2020","147.96","154.36","156.24","146.62","822.53K","-4.18%"
"May 31, 2020","154.42","150.98","155.01","150.98","1.24M","2.18%"
"May 24, 2020","151.13","148.70","151.82","147.13","819.81K","3.24%"
"May 17, 2020","146.38","148.11","149.03","145.58","917.39K","0.40%"
"May 10, 2020","145.79","147.32","149.74","142.36","3.57M","-1.46%"
"May 03, 2020","147.95","145.63","148.26","144.29","763.39K","1.20%"
"Apr 26, 2020","146.19","149.43","151.38","145.56","1.24M","-1.56%"
"Apr 19, 2020","148.50","151.11","152.28","146.04","839.87K","-2.64%"
"Apr 12, 2020","152.52","146.76","153.05","144.37","1.76M","3.71%"
"Apr 05, 2020","147.07","143.30","149.04","140.97","1.92M","5.49%"
"Mar 29, 2020","139.42","136.57","140.71","133.31","2.19M","3.14%"
"Mar 22, 2020","135.18","126.38","138.91","120.70","2.47M","6.80%"
"Mar 15, 2020","126.57","129.02","144.63","125.62","3.18M","-10.75%"
"Mar 08, 2020","141.81","146.99","152.89","130.75","1.60M","-8.97%"
"Mar 01, 2020","155.79","147.84","160.14","147.84","1.56M","5.74%"
"Feb 23, 2020","147.34","161.91","162.94","142.52","3.05M","-10.45%"
"Feb 16, 2020","164.53","164.66","164.90","162.97","422.83K","-0.22%"
"Feb 09, 2020","164.89","163.33","164.89","162.96","437.62K","0.91%"
"Feb 02, 2020","163.40","160.88","164.14","160.44","730.47K","1.90%"
"Jan 26, 2020","160.36","160.70","162.91","160.05","550.60K","-1.10%"
"Jan 19, 2020","162.15","162.81","163.90","161.62","507.21K","-0.59%"
"Jan 12, 2020","163.11","160.22","163.38","160.12","729.09K","1.94%"
"Jan 05, 2020","160.01","159.28","160.57","158.59","555.70K","0.26%"
"Dec 29, 2019","159.59","161.71","161.71","159.00","489.98K","-1.44%"
"Dec 22, 2019","161.92","161.74","161.94","160.76","308.51K","0.30%"
"Dec 15, 2019","161.44","159.37","161.96","158.83","499.66K","0.90%"
"Dec 08, 2019","160.00","159.81","160.62","158.99","355.07K","0.14%"
"Dec 01, 2019","159.78","157.90","160.41","157.11","429.93K","1.06%"
"Nov 24, 2019","158.11","156.54","158.50","156.00","227.59K","1.18%"
"Nov 17, 2019","156.26","156.48","157.93","155.72","535.88K","-0.19%"
"Nov 10, 2019","156.56","155.08","157.17","154.59","346.40K","0.92%"
"Nov 03, 2019","155.14","156.18","156.27","153.58","759.83K","-0.52%"
"Oct 27, 2019","155.95","155.43","156.51","154.75","477.11K","0.39%"
"Oct 20, 2019","155.35","154.68","156.38","154.39","361.92K","0.53%"
"Oct 13, 2019","154.53","155.05","155.06","153.06","489.21K","-0.15%"
"Oct 06, 2019","154.76","155.82","155.98","153.35","771.47K","-0.85%"
"Sep 29, 2019","156.09","156.00","157.16","152.27","555.88K","0.19%"
"Sep 22, 2019","155.80","155.22","157.24","154.95","538.29K","0.42%"
"Sep 15, 2019","155.15","155.72","156.44","154.55","481.94K","-0.81%"
"Sep 08, 2019","156.41","156.83","157.82","155.02","765.16K","-0.23%"
"Sep 01, 2019","156.77","154.18","157.69","153.80","432.23K","1.34%"
"Aug 25, 2019","154.70","153.22","155.75","152.69","728.96K","1.60%"
"Aug 18, 2019","152.27","154.85","155.50","151.43","645.20K","-0.92%"
"Aug 11, 2019","153.68","151.23","154.20","149.72","1.19M","1.39%"
"Aug 04, 2019","151.58","150.56","152.81","146.75","630.31K","0.01%"
"Jul 28, 2019","151.56","154.42","155.83","150.81","511.18K","-1.79%"
"Jul 21, 2019","154.33","153.56","154.46","152.00","345.92K","0.63%"
"Jul 14, 2019","153.37","153.25","154.88","152.67","743.21K","0.26%"
"Jul 07, 2019","152.97","151.92","153.29","150.74","422.93K","0.64%"
"Jun 30, 2019","152.00","149.52","152.71","148.76","510.19K","2.18%"
"Jun 23, 2019","148.76","150.49","151.06","147.84","502.87K","-0.92%"
"Jun 16, 2019","150.14","151.29","151.91","149.19","550.96K","-0.73%"
"Jun 09, 2019","151.24","150.29","151.64","149.67","527.23K","0.87%"
"Jun 02, 2019","149.93","142.76","150.59","142.72","691.97K","5.10%"
"May 26, 2019","142.66","147.98","148.19","142.38","401.65K","-3.58%"
"May 19, 2019","147.96","148.45","149.16","147.42","535.47K","-0.56%"
"May 12, 2019","148.79","146.33","150.06","145.77","582.65K","0.71%"
"May 05, 2019","147.74","146.91","148.13","144.88","799.14K","-0.28%"
"Apr 28, 2019","148.16","147.03","149.16","146.39","497.22K","0.75%"
"Apr 21, 2019","147.05","146.57","147.44","145.43","1.09M","0.21%"
"Apr 14, 2019","146.74","145.23","147.65","145.23","332.54K","1.03%"
"Apr 07, 2019","145.25","143.83","145.43","143.72","361.88K","0.96%"
"Mar 31, 2019","143.87","145.56","145.56","142.44","912.44K","-0.92%"
"Mar 24, 2019","145.21","142.66","145.32","142.16","584.31K","1.74%"
"Mar 17, 2019","142.73","142.81","143.82","141.15","1.60M","-0.01%"
"Mar 10, 2019","142.74","139.83","143.24","139.83","431.93K","2.26%"
"Mar 03, 2019","139.58","141.31","141.40","138.99","532.99K","-0.98%"
"Feb 24, 2019","140.96","141.82","142.00","139.95","631.92K","-0.30%"
"Feb 17, 2019","141.39","141.26","142.15","140.50","2.16M","0.36%"
"Feb 10, 2019","140.88","139.29","141.39","138.90","619.04K","1.15%"
"Feb 03, 2019","139.28","137.89","139.28","137.61","442.86K","1.05%"
"Jan 27, 2019","137.83","133.82","138.67","133.34","1.16M","2.70%"
"Jan 20, 2019","134.21","135.64","136.63","133.74","813.74K","-1.39%"
"Jan 13, 2019","136.10","133.40","136.50","132.94","1.56M","1.75%"
"Jan 06, 2019","133.76","132.53","133.89","131.30","936.26K","0.93%"
"Dec 30, 2018","132.53","130.98","132.60","129.28","897.98K","1.49%"
"Dec 23, 2018","130.58","128.92","132.08","124.93","2.44M","0.86%"
"Dec 16, 2018","129.47","138.95","139.16","129.46","3.33M","-7.08%"
"Dec 09, 2018","139.34","141.39","143.08","138.75","902.67K","-1.11%"
"Dec 02, 2018","140.91","145.48","145.70","139.68","618.96K","-3.00%"
"Nov 25, 2018","145.27","142.00","145.27","141.00","883.60K","2.71%"
"Nov 18, 2018","141.44","144.65","145.43","140.52","1.07M","-2.26%"
"Nov 11, 2018","144.71","146.46","147.15","143.08","932.68K","-1.44%"
"Nov 04, 2018","146.82","142.85","147.14","142.74","950.71K","2.79%"
"Oct 28, 2018","142.83","140.33","143.89","139.63","1.14M","2.40%"
"Oct 21, 2018","139.48","141.67","143.50","138.67","830.24K","-1.51%"
"Oct 14, 2018","141.62","135.74","141.92","135.74","837.23K","4.22%"
"Oct 07, 2018","135.88","138.62","140.76","134.67","824.19K","-2.03%"
"Sep 30, 2018","138.69","140.35","141.11","137.96","505.87K","-1.02%"
"Sep 23, 2018","140.12","142.57","142.74","139.34","463.76K","-2.46%"
"Sep 16, 2018","143.65","142.36","143.95","141.68","1.20M","0.88%"
"Sep 09, 2018","142.39","141.60","143.24","141.15","466.25K","0.76%"
"Sep 02, 2018","141.32","139.83","141.78","139.45","498.17K","0.91%"
"Aug 26, 2018","140.05","140.97","141.29","139.44","835.24K","-0.43%"
"Aug 19, 2018","140.66","142.94","143.40","140.32","441.96K","-1.50%"
"Aug 12, 2018","142.80","138.51","142.90","137.81","554.34K","3.17%"
"Aug 05, 2018","138.41","141.08","141.62","138.15","410.06K","-1.89%"
"Jul 29, 2018","141.08","138.06","141.64","137.47","530.78K","1.86%"
"Jul 22, 2018","138.50","137.10","139.57","136.11","549.82K","0.82%"
"Jul 15, 2018","137.38","137.03","137.75","135.50","438.44K","0.18%"
"Jul 08, 2018","137.14","136.29","137.33","135.57","464.19K","0.67%"
"Jul 01, 2018","136.23","133.76","136.74","132.73","486.24K","1.46%"
"Jun 24, 2018","134.27","135.52","136.89","133.45","784.93K","-1.17%"
"Jun 17, 2018","135.86","134.76","136.06","133.09","1.45M","0.30%"
"Jun 10, 2018","135.46","132.54","135.50","132.54","574.41K","2.13%"
"Jun 03, 2018","132.63","129.88","132.63","129.45","530.00K","2.31%"
"May 27, 2018","129.64","129.61","131.87","129.10","570.10K","-0.35%"
"May 20, 2018","130.10","129.72","130.86","129.04","548.97K","0.69%"
"May 13, 2018","129.21","129.34","130.26","127.88","678.44K","0.07%"
"May 06, 2018","129.12","129.48","129.93","127.52","588.99K","-0.15%"
"Apr 29, 2018","129.31","132.13","132.74","126.78","705.47K","-1.99%"
