"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","77.61","76.76","79.44","75.99","3.93M","0.88%"
"Dec 19, 2021","76.93","73.19","77.94","72.20","5.88M","2.38%"
"Dec 12, 2021","75.14","79.40","79.64","74.39","8.91M","-6.33%"
"Dec 05, 2021","80.22","78.15","81.09","77.15","6.85M","4.15%"
"Nov 28, 2021","77.02","79.89","80.61","74.55","10.34M","-1.26%"
"Nov 21, 2021","78.00","76.88","81.90","76.03","5.66M","1.30%"
"Nov 14, 2021","77.00","81.23","82.58","76.81","7.89M","-5.24%"
"Nov 07, 2021","81.26","83.20","84.20","80.59","4.43M","-1.49%"
"Oct 31, 2021","82.49","81.95","82.87","80.49","4.82M","1.56%"
"Oct 24, 2021","81.22","83.00","84.21","80.74","4.65M","-1.00%"
"Oct 17, 2021","82.04","81.89","82.79","80.58","5.16M","1.21%"
"Oct 10, 2021","81.06","81.21","81.99","78.15","6.84M","1.38%"
"Oct 03, 2021","79.96","77.00","80.19","75.60","8.02M","4.96%"
"Sep 26, 2021","76.18","74.40","77.22","73.73","6.88M","4.61%"
"Sep 19, 2021","72.82","67.75","73.15","66.42","5.05M","4.57%"
"Sep 12, 2021","69.64","68.39","71.14","68.07","4.69M","3.31%"
"Sep 05, 2021","67.41","68.15","69.13","66.61","2.99M","-1.73%"
"Aug 29, 2021","68.60","69.65","69.77","66.94","4.10M","-0.92%"
"Aug 22, 2021","69.24","65.62","69.70","65.51","4.38M","8.12%"
"Aug 15, 2021","64.04","68.08","68.13","62.92","7.12M","-7.08%"
"Aug 08, 2021","68.92","68.34","70.45","67.76","4.50M","-0.51%"
"Aug 01, 2021","69.27","69.28","71.03","67.69","6.52M","-0.03%"
"Jul 25, 2021","69.29","68.41","70.89","68.39","6.04M","1.55%"
"Jul 18, 2021","68.23","65.95","69.96","64.94","11.18M","-0.25%"
"Jul 11, 2021","68.40","73.69","74.84","68.22","7.32M","-8.14%"
"Jul 04, 2021","74.46","76.99","76.99","71.64","3.49M","-3.31%"
"Jun 27, 2021","77.01","77.70","77.90","74.88","3.88M","-1.12%"
"Jun 20, 2021","77.88","73.68","78.25","73.68","4.01M","5.79%"
"Jun 13, 2021","73.62","78.25","79.49","73.56","6.03M","-5.32%"
"Jun 06, 2021","77.76","78.13","79.42","76.60","4.38M","-0.37%"
"May 30, 2021","78.05","74.31","78.40","74.14","3.92M","7.27%"
"May 23, 2021","72.76","73.13","73.53","71.53","3.00M","0.14%"
