"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","96.57","96.32","97.74","95.91","3.14M","0.49%"
"Dec 19, 2021","96.10","93.12","96.69","91.54","4.33M","1.60%"
"Dec 12, 2021","94.59","96.38","97.42","93.91","3.48M","-2.14%"
"Dec 05, 2021","96.66","95.62","97.88","95.08","2.38M","2.35%"
"Nov 28, 2021","94.44","97.71","97.87","93.23","5.03M","-2.14%"
"Nov 21, 2021","96.51","98.61","100.21","95.37","2.91M","-0.95%"
"Nov 14, 2021","97.44","100.33","100.66","96.77","3.15M","-2.64%"
"Nov 07, 2021","100.08","100.43","101.04","99.27","2.30M","0.16%"
"Oct 31, 2021","99.92","100.29","101.26","98.98","2.31M","0.27%"
"Oct 24, 2021","99.65","100.75","101.21","98.58","2.41M","-0.82%"
"Oct 17, 2021","100.47","97.53","100.69","97.25","3.71M","2.94%"
"Oct 10, 2021","97.60","96.57","98.20","93.50","2.71M","1.24%"
"Oct 03, 2021","96.40","94.02","96.75","93.26","2.36M","2.43%"
"Sep 26, 2021","94.11","95.32","96.35","92.55","3.40M","-0.57%"
"Sep 19, 2021","94.65","90.73","94.88","89.29","2.86M","1.95%"
"Sep 12, 2021","92.84","93.45","94.34","92.18","1.45M","0.15%"
"Sep 05, 2021","92.70","94.29","94.40","92.69","1.37M","-1.56%"
"Aug 29, 2021","94.17","96.10","96.19","93.88","2.02M","-2.00%"
"Aug 22, 2021","96.09","93.36","96.13","93.36","2.20M","3.49%"
"Aug 15, 2021","92.85","94.34","94.77","91.46","1.72M","-2.22%"
"Aug 08, 2021","94.96","93.26","95.74","92.72","2.75M","1.71%"
"Aug 01, 2021","93.36","90.66","93.55","89.08","1.57M","3.51%"
"Jul 25, 2021","90.19","89.16","91.27","88.75","1.66M","1.03%"
"Jul 18, 2021","89.27","87.00","90.47","85.85","3.47M","0.51%"
"Jul 11, 2021","88.82","89.97","91.43","88.64","7.20M","-1.74%"
"Jul 04, 2021","90.39","90.84","90.84","87.42","3.78M","-0.70%"
"Jun 27, 2021","91.03","91.22","91.35","89.92","3.90M","-0.38%"
"Jun 20, 2021","91.38","87.49","91.59","87.43","3.06M","4.88%"
"Jun 13, 2021","87.13","92.51","92.60","87.04","3.16M","-5.90%"
"Jun 06, 2021","92.59","94.68","94.68","91.95","3.07M","-2.01%"
"May 30, 2021","94.49","94.42","94.78","93.50","2.19M","1.05%"
"May 23, 2021","93.51","93.07","93.77","91.53","2.32M","0.98%"
"May 16, 2021","92.60","93.07","93.63","90.08","2.06M","-0.76%"
"May 09, 2021","93.31","93.74","94.26","89.82","4.25M","0.09%"
"May 02, 2021","93.23","90.56","93.26","89.29","3.08M","3.82%"
"Apr 25, 2021","89.80","88.35","90.67","88.18","2.79M","2.12%"
"Apr 18, 2021","87.94","87.78","88.30","85.25","3.83M","0.21%"
"Apr 11, 2021","87.76","87.09","88.03","86.14","2.96M","0.85%"
"Apr 04, 2021","87.02","86.48","87.02","85.39","2.57M","1.74%"
