"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","458.17","457.96","467.06","457.91","2.13M","0.37%"
"Dec 19, 2021","456.49","435.90","458.28","433.66","1.72M","3.26%"
"Dec 12, 2021","442.06","460.90","462.00","436.71","2.58M","-3.91%"
"Dec 05, 2021","460.04","436.80","460.62","431.24","2.09M","5.51%"
"Nov 28, 2021","436.00","447.93","454.93","430.74","3.69M","-1.38%"
"Nov 21, 2021","442.12","458.94","463.68","440.24","3.24M","-3.36%"
"Nov 14, 2021","457.47","450.94","459.42","446.38","3.62M","1.80%"
"Nov 07, 2021","449.40","450.00","452.89","440.17","2.92M","0.29%"
"Oct 31, 2021","448.09","434.38","451.36","431.95","1.65M","3.21%"
"Oct 24, 2021","434.16","428.54","434.43","426.89","1.48M","1.71%"
"Oct 17, 2021","426.87","417.73","430.36","416.92","2.10M","1.67%"
"Oct 10, 2021","419.86","406.01","420.00","403.94","2.09M","2.92%"
"Oct 03, 2021","407.93","405.02","413.10","394.06","5.15M","0.26%"
"Sep 26, 2021","406.86","419.05","419.76","398.68","3.66M","-3.72%"
"Sep 19, 2021","422.56","411.80","423.55","405.34","4.96M","0.88%"
"Sep 12, 2021","418.87","423.67","425.02","417.96","3.70M","-0.45%"
"Sep 05, 2021","420.77","429.78","430.28","420.39","1.40M","-2.00%"
"Aug 29, 2021","429.35","426.19","430.24","425.36","3.29M","1.00%"
"Aug 22, 2021","425.09","417.76","425.45","417.76","1.65M","2.12%"
"Aug 15, 2021","416.28","414.84","416.90","405.12","1.87M","0.05%"
"Aug 08, 2021","416.08","416.92","417.33","409.67","2.23M","-0.10%"
"Aug 01, 2021","416.48","414.07","417.32","408.77","1.57M","1.04%"
"Jul 25, 2021","412.21","413.96","415.40","404.74","3.22M","-0.61%"
"Jul 18, 2021","414.73","397.26","415.15","394.44","3.88M","3.09%"
"Jul 11, 2021","402.28","409.00","412.77","401.80","3.91M","-1.19%"
"Jul 04, 2021","407.11","404.53","408.85","398.28","2.34M","0.84%"
"Jun 27, 2021","403.71","394.50","404.09","394.50","2.53M","2.71%"
"Jun 20, 2021","393.05","384.30","394.54","381.38","1.82M","2.31%"
"Jun 13, 2021","384.18","383.04","388.77","378.25","3.50M","0.47%"
"Jun 06, 2021","382.40","375.46","382.52","374.49","1.57M","1.78%"
"May 30, 2021","375.70","373.98","376.20","366.75","1.55M","0.92%"
"May 23, 2021","372.28","368.57","374.56","368.53","1.73M","1.82%"
"May 16, 2021","365.64","362.13","370.10","352.70","1.65M","0.42%"
"May 09, 2021","364.12","371.03","371.03","350.99","2.94M","-2.25%"
"May 02, 2021","372.50","378.70","379.47","362.81","2.39M","-1.18%"
"Apr 25, 2021","376.94","385.03","388.73","376.10","2.05M","-2.07%"
"Apr 18, 2021","384.92","384.81","386.65","376.88","2.33M","-0.41%"
"Apr 11, 2021","386.49","380.89","388.04","378.52","2.04M","1.19%"
"Apr 04, 2021","381.95","368.64","382.11","367.79","1.79M","4.37%"
"Mar 28, 2021","365.97","356.76","366.10","349.52","1.56M","2.34%"
"Mar 21, 2021","357.59","353.02","360.23","344.80","2.35M","1.72%"
"Mar 14, 2021","351.54","357.32","367.07","349.00","2.55M","-1.52%"
"Mar 07, 2021","356.95","347.96","361.48","339.12","3.44M","2.45%"
"Feb 28, 2021","348.40","362.50","369.57","335.60","3.82M","-2.27%"
"Feb 21, 2021","356.50","369.05","370.07","350.31","3.64M","-4.63%"
"Feb 14, 2021","373.81","382.13","382.73","368.49","1.54M","-1.79%"
"Feb 07, 2021","380.61","372.62","380.79","371.23","2.21M","2.67%"
"Jan 31, 2021","370.70","355.43","372.22","352.99","2.31M","5.52%"
"Jan 24, 2021","351.30","368.18","369.52","349.25","4.39M","-3.43%"
"Jan 17, 2021","363.79","352.10","365.81","350.96","1.92M","4.05%"
"Jan 10, 2021","349.62","354.65","357.66","348.80","3.91M","-2.17%"
"Jan 03, 2021","357.36","355.38","358.67","343.14","3.13M","1.01%"
"Dec 27, 2020","353.79","356.25","357.69","351.10","1.91M","0.26%"
"Dec 20, 2020","352.88","345.77","355.07","342.56","1.70M","1.09%"
"Dec 13, 2020","349.06","339.36","350.81","339.17","2.02M","3.29%"
"Dec 06, 2020","337.93","341.83","345.26","334.08","3.02M","-1.10%"
"Nov 29, 2020","341.70","333.24","341.70","328.80","2.13M","2.58%"
"Nov 22, 2020","333.09","326.05","334.10","322.50","1.43M","2.48%"
"Nov 15, 2020","325.03","326.25","329.18","322.60","1.92M","-0.07%"
"Nov 08, 2020","325.27","336.25","336.25","314.58","3.53M","-0.72%"
"Nov 01, 2020","327.62","300.38","328.38","295.40","3.86M","9.94%"
"Oct 25, 2020","297.99","315.36","317.63","294.79","3.39M","-6.47%"
"Oct 18, 2020","318.60","327.79","328.97","314.73","2.39M","-2.20%"
"Oct 11, 2020","325.78","328.33","333.46","321.13","3.67M","0.75%"
"Oct 04, 2020","323.37","310.41","323.37","309.43","3.51M","4.97%"
"Sep 27, 2020","308.07","309.14","316.18","306.85","3.68M","1.22%"
"Sep 20, 2020","304.36","292.37","305.67","291.18","4.31M","2.35%"
"Sep 13, 2020","297.37","304.38","311.01","293.66","4.17M","-0.69%"
"Sep 06, 2020","299.45","302.26","314.18","295.79","5.74M","-4.42%"
"Aug 30, 2020","313.29","328.29","340.74","299.81","7.12M","-4.24%"
"Aug 23, 2020","327.15","318.21","328.11","313.59","3.15M","4.32%"
"Aug 16, 2020","313.59","305.13","314.04","304.43","2.36M","3.37%"
"Aug 09, 2020","303.38","303.93","306.50","296.51","3.56M","0.06%"
"Aug 02, 2020","303.19","299.48","308.47","298.75","3.95M","2.68%"
"Jul 26, 2020","295.27","282.67","295.33","282.06","2.77M","5.13%"
"Jul 19, 2020","280.86","285.65","294.94","276.39","4.39M","-1.40%"
"Jul 12, 2020","284.86","290.68","292.44","276.14","4.31M","-1.17%"
"Jul 05, 2020","288.23","284.46","290.06","282.36","3.32M","2.61%"
"Jun 28, 2020","280.90","271.28","283.30","267.46","3.38M","3.66%"
"Jun 21, 2020","270.98","272.38","282.04","269.82","3.67M","-0.59%"
"Jun 14, 2020","272.58","259.17","278.02","258.61","3.70M","3.17%"
"Jun 07, 2020","264.20","270.20","278.78","259.66","5.12M","-2.30%"
"May 31, 2020","270.43","259.98","271.17","259.09","3.73M","3.60%"
"May 24, 2020","261.03","261.90","262.55","250.91","3.04M","1.68%"
"May 17, 2020","256.72","252.59","259.36","251.94","3.55M","3.65%"
"May 10, 2020","247.68","249.79","254.91","238.58","7.61M","-1.48%"
"May 03, 2020","251.41","233.33","251.71","232.57","3.82M","6.96%"
"Apr 26, 2020","235.05","236.16","244.20","233.27","4.45M","0.50%"
"Apr 19, 2020","233.89","232.49","235.30","220.84","4.50M","-0.71%"
"Apr 12, 2020","235.57","224.28","236.32","220.62","5.81M","4.75%"
"Apr 05, 2020","224.88","211.58","228.55","210.17","5.69M","11.05%"
"Mar 29, 2020","202.51","209.80","219.25","200.00","5.48M","-2.60%"
"Mar 22, 2020","207.91","186.98","217.94","179.45","8.21M","11.09%"
"Mar 15, 2020","187.15","193.27","206.58","183.01","10.18M","-14.79%"
"Mar 08, 2020","219.63","217.52","230.52","197.76","12.66M","-6.87%"
"Mar 01, 2020","235.83","239.38","251.20","229.49","7.85M","0.08%"
"Feb 23, 2020","235.65","252.18","257.25","223.79","11.59M","-10.97%"
"Feb 16, 2020","264.68","269.27","273.73","262.94","3.38M","-2.40%"
"Feb 09, 2020","271.18","263.57","271.76","263.45","2.60M","2.34%"
"Feb 02, 2020","264.98","254.45","268.62","254.22","3.66M","4.25%"
"Jan 26, 2020","254.18","254.06","261.37","251.44","3.85M","-2.34%"
"Jan 19, 2020","260.26","258.88","263.99","258.74","2.75M","0.24%"
"Jan 12, 2020","259.63","253.54","259.77","253.39","3.41M","2.87%"
"Jan 05, 2020","252.38","244.43","254.27","243.84","2.72M","2.29%"
"Dec 29, 2019","246.72","245.50","249.36","242.10","3.93M","0.44%"
"Dec 22, 2019","245.64","243.92","246.75","243.27","1.32M","1.08%"
"Dec 15, 2019","243.01","240.01","243.34","239.57","2.48M","1.69%"
"Dec 08, 2019","238.97","234.55","239.50","233.21","2.53M","1.73%"
"Dec 01, 2019","234.91","236.42","236.49","228.01","2.36M","-0.53%"
"Nov 24, 2019","236.15","233.13","237.15","232.79","3.01M","1.72%"
"Nov 17, 2019","232.15","233.28","235.34","231.19","2.46M","-0.53%"
"Nov 10, 2019","233.39","228.89","233.40","228.61","1.78M","1.39%"
"Nov 03, 2019","230.20","228.35","230.23","226.03","1.99M","1.61%"
"Oct 27, 2019","226.55","223.22","226.55","221.70","2.42M","2.20%"
"Oct 20, 2019","221.68","217.54","221.81","214.50","1.38M","2.48%"
"Oct 13, 2019","216.31","218.27","221.31","214.81","1.66M","-1.00%"
"Oct 06, 2019","218.50","215.17","220.43","210.94","2.30M","1.20%"
"Sep 29, 2019","215.91","214.05","217.91","206.92","2.38M","1.26%"
"Sep 22, 2019","213.22","216.25","219.00","211.61","1.97M","-1.47%"
"Sep 15, 2019","216.40","215.87","220.56","215.25","1.63M","-0.52%"
"Sep 08, 2019","217.54","219.49","221.00","213.30","3.39M","-0.49%"
"Sep 01, 2019","218.61","211.96","219.77","210.15","1.43M","2.36%"
"Aug 25, 2019","213.56","210.37","215.22","207.16","1.77M","2.78%"
"Aug 18, 2019","207.79","213.84","216.15","207.05","2.26M","-1.30%"
"Aug 11, 2019","210.53","210.21","214.54","205.06","4.09M","-0.50%"
"Aug 04, 2019","211.58","207.58","214.10","202.62","3.71M","-0.76%"
"Jul 28, 2019","213.20","223.28","223.67","211.44","2.99M","-4.51%"
"Jul 21, 2019","223.28","218.51","223.59","218.51","1.64M","2.59%"
"Jul 14, 2019","217.64","219.59","220.90","216.52","2.87M","-0.68%"
"Jul 07, 2019","219.14","214.35","219.16","212.89","2.40M","1.54%"
"Jun 30, 2019","215.82","215.37","216.15","213.03","1.76M","2.34%"
"Jun 23, 2019","210.89","211.80","212.18","207.29","2.06M","-0.24%"
"Jun 16, 2019","211.40","205.58","214.04","205.39","2.00M","2.93%"
"Jun 09, 2019","205.39","207.24","210.31","204.68","3.70M","-0.08%"
"Jun 02, 2019","205.55","194.79","206.73","189.69","3.05M","5.70%"
"May 26, 2019","194.46","199.05","200.36","194.39","2.09M","-2.00%"
"May 19, 2019","198.43","200.85","203.71","196.96","2.35M","-2.73%"
"May 12, 2019","204.00","200.89","207.39","197.95","4.95M","-1.23%"
"May 05, 2019","206.55","208.74","212.56","201.66","4.20M","-3.34%"
"Apr 28, 2019","213.69","212.91","215.77","210.37","4.53M","0.38%"
"Apr 21, 2019","212.89","209.55","215.04","209.35","5.28M","1.19%"
"Apr 14, 2019","210.39","208.53","210.59","207.25","1.77M","0.97%"
"Apr 07, 2019","208.36","205.17","208.40","204.16","2.53M","1.34%"
"Mar 31, 2019","205.61","202.75","206.77","201.50","2.63M","2.48%"
"Mar 24, 2019","200.63","198.11","200.81","195.87","2.39M","0.97%"
"Mar 17, 2019","198.70","199.16","204.24","198.19","3.29M","-0.10%"
"Mar 10, 2019","198.89","190.67","199.73","190.67","3.39M","4.71%"
"Mar 03, 2019","189.94","195.42","195.66","187.13","2.21M","-2.39%"
"Feb 24, 2019","194.60","194.34","195.00","191.97","2.74M","0.95%"
"Feb 17, 2019","192.77","189.42","192.77","189.08","2.45M","1.54%"
"Feb 10, 2019","189.85","185.82","190.00","184.75","2.17M","2.58%"
"Feb 03, 2019","185.07","181.64","186.86","181.59","2.35M","2.03%"
"Jan 27, 2019","181.38","176.30","182.14","174.43","3.11M","1.46%"
"Jan 20, 2019","178.77","175.45","179.20","172.43","2.76M","1.14%"
"Jan 13, 2019","176.75","170.26","177.20","169.56","5.85M","2.85%"
"Jan 06, 2019","171.85","165.87","172.05","165.50","6.95M","3.79%"
"Dec 30, 2018","165.58","166.61","167.77","158.50","3.26M","0.25%"
"Dec 23, 2018","165.17","157.41","167.93","154.72","4.89M","3.95%"
"Dec 16, 2018","158.90","172.27","173.19","158.14","9.07M","-8.08%"
"Dec 09, 2018","172.87","172.90","180.37","171.90","3.48M","-0.46%"
"Dec 02, 2018","173.67","187.15","187.52","172.86","3.68M","-4.93%"
"Nov 25, 2018","182.67","174.40","182.78","173.61","2.52M","6.02%"
"Nov 18, 2018","172.29","181.72","182.00","169.68","3.14M","-5.73%"
"Nov 11, 2018","182.77","185.25","185.55","177.62","6.56M","-2.19%"
"Nov 04, 2018","186.87","184.35","190.64","181.51","2.59M","1.28%"
"Oct 28, 2018","184.51","184.32","188.06","175.12","3.89M","1.56%"
"Oct 21, 2018","181.68","188.04","189.91","178.96","4.61M","-2.98%"
"Oct 14, 2018","187.26","188.81","192.94","186.26","3.50M","-1.06%"
"Oct 07, 2018","189.26","196.50","196.80","182.26","5.89M","-4.10%"
"Sep 30, 2018","197.35","203.58","204.44","195.31","3.03M","-2.57%"
"Sep 23, 2018","202.56","199.83","202.79","198.91","1.97M","0.55%"
"Sep 16, 2018","201.45","202.12","202.97","198.83","3.17M","-0.44%"
"Sep 09, 2018","202.35","199.07","203.34","197.53","2.10M","2.07%"
"Sep 02, 2018","198.25","202.44","203.18","197.45","2.02M","-2.24%"
"Aug 26, 2018","202.80","198.74","203.13","198.25","5.52M","2.51%"
"Aug 19, 2018","197.83","194.21","197.87","192.65","1.77M","2.11%"
"Aug 12, 2018","193.74","193.04","194.36","190.38","2.04M","0.54%"
"Aug 05, 2018","192.69","191.42","194.77","191.14","1.95M","0.62%"
"Jul 29, 2018","191.51","189.15","191.53","184.47","2.24M","1.33%"
"Jul 22, 2018","188.99","189.79","193.50","187.81","2.05M","-0.64%"
"Jul 15, 2018","190.20","189.81","191.22","187.44","1.68M","0.23%"
"Jul 08, 2018","189.76","186.86","190.30","185.90","2.22M","2.11%"
"Jul 01, 2018","185.83","179.99","186.13","179.66","1.79M","2.44%"
"Jun 24, 2018","181.40","184.49","184.49","178.97","3.22M","-2.40%"
"Jun 17, 2018","185.87","187.75","189.43","185.25","2.28M","-1.68%"
"Jun 10, 2018","189.04","187.92","190.46","187.35","2.09M","0.62%"
"Jun 03, 2018","187.88","186.83","190.13","186.31","2.47M","0.84%"
"May 27, 2018","186.32","182.05","186.32","180.61","3.22M","1.88%"
"May 20, 2018","182.89","182.22","183.45","180.01","1.55M","1.27%"
"May 13, 2018","180.60","183.69","184.40","180.28","2.39M","-1.35%"
