"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","266.42","265.35","268.72","264.73","815.20K","0.60%"
"Dec 19, 2021","264.82","260.29","265.59","256.64","1.14M","1.60%"
"Dec 12, 2021","260.64","254.79","262.67","254.26","1.57M","2.36%"
"Dec 05, 2021","254.62","248.04","255.91","246.91","866.63K","2.95%"
"Nov 28, 2021","247.32","254.49","254.82","245.44","1.79M","-2.11%"
"Nov 21, 2021","252.66","256.50","256.72","251.78","853.99K","-1.21%"
"Nov 14, 2021","255.76","259.22","259.22","255.76","1.19M","-1.08%"
"Nov 07, 2021","258.54","258.49","259.86","256.80","851.05K","0.02%"
"Oct 31, 2021","258.49","259.02","262.57","256.46","926.21K","0.02%"
"Oct 24, 2021","258.45","254.95","258.60","253.23","847.73K","1.48%"
"Oct 17, 2021","254.69","247.47","254.85","245.69","816.25K","2.52%"
"Oct 10, 2021","248.44","245.98","249.63","242.80","805.89K","0.94%"
"Oct 03, 2021","246.13","247.23","249.32","241.81","1.14M","-0.63%"
"Sep 26, 2021","247.69","257.00","257.19","243.43","1.44M","-3.76%"
"Sep 19, 2021","257.37","255.25","260.06","253.20","960.09K","-0.55%"
"Sep 12, 2021","258.79","260.18","260.18","255.90","884.42K","-0.07%"
"Sep 05, 2021","258.98","265.18","265.35","258.83","838.53K","-2.58%"
"Aug 29, 2021","265.84","261.16","266.07","260.79","770.39K","1.87%"
"Aug 22, 2021","260.96","262.88","263.52","260.00","1.33M","-0.15%"
"Aug 15, 2021","261.36","257.82","262.70","256.54","1.10M","1.41%"
"Aug 08, 2021","257.72","258.27","259.18","254.41","1.20M","-0.09%"
"Aug 01, 2021","257.94","257.25","260.58","256.10","1.10M","0.59%"
"Jul 25, 2021","256.42","255.17","257.29","252.27","916.83K","0.38%"
"Jul 18, 2021","255.45","247.56","255.76","245.85","1.73M","2.41%"
"Jul 11, 2021","249.43","251.13","252.38","246.76","1.23M","-0.66%"
"Jul 04, 2021","251.09","250.52","251.75","247.74","505.26K","0.06%"
"Jun 27, 2021","250.93","247.67","251.24","246.50","1.11M","1.55%"
"Jun 20, 2021","247.10","242.98","247.57","241.63","1.27M","2.05%"
"Jun 13, 2021","242.13","244.30","245.32","241.54","632.00K","-0.78%"
"Jun 06, 2021","244.04","237.88","245.40","236.81","1.01M","2.75%"
"May 30, 2021","237.51","240.49","240.70","234.14","1.12M","-1.03%"
"May 23, 2021","239.98","241.06","242.24","237.74","695.62K","-0.01%"
"May 16, 2021","240.00","237.81","242.49","234.50","790.60K","0.90%"
"May 09, 2021","237.86","240.84","240.84","234.03","662.58K","-0.95%"
"May 02, 2021","240.15","239.33","241.55","235.12","1.02M","0.81%"
"Apr 25, 2021","238.23","242.00","242.54","237.66","1.18M","-1.48%"
"Apr 18, 2021","241.82","237.20","242.45","236.01","1.41M","1.69%"
"Apr 11, 2021","237.79","230.56","237.97","229.50","1.33M","3.19%"
"Apr 04, 2021","230.45","229.92","231.17","227.47","793.16K","0.80%"
"Mar 28, 2021","228.63","227.94","229.92","226.32","843.48K","0.15%"
"Mar 21, 2021","228.29","227.28","229.77","221.83","935.68K","0.38%"
"Mar 14, 2021","227.42","227.26","229.56","225.20","1.08M","0.11%"
"Mar 07, 2021","227.18","222.96","227.48","220.76","1.35M","2.19%"
"Feb 28, 2021","222.31","226.96","229.04","216.25","1.50M","-1.03%"
"Feb 21, 2021","224.62","229.76","230.70","223.38","1.06M","-2.61%"
"Feb 14, 2021","230.65","237.00","237.20","230.40","1.05M","-2.59%"
"Feb 07, 2021","236.79","234.27","236.82","233.59","1.08M","1.62%"
"Jan 31, 2021","233.02","230.78","233.69","229.34","1.01M","1.74%"
"Jan 24, 2021","229.03","234.90","237.28","226.77","1.48M","-2.25%"
"Jan 17, 2021","234.30","234.00","236.47","233.22","1.45M","0.86%"
"Jan 10, 2021","232.30","232.16","233.78","230.29","1.54M","0.12%"
"Jan 03, 2021","232.02","224.52","233.66","219.10","1.41M","3.71%"
"Dec 27, 2020","223.73","223.39","224.01","220.86","868.64K","0.71%"
"Dec 20, 2020","222.16","220.71","223.09","217.55","898.43K","-0.43%"
"Dec 13, 2020","223.13","222.46","223.92","219.57","1.38M","1.18%"
"Dec 06, 2020","220.52","220.98","223.01","218.98","1.03M","-0.26%"
