"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","202.96","200.20","203.92","199.71","351.00K","1.56%"
"Dec 19, 2021","199.84","193.04","200.40","190.37","1.06M","2.19%"
"Dec 12, 2021","195.55","201.46","201.57","195.28","605.61K","-3.09%"
"Dec 05, 2021","201.79","197.99","203.77","197.54","1.01M","2.80%"
"Nov 28, 2021","196.30","201.45","201.45","191.30","1.12M","-1.44%"
"Nov 21, 2021","199.16","205.60","207.09","197.96","441.80K","-2.80%"
"Nov 14, 2021","204.89","207.89","208.48","204.58","1.72M","-1.06%"
"Nov 07, 2021","207.08","207.84","208.25","205.24","632.04K","0.55%"
"Oct 31, 2021","205.95","201.09","207.18","200.76","429.38K","2.64%"
"Oct 24, 2021","200.65","200.67","202.43","197.63","1.11M","-0.09%"
"Oct 17, 2021","200.84","196.12","201.84","195.81","1.02M","1.75%"
"Oct 10, 2021","197.38","193.47","198.50","190.37","523.90K","1.87%"
"Oct 03, 2021","193.75","190.60","195.04","188.60","457.01K","1.55%"
"Sep 26, 2021","190.79","194.43","196.10","187.59","471.10K","-1.69%"
"Sep 19, 2021","194.06","188.87","194.72","187.39","673.02K","1.12%"
"Sep 12, 2021","191.91","196.04","196.32","191.58","415.37K","-1.36%"
"Sep 05, 2021","194.56","199.13","199.13","194.54","445.64K","-2.51%"
"Aug 29, 2021","199.57","200.72","201.07","197.88","347.85K","-0.33%"
"Aug 22, 2021","200.23","196.31","200.56","196.27","608.84K","2.57%"
"Aug 15, 2021","195.21","199.29","200.29","193.35","728.57K","-2.34%"
"Aug 08, 2021","199.88","197.15","201.59","196.01","557.46K","1.16%"
"Aug 01, 2021","197.59","197.99","200.00","194.82","517.12K","0.13%"
"Jul 25, 2021","197.33","197.03","198.40","194.84","459.08K","0.05%"
"Jul 18, 2021","197.23","190.52","198.07","187.99","1.40M","1.79%"
"Jul 11, 2021","193.77","197.00","198.16","193.58","1.55M","-2.06%"
"Jul 04, 2021","197.85","197.60","198.00","193.12","492.61K","0.04%"
"Jun 27, 2021","197.77","197.21","198.18","194.91","696.27K","0.51%"
"Jun 20, 2021","196.76","192.20","197.49","192.05","854.99K","3.11%"
"Jun 13, 2021","190.83","198.35","198.56","190.51","937.45K","-3.88%"
"Jun 06, 2021","198.53","201.64","201.64","197.47","530.89K","-1.35%"
"May 30, 2021","201.25","202.79","202.92","198.90","448.84K","0.14%"
"May 23, 2021","200.97","198.22","201.47","197.18","583.11K","2.01%"
"May 16, 2021","197.01","199.73","199.97","192.60","763.19K","-1.59%"
"May 09, 2021","200.19","202.92","204.05","193.29","834.28K","-0.77%"
"May 02, 2021","201.74","197.64","202.13","196.23","1.05M","2.90%"
"Apr 25, 2021","196.05","196.99","198.08","195.61","614.66K","-0.02%"
"Apr 18, 2021","196.09","194.65","196.53","190.47","707.46K","0.53%"
"Apr 11, 2021","195.06","193.46","196.00","191.97","882.84K","0.82%"
