"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","116.01","112.11","116.71","112.02","26.09M","2.53%"
"Dec 19, 2021","113.15","110.57","113.69","109.62","21.82M","1.26%"
"Dec 12, 2021","111.74","110.54","112.97","109.84","32.54M","0.88%"
"Dec 05, 2021","110.76","108.42","112.31","108.42","25.67M","2.77%"
"Nov 28, 2021","107.77","108.80","109.72","104.95","34.74M","-0.21%"
"Nov 21, 2021","108.00","109.53","111.29","107.36","13.96M","-1.30%"
"Nov 14, 2021","109.42","109.85","110.59","107.97","16.17M","-0.23%"
"Nov 07, 2021","109.67","110.37","110.58","109.00","15.27M","-0.28%"
"Oct 31, 2021","109.98","109.30","111.27","107.79","18.56M","0.86%"
"Oct 24, 2021","109.04","109.20","110.30","108.40","18.81M","0.00%"
"Oct 17, 2021","109.04","105.94","109.41","105.78","22.27M","2.50%"
"Oct 10, 2021","106.38","102.83","107.40","102.34","15.46M","3.47%"
"Oct 03, 2021","102.81","103.10","105.02","101.00","24.89M","-0.40%"
"Sep 26, 2021","103.22","104.87","105.58","101.78","30.76M","-1.54%"
"Sep 19, 2021","104.83","105.22","107.51","104.49","24.15M","-1.48%"
"Sep 12, 2021","106.40","107.33","108.01","106.18","23.97M","0.00%"
"Sep 05, 2021","106.40","110.65","110.74","106.38","21.31M","-4.08%"
"Aug 29, 2021","110.92","107.05","111.06","106.78","23.16M","3.66%"
"Aug 22, 2021","107.00","106.80","107.33","105.43","15.38M","0.38%"
"Aug 15, 2021","106.59","106.66","107.22","104.85","16.92M","-0.16%"
"Aug 08, 2021","106.76","106.72","106.88","105.19","15.25M","-0.14%"
"Aug 01, 2021","106.91","106.87","107.66","105.43","19.36M","0.58%"
"Jul 25, 2021","106.29","105.75","107.72","105.13","17.21M","0.42%"
"Jul 18, 2021","105.85","104.11","106.52","102.59","22.49M","0.51%"
"Jul 11, 2021","105.31","105.00","106.20","104.08","23.93M","0.24%"
"Jul 04, 2021","105.06","102.51","105.07","101.79","21.77M","2.46%"
"Jun 27, 2021","102.54","103.09","103.20","101.50","25.30M","-0.36%"
"Jun 20, 2021","102.91","102.31","104.21","101.66","16.41M","1.10%"
"Jun 13, 2021","101.79","105.09","105.49","101.79","22.54M","-3.13%"
"Jun 06, 2021","105.08","102.74","105.77","102.71","19.24M","2.48%"
"May 30, 2021","102.54","100.37","103.00","100.01","16.14M","2.66%"
"May 23, 2021","99.88","98.32","100.17","98.23","20.03M","2.04%"
"May 16, 2021","97.88","97.04","98.41","95.46","15.77M","0.82%"
"May 09, 2021","97.08","98.80","99.57","94.64","21.13M","-1.38%"
"May 02, 2021","98.44","99.56","99.56","96.23","30.80M","-0.65%"
"Apr 25, 2021","99.08","98.10","99.30","97.80","19.70M","1.33%"
"Apr 18, 2021","97.78","96.17","98.12","95.51","20.71M","1.73%"
"Apr 11, 2021","96.12","93.93","96.40","93.14","21.62M","2.54%"
"Apr 04, 2021","93.74","94.16","94.58","92.98","22.80M","0.22%"
"Mar 28, 2021","93.53","92.64","93.58","91.48","20.83M","0.74%"
"Mar 21, 2021","92.84","90.50","92.89","88.83","17.87M","2.60%"
"Mar 14, 2021","90.49","91.83","93.20","90.41","20.74M","-1.23%"
"Mar 07, 2021","91.62","87.23","91.66","86.59","19.22M","5.48%"
"Feb 28, 2021","86.86","88.87","89.67","84.44","29.82M","-1.15%"
"Feb 21, 2021","87.87","88.70","91.45","87.77","25.49M","-1.18%"
"Feb 14, 2021","88.92","89.92","89.97","88.25","13.14M","-0.75%"
"Feb 07, 2021","89.59","88.43","90.10","87.79","15.17M","1.68%"
"Jan 31, 2021","88.11","85.48","88.29","84.42","21.85M","3.71%"
"Jan 24, 2021","84.96","85.74","87.31","84.51","32.02M","-0.94%"
"Jan 17, 2021","85.77","85.14","86.37","83.99","20.21M","1.37%"
"Jan 10, 2021","84.61","82.53","84.87","81.23","33.25M","1.85%"
"Jan 03, 2021","83.07","85.20","85.28","81.73","25.76M","-2.19%"
"Dec 27, 2020","84.93","84.29","85.14","83.40","18.36M","1.25%"
"Dec 20, 2020","83.88","83.70","85.93","83.23","13.05M","-1.24%"
"Dec 13, 2020","84.93","85.08","86.77","83.85","17.35M","0.64%"
"Dec 06, 2020","84.39","86.21","86.49","83.57","18.08M","-2.35%"
"Nov 29, 2020","86.42","84.78","86.44","83.72","23.08M","1.80%"
"Nov 22, 2020","84.89","85.19","86.41","84.08","17.18M","0.33%"
"Nov 15, 2020","84.61","87.17","87.44","83.73","23.85M","-0.90%"
"Nov 08, 2020","85.38","84.53","88.29","82.39","25.94M","6.86%"
"Nov 01, 2020","79.90","77.40","81.29","76.88","19.02M","4.32%"
"Oct 25, 2020","76.59","79.74","79.86","75.46","18.00M","-4.69%"
"Oct 18, 2020","80.36","81.03","81.20","79.44","23.02M","-0.57%"
"Oct 11, 2020","80.82","83.12","83.64","80.33","20.56M","-2.65%"
"Oct 04, 2020","83.02","82.23","83.88","80.83","19.67M","1.33%"
"Sep 27, 2020","81.93","78.79","82.19","78.08","21.39M","5.44%"
"Sep 20, 2020","77.70","79.16","79.32","75.72","27.98M","-3.07%"
"Sep 13, 2020","80.16","80.78","84.49","80.02","21.48M","-0.11%"
"Sep 06, 2020","80.25","81.54","82.74","79.51","15.50M","-2.01%"
"Aug 30, 2020","81.90","82.48","84.04","80.53","22.14M","-0.84%"
"Aug 23, 2020","82.59","81.00","82.59","79.92","17.37M","2.11%"
