"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","135.56","136.81","138.47","135.51","504.39K","-0.67%"
"Dec 19, 2021","136.48","131.62","136.88","130.68","795.87K","2.55%"
"Dec 12, 2021","133.08","134.29","134.83","130.49","1.09M","-1.03%"
"Dec 05, 2021","134.47","132.03","136.69","131.32","1.10M","2.40%"
"Nov 28, 2021","131.32","137.29","137.34","129.20","2.49M","-3.42%"
"Nov 21, 2021","135.97","140.63","140.65","135.45","1.55M","-3.02%"
"Nov 14, 2021","140.21","143.97","144.71","140.02","3.27M","-2.24%"
"Nov 07, 2021","143.43","145.37","145.37","141.60","574.12K","-0.79%"
"Oct 31, 2021","144.57","142.24","145.39","141.54","595.58K","1.97%"
"Oct 24, 2021","141.78","141.09","142.76","140.14","534.16K","0.18%"
"Oct 17, 2021","141.52","141.96","145.15","140.83","654.61K","-0.69%"
"Oct 10, 2021","142.50","142.22","143.55","139.21","1.27M","-0.07%"
"Oct 03, 2021","142.60","142.50","144.86","139.35","551.08K","-0.44%"
"Sep 26, 2021","143.23","145.43","146.28","140.67","746.40K","-1.91%"
"Sep 19, 2021","146.02","144.24","146.26","141.63","577.60K","-0.39%"
"Sep 12, 2021","146.59","149.05","149.05","145.87","457.70K","-1.01%"
"Sep 05, 2021","148.08","150.22","150.79","148.05","335.45K","-1.27%"
"Aug 29, 2021","149.99","148.65","151.27","147.97","706.02K","1.16%"
"Aug 22, 2021","148.27","144.37","148.54","144.37","535.48K","3.09%"
"Aug 15, 2021","143.82","144.39","144.89","141.35","424.87K","-0.70%"
"Aug 08, 2021","144.84","145.04","145.50","143.90","1.41M","-0.09%"
"Aug 01, 2021","144.97","145.38","145.77","142.09","569.45K","0.20%"
"Jul 25, 2021","144.68","146.76","147.88","144.26","777.25K","-1.46%"
"Jul 18, 2021","146.82","139.87","147.16","138.56","650.78K","3.83%"
"Jul 11, 2021","141.40","144.47","145.25","141.20","2.36M","-1.89%"
"Jul 04, 2021","144.12","145.72","146.00","141.42","971.13K","-0.90%"
"Jun 27, 2021","145.43","144.05","145.54","143.30","1.13M","1.10%"
"Jun 20, 2021","143.85","139.54","144.01","138.93","896.96K","3.24%"
"Jun 13, 2021","139.33","140.95","142.05","138.59","540.96K","-1.09%"
"Jun 06, 2021","140.87","139.08","140.92","139.08","904.39K","1.23%"
"May 30, 2021","139.16","139.17","139.80","136.78","379.74K","0.42%"
"May 23, 2021","138.58","135.74","139.54","135.74","375.62K","2.65%"
"May 16, 2021","135.00","135.03","136.00","130.62","1.05M","-0.18%"
"May 09, 2021","135.25","137.36","137.36","131.62","1.20M","-1.93%"
"May 02, 2021","137.91","139.44","139.51","134.27","727.49K","-0.57%"
"Apr 25, 2021","138.70","136.41","140.20","135.93","607.87K","2.04%"
"Apr 18, 2021","135.93","136.48","136.89","133.50","651.84K","-0.51%"
"Apr 11, 2021","136.62","136.42","137.52","134.98","908.31K","-0.14%"
"Apr 04, 2021","136.81","133.53","136.95","133.26","553.62K","3.29%"
"Mar 28, 2021","132.45","128.33","132.54","127.54","539.13K","3.15%"
"Mar 21, 2021","128.40","133.74","135.05","126.22","832.08K","-3.75%"
"Mar 14, 2021","133.40","133.36","135.92","132.14","544.17K","0.13%"
"Mar 07, 2021","133.23","130.69","134.30","128.84","1.32M","2.08%"
"Feb 28, 2021","130.52","130.49","132.47","126.10","968.33K","1.60%"
"Feb 21, 2021","128.46","129.70","132.13","126.67","869.28K","-1.75%"
"Feb 14, 2021","130.75","132.11","133.43","130.62","573.17K","-0.77%"
"Feb 07, 2021","131.77","129.86","131.83","128.79","1.30M","2.13%"
"Jan 31, 2021","129.02","121.18","129.12","120.08","520.04K","7.54%"
"Jan 24, 2021","119.97","124.08","125.44","119.04","668.89K","-2.89%"
"Jan 17, 2021","123.54","118.64","124.27","118.02","531.30K","4.94%"
"Jan 10, 2021","117.72","119.91","120.48","116.85","1.35M","-2.86%"
