"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","156.40","152.68","156.94","152.00","834.42K","2.64%"
"Dec 19, 2021","152.38","150.72","153.37","149.22","949.30K","0.36%"
"Dec 12, 2021","151.84","151.04","155.01","151.02","1.03M","0.52%"
"Dec 05, 2021","151.06","148.19","151.74","148.12","1.11M","2.59%"
"Nov 28, 2021","147.24","146.98","148.52","143.81","1.30M","0.73%"
"Nov 21, 2021","146.18","147.41","149.28","145.83","664.84K","-0.90%"
"Nov 14, 2021","147.51","146.77","148.31","146.07","859.13K","0.92%"
"Nov 07, 2021","146.16","147.47","147.47","144.39","828.48K","-0.59%"
"Oct 31, 2021","147.03","146.14","147.79","144.37","843.74K","0.53%"
"Oct 24, 2021","146.26","146.72","148.17","145.60","704.52K","-0.42%"
"Oct 17, 2021","146.87","142.80","147.08","141.62","691.50K","2.23%"
"Oct 10, 2021","143.66","141.00","144.83","139.47","948.32K","1.51%"
"Oct 03, 2021","141.52","139.27","144.40","139.15","1.08M","1.66%"
"Sep 26, 2021","139.21","143.01","144.31","138.60","1.11M","-2.65%"
"Sep 19, 2021","143.00","144.08","145.51","142.60","939.96K","-1.12%"
"Sep 12, 2021","144.62","149.94","150.31","144.51","1.25M","-2.89%"
"Sep 05, 2021","148.93","151.33","152.40","148.93","873.40K","-1.66%"
"Aug 29, 2021","151.44","149.24","152.65","148.87","917.66K","1.45%"
"Aug 22, 2021","149.27","152.02","152.04","148.48","1.04M","-1.89%"
"Aug 15, 2021","152.15","149.94","152.23","149.25","827.83K","1.60%"
"Aug 08, 2021","149.76","147.47","149.96","146.48","652.96K","1.62%"
"Aug 01, 2021","147.37","144.75","148.38","144.18","930.64K","2.20%"
"Jul 25, 2021","144.20","143.52","146.50","142.72","1.16M","0.35%"
"Jul 18, 2021","143.69","144.14","145.07","140.84","1.03M","-0.83%"
"Jul 11, 2021","144.89","141.47","145.60","140.40","746.15K","2.25%"
"Jul 04, 2021","141.70","140.50","142.11","138.79","679.65K","0.85%"
"Jun 27, 2021","140.50","140.92","141.85","138.30","1.12M","0.04%"
"Jun 20, 2021","140.45","140.02","141.60","138.25","975.78K","0.02%"
"Jun 13, 2021","140.42","145.11","146.46","140.29","754.87K","-3.21%"
"Jun 06, 2021","145.08","143.34","145.16","141.82","665.85K","1.38%"
"May 30, 2021","143.10","142.96","143.87","141.38","489.35K","0.48%"
"May 23, 2021","142.41","144.96","145.25","141.66","704.28K","-1.36%"
"May 16, 2021","144.37","143.92","144.90","140.90","1.31M","0.20%"
"May 09, 2021","144.08","144.88","147.17","140.57","1.39M","-0.30%"
"May 02, 2021","144.51","146.13","147.26","142.20","894.66K","-0.90%"
