"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","90.61","88.59","91.08","88.46","15.70M","2.60%"
"Dec 19, 2021","88.31","85.98","88.60","84.57","17.58M","0.74%"
"Dec 12, 2021","87.66","88.25","89.34","86.36","30.92M","-0.72%"
"Dec 05, 2021","88.30","86.17","88.64","85.86","26.48M","3.50%"
"Nov 28, 2021","85.31","87.06","87.25","83.75","48.35M","-1.26%"
"Nov 21, 2021","86.40","88.35","89.39","85.47","26.60M","-2.16%"
"Nov 14, 2021","88.31","90.13","90.17","88.02","24.39M","-1.99%"
"Nov 07, 2021","90.10","88.78","90.14","88.54","28.13M","2.60%"
"Oct 31, 2021","87.82","85.26","88.06","85.02","32.62M","3.17%"
"Oct 24, 2021","85.12","85.37","86.27","84.63","25.38M","0.34%"
"Oct 17, 2021","84.83","83.43","85.73","83.28","28.28M","0.81%"
"Oct 10, 2021","84.15","81.46","84.57","80.93","31.26M","3.66%"
"Oct 03, 2021","81.18","80.47","82.52","79.06","37.94M","1.01%"
"Sep 26, 2021","80.37","81.28","82.16","78.89","40.45M","-0.86%"
"Sep 19, 2021","81.07","79.08","81.74","78.37","33.73M","-0.32%"
"Sep 12, 2021","81.33","84.75","85.00","81.07","35.57M","-3.19%"
"Sep 05, 2021","84.01","85.07","85.13","83.71","26.97M","-1.59%"
"Aug 29, 2021","85.37","86.30","86.46","84.65","33.58M","-0.67%"
"Aug 22, 2021","85.95","84.25","86.20","84.04","25.44M","2.59%"
"Aug 15, 2021","83.78","85.92","86.13","82.84","35.91M","-3.09%"
"Aug 08, 2021","86.45","83.99","86.63","83.36","30.38M","2.75%"
"Aug 01, 2021","84.14","84.42","84.91","82.37","34.35M","0.14%"
"Jul 25, 2021","84.02","81.93","84.54","81.13","32.32M","2.80%"
"Jul 18, 2021","81.73","79.66","81.81","78.68","38.88M","0.79%"
"Jul 11, 2021","81.09","82.48","83.50","80.94","44.61M","-2.28%"
"Jul 04, 2021","82.98","82.84","83.20","80.67","28.10M","0.12%"
"Jun 27, 2021","82.88","82.39","83.08","81.49","28.12M","0.91%"
"Jun 20, 2021","82.13","81.33","82.90","81.30","35.13M","1.72%"
"Jun 13, 2021","80.74","85.88","86.09","80.74","51.92M","-6.25%"
"Jun 06, 2021","86.12","87.95","87.95","85.66","32.21M","-2.04%"
"May 30, 2021","87.91","88.27","88.62","86.65","23.97M","0.74%"
"May 23, 2021","87.26","87.11","87.78","86.07","27.43M","0.76%"
"May 16, 2021","86.60","87.96","88.88","85.38","39.73M","-1.49%"
"May 09, 2021","87.91","88.89","89.21","85.46","44.37M","0.05%"
"May 02, 2021","87.87","83.75","88.04","83.66","36.50M","5.82%"
"Apr 25, 2021","83.04","83.24","83.97","82.67","23.40M","0.16%"
"Apr 18, 2021","82.91","82.66","83.17","81.19","29.52M","0.30%"
"Apr 11, 2021","82.66","80.00","82.88","79.78","25.96M","3.26%"
"Apr 04, 2021","80.05","80.31","80.94","78.70","34.52M","0.70%"
"Mar 28, 2021","79.49","79.40","80.17","78.45","27.31M","-0.25%"
"Mar 21, 2021","79.69","77.55","79.75","75.83","38.72M","2.17%"
"Mar 14, 2021","78.00","78.69","79.54","77.08","32.27M","-0.88%"
"Mar 07, 2021","78.69","75.56","79.11","75.42","39.45M","4.49%"
"Feb 28, 2021","75.31","74.52","76.52","72.34","54.02M","2.39%"
"Feb 21, 2021","73.55","74.96","76.58","73.07","42.82M","-2.00%"
"Feb 14, 2021","75.05","74.62","75.38","73.20","23.84M","0.96%"
"Feb 07, 2021","74.34","74.16","74.40","72.95","28.99M","1.10%"
"Jan 31, 2021","73.53","71.37","73.63","70.32","35.11M","4.09%"
"Jan 24, 2021","70.64","74.08","74.73","70.01","47.47M","-5.03%"
"Jan 17, 2021","74.38","75.95","76.15","73.78","22.51M","-1.27%"
"Jan 10, 2021","75.34","75.38","77.77","74.55","35.34M","-1.53%"
"Jan 03, 2021","76.51","73.03","77.39","71.29","64.58M","5.69%"
"Dec 27, 2020","72.39","72.25","72.51","70.77","12.17M","1.13%"
"Dec 20, 2020","71.58","70.58","71.88","70.00","13.85M","-0.87%"
"Dec 13, 2020","72.21","71.52","72.39","69.97","22.44M","1.85%"
"Dec 06, 2020","70.90","71.73","72.13","70.37","21.29M","-1.23%"
"Nov 29, 2020","71.78","71.61","72.33","70.20","27.09M","0.10%"
"Nov 22, 2020","71.71","70.31","72.30","70.02","16.86M","2.80%"
"Nov 15, 2020","69.76","70.12","70.55","68.80","25.21M","1.09%"
"Nov 08, 2020","69.01","71.26","72.41","67.40","43.74M","1.49%"
"Nov 01, 2020","68.00","64.13","68.61","63.96","42.85M","7.63%"
"Oct 25, 2020","63.18","65.17","65.18","61.54","34.67M","-4.27%"
"Oct 18, 2020","66.00","66.49","66.72","64.72","21.16M","-0.41%"
"Oct 11, 2020","66.27","66.89","66.97","65.00","28.08M","-0.36%"
"Oct 04, 2020","66.51","63.81","66.80","63.58","43.20M","5.07%"
"Sep 27, 2020","63.30","63.35","64.24","61.84","44.63M","1.34%"
"Sep 20, 2020","62.46","64.09","64.15","60.93","36.78M","-4.96%"
"Sep 13, 2020","65.72","65.61","67.14","65.33","40.73M","1.00%"
"Sep 06, 2020","65.07","63.80","65.42","62.75","31.69M","0.98%"
"Aug 30, 2020","64.44","63.86","66.33","62.74","52.15M","0.73%"
"Aug 23, 2020","63.97","62.68","64.03","62.46","14.86M","3.36%"
"Aug 16, 2020","61.89","63.12","63.36","61.55","12.43M","-1.18%"
"Aug 09, 2020","62.63","61.77","63.21","61.68","22.81M","1.49%"
"Aug 02, 2020","61.71","60.67","62.41","59.66","30.31M","2.24%"
"Jul 26, 2020","60.36","61.87","62.59","59.60","24.61M","-1.81%"
"Jul 19, 2020","61.47","61.13","62.28","60.53","20.60M","0.51%"
"Jul 12, 2020","61.16","58.59","61.32","57.80","36.34M","5.47%"
"Jul 05, 2020","57.99","58.62","58.78","56.36","44.87M","0.80%"
"Jun 28, 2020","57.53","54.95","58.00","54.82","25.06M","5.58%"
"Jun 21, 2020","54.49","55.86","56.97","53.93","25.57M","-3.01%"
"Jun 14, 2020","56.18","53.59","57.79","53.29","31.40M","2.07%"
"Jun 07, 2020","55.04","60.06","60.24","53.76","59.49M","-8.01%"
"May 31, 2020","59.83","55.47","60.29","55.39","22.42M","7.90%"
"May 24, 2020","55.45","54.13","55.89","53.94","23.98M","4.76%"
"May 17, 2020","52.93","52.62","54.10","52.49","22.10M","4.05%"
"May 10, 2020","50.87","51.61","52.17","48.31","24.20M","-3.07%"
"May 03, 2020","52.48","50.40","52.55","49.90","21.25M","3.33%"
"Apr 26, 2020","50.79","50.01","53.74","49.94","27.96M","1.87%"
"Apr 19, 2020","49.86","49.38","50.18","47.59","25.19M","-0.80%"
"Apr 12, 2020","50.26","51.02","51.67","47.52","40.75M","-2.26%"
"Apr 05, 2020","51.42","44.44","51.70","44.44","68.88M","20.68%"
"Mar 29, 2020","42.61","44.81","46.17","42.42","49.55M","-3.73%"
"Mar 22, 2020","44.26","40.16","46.14","38.16","71.59M","8.80%"
"Mar 15, 2020","40.68","37.69","44.40","37.69","59.58M","-12.53%"
"Mar 08, 2020","46.51","49.68","51.53","42.37","73.40M","-13.11%"
"Mar 01, 2020","53.53","53.22","56.79","52.49","92.41M","1.54%"
"Feb 23, 2020","52.72","58.81","59.08","51.15","95.10M","-12.63%"
"Feb 16, 2020","60.34","60.42","61.03","60.08","23.24M","-0.28%"
"Feb 09, 2020","60.51","60.00","60.94","59.87","19.57M","0.70%"
"Feb 02, 2020","60.09","57.85","61.29","57.80","63.12M","4.27%"
"Jan 26, 2020","57.63","58.68","59.63","57.44","34.71M","-3.53%"
"Jan 19, 2020","59.74","60.72","60.83","59.33","15.25M","-2.29%"
"Jan 12, 2020","61.14","59.63","61.15","59.57","28.66M","2.62%"
"Jan 05, 2020","59.58","59.55","60.11","59.20","53.53M","-0.23%"
"Dec 29, 2019","59.72","61.29","61.94","59.70","25.48M","-2.35%"
"Dec 22, 2019","61.16","60.85","61.61","60.70","14.20M","0.46%"
"Dec 15, 2019","60.88","60.99","61.06","60.25","25.05M","0.73%"
"Dec 08, 2019","60.44","60.16","61.24","59.51","22.38M","0.57%"
"Dec 01, 2019","60.10","59.94","60.20","58.62","33.05M","0.10%"
"Nov 24, 2019","60.04","59.53","60.31","59.45","15.63M","1.20%"
"Nov 17, 2019","59.33","60.11","60.47","59.08","18.21M","-1.71%"
"Nov 10, 2019","60.36","59.85","60.80","59.74","21.42M","0.32%"
"Nov 03, 2019","60.17","59.45","60.18","59.16","17.90M","1.97%"
"Oct 27, 2019","59.01","58.49","59.07","57.87","25.70M","1.29%"
"Oct 20, 2019","58.26","57.77","58.40","56.84","19.78M","1.30%"
"Oct 13, 2019","57.51","57.15","58.05","56.91","19.66M","0.28%"
"Oct 06, 2019","57.35","56.16","57.88","55.11","42.63M","1.85%"
"Sep 29, 2019","56.31","57.74","58.49","55.10","37.45M","-2.43%"
