"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","55.50","54.72","56.61","54.26","81.62M","1.09%"
"Dec 19, 2021","54.90","52.23","55.66","51.66","99.28M","0.97%"
"Dec 12, 2021","54.37","56.73","56.90","53.88","152.96M","-5.01%"
"Dec 05, 2021","57.24","55.99","57.87","55.30","135.25M","3.81%"
"Nov 28, 2021","55.14","56.79","57.36","53.40","214.82M","-0.79%"
"Nov 21, 2021","55.58","54.59","58.24","54.14","133.92M","1.66%"
"Nov 14, 2021","54.67","57.50","58.59","54.55","140.17M","-5.00%"
"Nov 07, 2021","57.55","58.75","59.40","57.13","117.31M","-1.22%"
"Oct 31, 2021","58.26","58.04","58.62","56.97","126.01M","1.37%"
"Oct 24, 2021","57.47","58.66","59.41","57.12","127.18M","-0.83%"
"Oct 17, 2021","57.95","57.89","58.50","56.94","133.64M","1.08%"
"Oct 10, 2021","57.33","57.42","57.91","55.37","153.56M","1.34%"
"Oct 03, 2021","56.57","54.42","56.70","53.50","238.41M","5.07%"
"Sep 26, 2021","53.84","52.02","53.89","51.95","228.54M","5.78%"
"Sep 19, 2021","50.90","47.55","51.16","46.47","160.74M","3.20%"
"Sep 12, 2021","49.32","48.41","50.30","48.24","164.62M","3.20%"
"Sep 05, 2021","47.79","48.39","48.99","47.13","87.16M","-1.71%"
"Aug 29, 2021","48.62","49.50","49.69","47.51","124.98M","-1.40%"
"Aug 22, 2021","49.31","47.00","49.64","46.90","115.79M","7.45%"
"Aug 15, 2021","45.89","48.75","48.79","45.14","158.26M","-7.14%"
"Aug 08, 2021","49.42","48.85","50.29","48.48","106.38M","-0.18%"
"Aug 01, 2021","49.51","49.42","50.62","48.40","134.33M","0.24%"
"Jul 25, 2021","49.39","48.64","50.57","48.55","113.36M","1.79%"
"Jul 18, 2021","48.52","47.02","49.65","46.30","187.30M","-0.33%"
"Jul 11, 2021","48.68","52.25","53.14","48.59","146.03M","-7.89%"
"Jul 04, 2021","52.85","54.51","54.61","50.95","114.93M","-3.36%"
"Jun 27, 2021","54.69","55.10","55.27","53.14","111.19M","-1.17%"
"Jun 20, 2021","55.34","52.29","55.55","52.29","126.68M","5.63%"
"Jun 13, 2021","52.39","55.58","56.55","52.35","191.79M","-5.40%"
"Jun 06, 2021","55.38","55.74","56.65","54.66","124.56M","-0.66%"
"May 30, 2021","55.75","53.24","55.98","53.21","125.94M","6.78%"
"May 23, 2021","52.21","52.52","52.80","51.42","106.16M","0.10%"
"May 16, 2021","52.16","53.30","54.84","51.31","166.44M","-2.49%"
"May 09, 2021","53.49","54.30","55.14","51.18","200.80M","-0.26%"
"May 02, 2021","53.63","49.96","53.72","49.80","150.59M","8.58%"
"Apr 25, 2021","49.39","47.36","51.29","47.36","134.30M","3.89%"
"Apr 18, 2021","47.54","48.50","48.85","46.25","127.18M","-1.78%"
"Apr 11, 2021","48.40","48.61","49.84","47.38","128.83M","0.44%"
"Apr 04, 2021","48.19","50.21","50.22","47.95","132.33M","-4.21%"
"Mar 28, 2021","50.31","50.00","50.33","48.87","106.91M","-0.24%"
"Mar 21, 2021","50.43","48.90","50.50","47.26","198.70M","1.82%"
"Mar 14, 2021","49.53","53.45","53.60","48.86","185.35M","-7.54%"
"Mar 07, 2021","53.57","53.47","54.37","51.75","204.25M","1.17%"
"Feb 28, 2021","52.95","49.42","53.07","49.06","223.20M","9.97%"
"Feb 21, 2021","48.15","46.49","50.81","46.41","208.98M","4.27%"
"Feb 14, 2021","46.18","45.70","46.77","45.27","130.71M","3.38%"
"Feb 07, 2021","44.67","43.18","44.75","43.09","141.33M","4.96%"
"Jan 31, 2021","42.56","39.80","43.00","38.94","147.93M","8.24%"
"Jan 24, 2021","39.32","41.61","42.64","39.17","178.50M","-6.54%"
"Jan 17, 2021","42.07","43.27","44.09","41.02","108.39M","-1.59%"
"Jan 10, 2021","42.75","40.52","45.00","40.29","184.21M","3.21%"
"Jan 03, 2021","41.42","38.34","42.00","37.51","181.83M","9.29%"
"Dec 27, 2020","37.90","38.26","38.74","37.45","84.27M","-0.58%"
"Dec 20, 2020","38.12","37.41","38.85","37.02","103.60M","-3.25%"
"Dec 13, 2020","39.40","41.75","41.76","39.09","152.85M","-4.18%"
"Dec 06, 2020","41.12","40.15","42.08","39.18","173.81M","1.21%"
"Nov 29, 2020","40.63","38.48","40.66","36.69","202.10M","4.42%"
"Nov 22, 2020","38.91","36.37","40.42","36.33","146.06M","8.66%"
"Nov 15, 2020","35.81","35.32","36.93","34.81","180.63M","5.70%"
"Nov 08, 2020","33.88","32.40","34.57","28.92","297.28M","17.11%"
"Nov 01, 2020","28.93","29.11","30.28","28.57","185.40M","0.73%"
"Oct 25, 2020","28.72","29.87","29.91","26.98","167.70M","-5.50%"
"Oct 18, 2020","30.39","30.30","30.88","29.19","130.65M","0.66%"
"Oct 11, 2020","30.19","30.69","31.23","29.73","108.39M","-1.95%"
"Oct 04, 2020","30.79","29.57","31.65","29.50","139.81M","5.05%"
"Sep 27, 2020","29.31","30.73","31.23","28.20","131.82M","-2.88%"
"Sep 20, 2020","30.18","32.26","32.50","29.54","142.36M","-10.21%"
"Sep 13, 2020","33.61","32.71","34.38","32.48","129.72M","3.03%"
"Sep 06, 2020","32.62","34.21","34.37","32.35","136.60M","-6.45%"
"Aug 30, 2020","34.87","36.49","36.54","34.44","134.69M","-4.31%"
"Aug 23, 2020","36.44","36.25","37.28","35.36","99.78M","1.14%"
"Aug 16, 2020","36.03","38.20","38.22","35.69","79.85M","-5.66%"
"Aug 09, 2020","38.19","37.46","39.53","37.37","107.40M","2.72%"
"Aug 02, 2020","37.18","36.02","37.90","35.72","112.01M","3.19%"
"Jul 26, 2020","36.03","37.46","37.72","35.30","110.83M","-3.95%"
"Jul 19, 2020","37.51","36.56","38.55","36.05","116.88M","2.23%"
"Jul 12, 2020","36.69","35.87","37.74","35.01","133.89M","3.24%"
"Jul 05, 2020","35.54","38.00","38.27","34.24","119.88M","-4.82%"
"Jun 28, 2020","37.34","36.60","38.51","36.31","85.75M","2.27%"
"Jun 21, 2020","36.51","38.88","39.94","36.34","124.50M","-7.73%"
"Jun 14, 2020","39.57","38.12","41.90","37.70","133.70M","-0.63%"
"Jun 07, 2020","39.82","46.47","46.88","38.71","222.69M","-11.20%"
"May 31, 2020","44.84","38.70","45.24","38.18","153.95M","15.69%"
"May 24, 2020","38.76","39.71","40.36","37.95","135.99M","0.73%"
"May 17, 2020","38.48","38.05","39.62","37.69","138.20M","6.92%"
"May 10, 2020","35.99","38.52","38.63","34.30","144.03M","-7.19%"
"May 03, 2020","38.78","35.19","38.92","35.02","133.51M","8.17%"
"Apr 26, 2020","35.85","34.36","39.08","33.58","159.68M","3.55%"
"Apr 19, 2020","34.62","31.95","35.54","31.39","227.77M","1.97%"
"Apr 12, 2020","33.95","35.09","35.22","30.64","185.03M","0.12%"
"Apr 05, 2020","33.91","30.50","36.46","30.09","222.82M","13.68%"
"Mar 29, 2020","29.83","27.95","31.76","27.09","237.27M","5.29%"
"Mar 22, 2020","28.33","25.13","31.00","23.15","228.65M","9.55%"
"Mar 15, 2020","25.86","27.95","31.11","22.88","248.40M","-19.66%"
"Mar 08, 2020","32.19","35.07","36.82","28.80","231.41M","-24.26%"
"Mar 01, 2020","42.50","46.28","47.99","41.86","200.63M","-6.12%"
"Feb 23, 2020","45.27","52.10","52.40","43.52","254.75M","-16.38%"
"Feb 16, 2020","54.14","54.10","55.40","53.62","55.63M","-0.81%"
"Feb 09, 2020","54.58","53.70","55.35","53.38","70.18M","1.11%"
