"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","39.05","38.94","39.53","38.74","155.91M","0.59%"
"Dec 19, 2021","38.82","37.81","39.17","37.21","231.67M","0.60%"
"Dec 12, 2021","38.59","38.96","39.74","38.35","335.46M","-1.18%"
"Dec 05, 2021","39.05","38.63","39.48","38.33","322.65M","2.68%"
"Nov 28, 2021","38.03","39.22","39.36","37.54","497.86M","-1.91%"
"Nov 21, 2021","38.77","39.54","40.26","38.33","260.44M","-0.64%"
"Nov 14, 2021","39.02","40.26","40.36","38.72","231.09M","-2.81%"
"Nov 07, 2021","40.15","40.27","40.53","39.76","212.64M","0.32%"
"Oct 31, 2021","40.02","40.54","40.68","39.69","218.03M","-0.60%"
"Oct 24, 2021","40.26","40.72","40.86","39.92","223.82M","-0.89%"
"Oct 17, 2021","40.62","39.43","40.69","39.32","210.59M","2.81%"
"Oct 10, 2021","39.51","39.11","39.71","37.74","291.69M","1.26%"
"Oct 03, 2021","39.02","38.09","39.24","37.76","281.16M","2.28%"
"Sep 26, 2021","38.15","38.56","38.92","37.49","348.59M","-0.18%"
"Sep 19, 2021","38.22","36.59","38.35","36.03","319.07M","1.70%"
"Sep 12, 2021","37.58","37.85","38.28","37.38","248.02M","0.00%"
"Sep 05, 2021","37.58","38.20","38.22","37.55","144.52M","-1.29%"
"Aug 29, 2021","38.07","39.02","39.04","37.98","188.42M","-2.38%"
"Aug 22, 2021","39.00","37.88","39.01","37.88","191.38M","3.48%"
"Aug 15, 2021","37.69","38.33","38.52","37.22","222.84M","-2.31%"
"Aug 08, 2021","38.58","37.81","38.95","37.60","224.98M","1.90%"
"Aug 01, 2021","37.86","36.77","37.93","36.12","237.36M","3.67%"
"Jul 25, 2021","36.52","36.19","36.98","36.02","201.11M","0.72%"
"Jul 18, 2021","36.26","35.42","36.78","34.90","292.64M","0.39%"
"Jul 11, 2021","36.12","36.49","37.14","36.04","287.20M","-1.61%"
"Jul 04, 2021","36.71","36.85","36.87","35.51","238.60M","-0.62%"
"Jun 27, 2021","36.94","36.86","37.04","36.41","237.35M","0.03%"
"Jun 20, 2021","36.93","35.44","37.03","35.38","280.29M","4.83%"
"Jun 13, 2021","35.23","37.49","37.55","35.18","465.51M","-6.20%"
"Jun 06, 2021","37.56","38.53","38.53","37.29","220.12M","-2.37%"
"May 30, 2021","38.47","38.37","38.60","38.04","155.38M","1.26%"
"May 23, 2021","37.99","37.74","38.10","37.22","185.58M","1.09%"
"May 16, 2021","37.58","37.76","38.05","36.59","248.42M","-0.79%"
"May 09, 2021","37.88","37.98","38.26","36.54","348.71M","0.26%"
"May 02, 2021","37.78","36.57","37.79","36.04","247.16M","4.19%"
"Apr 25, 2021","36.26","35.51","36.61","35.48","222.89M","2.49%"
"Apr 18, 2021","35.38","35.39","35.53","34.41","215.16M","-0.06%"
"Apr 11, 2021","35.40","35.22","35.52","34.78","223.05M","0.71%"
"Apr 04, 2021","35.15","34.84","35.17","34.47","211.85M","1.97%"
"Mar 28, 2021","34.47","33.89","34.47","33.72","229.62M","0.29%"
"Mar 21, 2021","34.37","33.82","34.43","33.00","316.28M","0.44%"
"Mar 14, 2021","34.22","34.90","35.29","33.86","384.52M","-1.58%"
"Mar 07, 2021","34.77","33.96","34.95","33.52","400.06M","3.14%"
"Feb 28, 2021","33.71","32.86","33.95","32.60","400.73M","4.33%"
"Feb 21, 2021","32.31","32.30","33.84","32.19","421.56M","-0.31%"
"Feb 14, 2021","32.41","31.84","32.52","31.70","231.49M","2.82%"
"Feb 07, 2021","31.52","30.99","31.55","30.99","191.41M","2.04%"
"Jan 31, 2021","30.89","29.27","31.13","29.02","243.93M","6.70%"
"Jan 24, 2021","28.95","30.04","30.28","28.82","349.13M","-4.58%"
"Jan 17, 2021","30.34","31.10","31.18","30.20","234.88M","-1.94%"
"Jan 10, 2021","30.94","30.62","31.62","30.49","291.10M","0.06%"
"Jan 03, 2021","30.92","29.59","31.26","28.83","303.22M","4.88%"
"Dec 27, 2020","29.48","29.15","29.52","28.96","99.29M","1.83%"
