"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","105.81","104.08","106.37","103.93","30.40M","1.82%"
"Dec 19, 2021","103.92","100.81","104.26","99.56","43.81M","1.44%"
"Dec 12, 2021","102.44","105.11","105.31","102.41","74.02M","-2.76%"
"Dec 05, 2021","105.35","103.22","105.86","103.05","51.07M","3.08%"
"Nov 28, 2021","102.20","104.26","104.28","99.33","94.04M","-0.98%"
"Nov 21, 2021","103.21","106.07","107.01","102.48","51.46M","-2.38%"
"Nov 14, 2021","105.73","107.33","107.65","105.58","41.20M","-1.09%"
"Nov 07, 2021","106.90","107.33","107.58","105.95","43.74M","0.48%"
"Oct 31, 2021","106.39","104.70","107.05","103.99","54.28M","1.82%"
"Oct 24, 2021","104.49","104.64","105.44","103.14","45.51M","-0.30%"
"Oct 17, 2021","104.80","102.30","105.18","101.89","40.60M","1.86%"
"Oct 10, 2021","102.89","100.82","103.33","98.93","53.98M","1.92%"
"Oct 03, 2021","100.95","99.01","101.69","98.02","66.11M","1.78%"
"Sep 26, 2021","99.18","100.99","101.85","97.48","80.22M","-1.66%"
"Sep 19, 2021","100.85","98.54","101.19","97.78","68.57M","0.52%"
"Sep 12, 2021","100.33","102.74","103.00","100.18","59.89M","-1.60%"
"Sep 05, 2021","101.96","104.23","104.30","101.92","50.37M","-2.51%"
"Aug 29, 2021","104.59","105.10","105.28","103.72","48.75M","-0.31%"
"Aug 22, 2021","104.92","103.11","105.21","103.06","45.90M","2.23%"
"Aug 15, 2021","102.63","104.69","105.37","101.78","67.04M","-2.26%"
"Aug 08, 2021","105.00","103.08","105.73","102.63","51.19M","1.41%"
"Aug 01, 2021","103.54","103.76","104.63","101.97","68.16M","0.17%"
"Jul 25, 2021","103.36","103.33","103.91","102.21","54.48M","-0.24%"
"Jul 18, 2021","103.61","100.28","103.90","98.77","73.55M","1.67%"
"Jul 11, 2021","101.91","102.97","103.75","101.78","64.25M","-1.53%"
"Jul 04, 2021","103.49","103.05","103.65","101.03","57.30M","0.19%"
"Jun 27, 2021","103.29","102.31","103.46","101.35","60.58M","0.92%"
"Jun 20, 2021","102.35","100.10","102.72","100.01","60.01M","2.75%"
"Jun 13, 2021","99.61","103.41","103.70","99.49","76.63M","-3.77%"
"Jun 06, 2021","103.51","105.54","105.56","102.97","48.87M","-1.74%"
"May 30, 2021","105.34","106.14","106.31","104.25","34.47M","0.21%"
"May 23, 2021","105.12","103.67","105.45","103.12","42.36M","2.02%"
"May 16, 2021","103.04","104.41","104.78","100.67","64.46M","-1.61%"
"May 09, 2021","104.73","105.92","106.81","101.33","87.56M","-0.59%"
"May 02, 2021","105.35","102.70","105.60","102.18","68.73M","3.36%"
"Apr 25, 2021","101.93","101.91","102.74","101.20","50.37M","0.36%"
"Apr 18, 2021","101.56","100.98","101.82","99.00","53.02M","0.42%"
"Apr 11, 2021","101.14","100.37","101.80","99.68","50.50M","0.63%"
"Apr 04, 2021","100.51","99.74","100.57","98.61","46.67M","1.75%"
"Mar 28, 2021","98.78","98.21","99.26","97.84","46.37M","0.47%"
"Mar 21, 2021","98.32","96.36","98.38","93.95","76.77M","1.92%"
"Mar 14, 2021","96.47","97.16","98.52","95.93","74.10M","-0.31%"
"Mar 07, 2021","96.77","94.07","96.84","93.81","68.87M","3.56%"
"Feb 28, 2021","93.44","91.93","93.85","89.85","91.07M","3.12%"
"Feb 21, 2021","90.61","90.52","93.66","90.19","82.03M","-0.41%"
"Feb 14, 2021","90.98","90.51","91.25","88.83","30.64M","0.75%"
"Feb 07, 2021","90.30","89.35","90.41","88.74","44.98M","1.47%"
