"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","173.87","173.63","177.04","173.59","27.58M","0.54%"
"Dec 19, 2021","172.94","165.00","173.63","164.36","36.32M","3.01%"
"Dec 12, 2021","167.88","175.24","175.58","166.28","76.22M","-4.00%"
"Dec 05, 2021","174.88","165.61","175.10","163.89","65.87M","5.90%"
"Nov 28, 2021","165.13","168.46","171.79","163.05","106.74M","-0.52%"
"Nov 21, 2021","165.99","171.98","174.25","165.33","50.36M","-3.11%"
"Nov 14, 2021","171.31","167.98","171.96","166.19","39.57M","2.39%"
"Nov 07, 2021","167.31","167.62","168.41","164.03","38.87M","0.14%"
"Oct 31, 2021","167.08","161.53","168.02","160.47","65.07M","3.44%"
"Oct 24, 2021","161.53","159.01","161.63","158.31","36.93M","1.97%"
"Oct 17, 2021","158.41","155.04","159.56","154.61","29.69M","1.60%"
"Oct 10, 2021","155.91","151.28","155.94","150.01","40.16M","2.60%"
"Oct 03, 2021","151.96","150.70","153.71","146.88","81.03M","0.26%"
"Sep 26, 2021","151.57","155.39","155.75","148.34","78.56M","-3.28%"
"Sep 19, 2021","156.71","152.93","156.97","150.35","56.65M","0.79%"
"Sep 12, 2021","155.48","157.82","158.23","155.25","48.11M","-0.73%"
"Sep 05, 2021","156.63","159.55","159.74","156.47","29.72M","-1.71%"
"Aug 29, 2021","159.36","158.47","160.13","158.09","47.63M","0.86%"
"Aug 22, 2021","158.00","156.15","158.36","156.14","27.96M","1.45%"
"Aug 15, 2021","155.74","154.62","155.88","151.21","38.04M","0.48%"
"Aug 08, 2021","154.99","155.04","155.32","152.48","20.52M","0.08%"
"Aug 01, 2021","154.86","154.09","155.04","151.89","24.32M","0.95%"
"Jul 25, 2021","153.40","154.13","154.71","151.05","31.60M","-0.72%"
"Jul 18, 2021","154.52","148.51","154.59","147.37","36.68M","2.81%"
"Jul 11, 2021","150.30","151.80","153.84","150.15","32.65M","-0.60%"
"Jul 04, 2021","151.20","150.18","151.56","148.20","26.81M","0.89%"
"Jun 27, 2021","149.86","145.83","150.01","145.80","28.91M","3.19%"
"Jun 20, 2021","145.23","141.89","145.84","140.97","28.23M","2.21%"
"Jun 13, 2021","142.09","142.11","143.99","140.37","41.20M","0.08%"
"Jun 06, 2021","141.97","139.90","141.97","139.31","26.91M","1.39%"
"May 30, 2021","140.02","139.02","140.18","136.54","23.45M","1.17%"
"May 23, 2021","138.40","137.32","139.49","137.25","29.18M","1.62%"
"May 16, 2021","136.19","135.18","137.77","131.50","44.78M","0.15%"
"May 09, 2021","135.98","138.36","138.43","130.96","58.09M","-2.19%"
"May 02, 2021","139.03","140.45","140.73","135.29","37.75M","-0.48%"
"Apr 25, 2021","139.70","142.75","143.77","139.37","26.62M","-2.10%"
"Apr 18, 2021","142.70","142.66","143.32","139.98","24.96M","-0.42%"
"Apr 11, 2021","143.30","141.19","143.57","140.40","30.58M","1.08%"
"Apr 04, 2021","141.77","136.27","141.81","136.09","28.91M","4.64%"
"Mar 28, 2021","135.48","132.27","135.49","129.94","30.17M","2.12%"
"Mar 21, 2021","132.67","130.02","132.81","127.72","40.29M","2.37%"
"Mar 14, 2021","129.60","131.51","135.09","128.98","46.94M","-1.38%"
"Mar 07, 2021","131.41","128.83","133.18","125.70","51.25M","1.91%"
"Feb 28, 2021","128.95","132.91","135.18","124.71","101.25M","-1.33%"
"Feb 21, 2021","130.69","134.38","134.83","128.61","62.38M","-3.94%"
