"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","77.11","75.30","77.23","75.30","40.61M","2.47%"
"Dec 19, 2021","75.25","74.12","75.50","74.03","41.73M","0.07%"
"Dec 12, 2021","75.20","74.17","76.78","74.06","92.15M","1.36%"
"Dec 05, 2021","74.19","72.08","74.24","72.07","65.69M","3.66%"
"Nov 28, 2021","71.57","72.04","72.42","69.92","101.84M","-0.54%"
"Nov 21, 2021","71.96","72.14","73.22","71.70","48.10M","-0.12%"
"Nov 14, 2021","72.05","72.97","73.38","71.96","46.58M","-1.08%"
"Nov 07, 2021","72.84","73.03","73.18","72.08","51.48M","-0.22%"
"Oct 31, 2021","73.00","71.40","73.12","71.11","49.08M","2.46%"
"Oct 24, 2021","71.25","71.24","71.91","70.74","42.71M","-0.06%"
"Oct 17, 2021","71.29","70.50","71.40","69.93","46.63M","0.68%"
"Oct 10, 2021","70.81","70.16","71.25","69.58","51.72M","1.08%"
"Oct 03, 2021","70.05","69.00","70.75","68.32","67.13M","1.49%"
"Sep 26, 2021","69.02","70.51","70.84","68.37","68.93M","-2.27%"
"Sep 19, 2021","70.62","70.43","70.97","69.67","54.21M","-1.04%"
"Sep 12, 2021","71.36","72.16","72.68","71.15","54.71M","-0.72%"
"Sep 05, 2021","71.88","72.71","72.71","71.74","37.88M","-1.30%"
"Aug 29, 2021","72.83","71.80","73.04","71.73","34.72M","1.46%"
"Aug 22, 2021","71.78","72.77","72.90","71.29","47.50M","-1.35%"
"Aug 15, 2021","72.76","72.51","73.25","71.70","57.73M","0.34%"
"Aug 08, 2021","72.51","71.17","72.58","71.00","50.58M","2.21%"
"Aug 01, 2021","70.94","71.51","71.66","70.55","50.14M","-0.80%"
"Jul 25, 2021","71.51","71.29","71.98","70.89","49.00M","0.15%"
"Jul 18, 2021","71.40","70.80","71.54","70.10","69.87M","0.51%"
"Jul 11, 2021","71.04","70.03","71.31","69.77","44.36M","1.27%"
"Jul 04, 2021","70.15","69.77","70.28","69.31","30.98M","0.31%"
"Jun 27, 2021","69.93","69.73","70.17","69.32","61.91M","0.36%"
