"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","71.58","69.75","71.83","69.54","41.43M","2.67%"
"Dec 19, 2021","69.72","68.80","70.21","68.24","47.96M","-0.41%"
"Dec 12, 2021","70.01","69.08","71.51","69.08","90.88M","1.24%"
"Dec 05, 2021","69.15","67.84","69.48","67.81","71.10M","2.60%"
"Nov 28, 2021","67.40","67.28","67.93","65.71","97.65M","0.96%"
"Nov 21, 2021","66.76","67.25","68.18","66.59","39.99M","-0.80%"
"Nov 14, 2021","67.30","66.94","67.69","66.69","43.57M","0.98%"
"Nov 07, 2021","66.65","67.30","67.31","65.90","47.96M","-0.85%"
"Oct 31, 2021","67.22","66.89","67.53","65.90","55.39M","0.46%"
"Oct 24, 2021","66.91","67.15","67.84","66.58","49.46M","-0.51%"
"Oct 17, 2021","67.25","65.24","67.37","64.70","54.34M","2.39%"
"Oct 10, 2021","65.68","64.50","66.20","63.80","61.81M","1.40%"
"Oct 03, 2021","64.77","63.81","66.24","63.78","72.51M","1.39%"
"Sep 26, 2021","63.88","65.03","65.69","63.37","74.63M","-1.93%"
"Sep 19, 2021","65.14","65.76","66.42","64.98","69.94M","-1.90%"
"Sep 12, 2021","66.40","69.03","69.11","66.34","65.36M","-2.99%"
"Sep 05, 2021","68.45","69.43","69.99","68.37","48.24M","-1.50%"
"Aug 29, 2021","69.49","68.50","70.07","68.25","56.24M","1.42%"
"Aug 22, 2021","68.52","69.88","69.90","68.12","50.56M","-2.02%"
"Aug 15, 2021","69.93","68.68","69.98","68.45","65.78M","1.82%"
"Aug 08, 2021","68.68","67.50","68.76","67.06","46.85M","1.82%"
"Aug 01, 2021","67.45","66.12","67.94","65.93","66.86M","2.24%"
"Jul 25, 2021","65.97","65.58","67.04","65.27","66.34M","0.40%"
"Jul 18, 2021","65.71","66.00","66.53","64.48","70.46M","-0.85%"
"Jul 11, 2021","66.27","64.53","66.61","64.04","61.11M","2.59%"
"Jul 04, 2021","64.60","64.01","64.91","63.28","42.18M","0.91%"
"Jun 27, 2021","64.02","64.24","64.71","62.99","51.06M","0.06%"
"Jun 20, 2021","63.98","63.81","64.62","63.02","51.83M","-0.19%"
"Jun 13, 2021","64.10","66.12","66.86","64.00","77.29M","-3.04%"
"Jun 06, 2021","66.11","65.45","66.16","64.67","42.90M","1.10%"
"May 30, 2021","65.39","65.31","65.76","64.58","40.36M","0.35%"
"May 23, 2021","65.16","66.48","66.59","64.79","46.59M","-1.51%"
"May 16, 2021","66.16","65.88","66.41","64.49","58.53M","0.38%"
"May 09, 2021","65.91","66.18","67.38","64.32","65.67M","-0.20%"
"May 02, 2021","66.04","66.87","67.33","64.97","54.98M","-1.02%"
"Apr 25, 2021","66.72","66.61","66.74","65.29","44.19M","0.21%"
"Apr 18, 2021","66.58","67.25","68.05","66.41","52.57M","-0.94%"
"Apr 11, 2021","67.21","64.83","67.47","64.50","46.91M","3.69%"
"Apr 04, 2021","64.82","64.21","65.31","64.14","49.00M","1.31%"
"Mar 28, 2021","63.98","63.34","64.45","63.10","49.10M","0.80%"
"Mar 21, 2021","63.47","61.60","63.53","61.20","61.45M","2.04%"
"Mar 14, 2021","62.20","62.50","63.45","61.39","78.21M","-0.34%"
"Mar 07, 2021","62.41","59.85","62.60","59.69","62.64M","4.57%"
"Feb 28, 2021","59.68","59.10","60.31","58.27","92.18M","2.26%"
"Feb 21, 2021","58.36","61.24","61.31","58.34","77.43M","-4.97%"
"Feb 14, 2021","61.41","62.55","62.63","61.36","42.73M","-1.93%"
"Feb 07, 2021","62.62","63.73","63.75","62.29","45.59M","-1.53%"
"Jan 31, 2021","63.59","62.55","63.94","61.93","47.85M","2.32%"
"Jan 24, 2021","62.15","62.62","64.19","61.47","74.92M","-1.10%"
"Jan 17, 2021","62.84","63.33","63.40","62.33","48.26M","-0.24%"
"Jan 10, 2021","62.99","62.10","63.18","60.68","60.80M","1.06%"
"Jan 03, 2021","62.33","62.81","63.09","60.61","64.79M","-0.59%"
"Dec 27, 2020","62.70","61.53","62.79","61.25","28.47M","2.43%"
"Dec 20, 2020","61.21","61.28","61.67","60.32","35.45M","-1.73%"
"Dec 13, 2020","62.29","62.68","63.58","61.86","60.07M","0.08%"
"Dec 06, 2020","62.24","62.20","63.06","61.82","48.16M","-0.27%"
"Nov 29, 2020","62.41","63.58","64.17","62.05","60.62M","-2.12%"
"Nov 22, 2020","63.76","63.79","64.44","63.26","36.90M","0.35%"
