"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","140.89","139.80","141.98","139.65","35.95M","1.14%"
"Dec 19, 2021","139.30","137.11","139.75","135.38","41.95M","1.00%"
"Dec 12, 2021","137.92","134.58","139.59","134.58","79.00M","2.48%"
"Dec 05, 2021","134.58","130.71","134.86","130.51","60.00M","3.23%"
"Nov 28, 2021","130.37","132.69","133.22","128.84","98.49M","-1.21%"
"Nov 21, 2021","131.97","133.16","133.72","131.35","41.88M","-0.75%"
"Nov 14, 2021","132.97","134.12","134.63","132.72","39.84M","-0.63%"
"Nov 07, 2021","133.81","133.10","134.12","132.58","41.60M","0.72%"
"Oct 31, 2021","132.86","133.94","135.34","131.90","80.50M","-0.72%"
"Oct 24, 2021","133.82","131.73","133.99","130.71","56.45M","1.63%"
"Oct 17, 2021","131.67","127.41","131.72","126.55","51.09M","2.89%"
"Oct 10, 2021","127.97","126.83","128.55","124.76","49.30M","0.81%"
"Oct 03, 2021","126.94","126.81","128.40","124.50","93.41M","-0.31%"
"Sep 26, 2021","127.33","131.60","131.76","125.28","85.08M","-3.52%"
"Sep 19, 2021","131.98","131.03","133.29","130.01","58.28M","-0.77%"
"Sep 12, 2021","133.00","133.89","133.97","131.70","56.48M","-0.14%"
"Sep 05, 2021","133.19","136.34","136.56","133.12","35.19M","-2.67%"
"Aug 29, 2021","136.85","134.51","137.04","133.96","38.77M","1.65%"
"Aug 22, 2021","134.63","136.88","136.98","134.41","36.59M","-1.09%"
"Aug 15, 2021","136.11","133.69","136.81","133.23","53.63M","1.81%"
"Aug 08, 2021","133.69","133.13","133.79","131.71","46.34M","0.56%"
"Aug 01, 2021","132.94","132.67","134.47","131.94","39.56M","0.60%"
"Jul 25, 2021","132.15","131.11","132.63","130.10","35.91M","0.51%"
"Jul 18, 2021","131.48","127.78","131.61","126.23","60.38M","2.22%"
"Jul 11, 2021","128.62","128.71","129.60","127.48","41.55M","-0.07%"
"Jul 04, 2021","128.71","127.91","129.10","127.11","43.46M","0.33%"
"Jun 27, 2021","128.29","125.83","128.41","125.41","43.69M","2.06%"
"Jun 20, 2021","125.70","123.65","126.08","123.20","35.73M","1.58%"
"Jun 13, 2021","123.74","124.48","125.50","123.57","39.90M","-0.65%"
"Jun 06, 2021","124.55","122.39","125.58","121.21","49.05M","2.01%"
"May 30, 2021","122.09","123.75","123.79","120.61","51.09M","-1.22%"
"May 23, 2021","123.60","125.00","125.25","122.86","36.77M","-0.61%"
