"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","204.44","203.57","206.73","203.48","19.17M","0.62%"
"Dec 19, 2021","203.19","191.88","203.73","189.90","28.97M","4.05%"
"Dec 12, 2021","195.29","203.80","204.14","193.65","45.64M","-4.73%"
"Dec 05, 2021","204.99","200.45","207.51","197.66","37.66M","2.67%"
"Nov 28, 2021","199.65","206.75","208.89","197.60","65.49M","-2.17%"
"Nov 21, 2021","204.07","212.78","215.06","203.73","36.53M","-3.48%"
"Nov 14, 2021","211.42","203.94","211.99","202.45","34.13M","3.74%"
"Nov 07, 2021","203.79","209.01","210.82","201.07","45.13M","-3.54%"
"Oct 31, 2021","211.26","202.63","212.70","201.42","29.42M","5.03%"
"Oct 24, 2021","201.15","194.43","201.61","193.65","26.72M","4.36%"
"Oct 17, 2021","192.75","188.61","193.81","188.57","18.89M","1.98%"
"Oct 10, 2021","189.01","182.56","189.09","181.88","21.99M","3.49%"
"Oct 03, 2021","182.63","181.35","184.16","178.24","27.34M","1.01%"
"Sep 26, 2021","180.80","184.16","186.39","178.50","34.32M","-2.22%"
"Sep 19, 2021","184.90","180.35","185.06","177.38","28.69M","0.43%"
"Sep 12, 2021","184.11","183.72","185.60","180.98","28.69M","0.66%"
"Sep 05, 2021","182.90","183.60","185.56","182.76","17.24M","-0.34%"
"Aug 29, 2021","183.52","182.36","184.70","182.25","19.36M","0.92%"
"Aug 22, 2021","181.84","178.57","182.15","178.39","17.65M","2.38%"
"Aug 15, 2021","177.62","180.50","180.86","174.87","22.84M","-2.17%"
"Aug 08, 2021","181.56","181.05","182.30","180.32","13.22M","0.30%"
"Aug 01, 2021","181.01","181.90","182.61","180.09","17.44M","0.32%"
"Jul 25, 2021","180.43","183.37","184.69","180.09","18.43M","-1.55%"
"Jul 18, 2021","183.27","175.14","183.57","173.77","24.59M","2.95%"
"Jul 11, 2021","178.01","182.70","183.79","177.87","22.89M","-2.45%"
"Jul 04, 2021","182.49","181.41","182.61","177.64","15.70M","0.75%"
"Jun 27, 2021","181.14","177.95","181.17","177.03","14.01M","1.80%"
"Jun 20, 2021","177.93","172.46","178.75","171.99","19.79M","3.35%"
"Jun 13, 2021","172.16","173.22","173.69","170.93","22.05M","-0.61%"
"Jun 06, 2021","173.21","170.90","173.23","169.73","15.17M","1.27%"
"May 30, 2021","171.03","173.87","173.99","169.38","15.78M","-1.05%"
"May 23, 2021","172.84","169.46","173.80","168.88","17.79M","2.55%"
"May 16, 2021","168.55","170.23","171.58","165.49","24.58M","-1.28%"
"May 09, 2021","170.74","177.68","177.68","166.02","28.81M","-3.87%"
"May 02, 2021","177.62","179.89","179.98","174.01","18.75M","-0.73%"
"Apr 25, 2021","178.92","178.42","179.49","176.65","12.88M","0.62%"
"Apr 18, 2021","177.82","178.88","179.05","174.30","15.41M","-1.14%"
"Apr 11, 2021","179.87","175.97","180.16","175.82","14.31M","2.21%"
"Apr 04, 2021","175.98","172.12","176.02","171.80","16.25M","3.87%"
"Mar 28, 2021","169.42","165.63","169.70","163.77","16.38M","2.02%"
"Mar 21, 2021","166.06","167.36","168.71","161.35","22.21M","-0.23%"
"Mar 14, 2021","166.45","167.00","170.20","163.54","23.33M","-0.19%"
"Mar 07, 2021","166.77","157.45","166.92","156.74","31.10M","6.34%"
"Feb 28, 2021","156.82","163.15","165.52","149.65","32.77M","-2.69%"
"Feb 21, 2021","161.15","168.00","168.59","159.01","25.67M","-4.99%"
"Feb 14, 2021","169.62","170.65","171.38","167.70","10.57M","-0.41%"
"Feb 07, 2021","170.32","173.35","173.46","168.86","10.56M","-1.11%"
"Jan 31, 2021","172.23","163.89","172.81","162.89","12.79M","6.31%"
"Jan 24, 2021","162.01","170.54","171.96","161.09","24.57M","-4.76%"
"Jan 17, 2021","170.10","167.21","171.79","166.09","12.18M","2.59%"
"Jan 10, 2021","165.80","166.82","169.17","165.14","18.89M","-1.77%"
"Jan 03, 2021","168.79","161.78","168.96","157.44","24.61M","4.98%"
"Dec 27, 2020","160.78","159.42","160.98","158.60","10.71M","1.84%"
"Dec 20, 2020","157.88","157.40","158.81","155.83","10.90M","-1.32%"
"Dec 13, 2020","159.99","157.72","161.13","156.48","14.89M","2.36%"
"Dec 06, 2020","156.30","157.68","158.45","155.23","17.69M","-1.09%"
"Nov 29, 2020","158.03","157.98","159.16","155.21","14.91M","-0.12%"
"Nov 22, 2020","158.22","154.54","158.79","154.12","8.46M","2.95%"
"Nov 15, 2020","153.69","155.00","155.96","153.38","13.73M","0.16%"
"Nov 08, 2020","153.45","158.04","158.04","150.11","22.67M","0.45%"
"Nov 01, 2020","152.76","144.84","154.15","142.41","16.76M","6.85%"
"Oct 25, 2020","142.97","151.43","152.05","141.74","18.88M","-6.55%"
"Oct 18, 2020","152.99","153.85","154.46","149.70","13.63M","0.09%"
"Oct 11, 2020","152.85","154.46","156.14","151.25","14.90M","-0.35%"
"Oct 04, 2020","153.39","149.06","153.75","147.21","15.02M","3.45%"
"Sep 27, 2020","148.27","145.81","149.03","145.22","18.14M","3.02%"
"Sep 20, 2020","143.92","141.29","146.27","139.03","19.02M","0.02%"
"Sep 13, 2020","143.89","147.69","150.03","142.69","17.94M","-1.49%"
"Sep 06, 2020","146.07","144.74","150.28","144.05","21.39M","-0.74%"
"Aug 30, 2020","147.16","150.51","154.14","143.62","26.78M","-2.24%"
"Aug 23, 2020","150.53","147.18","151.02","147.17","13.26M","2.98%"
"Aug 16, 2020","146.18","144.77","146.95","144.14","10.34M","1.80%"
"Aug 09, 2020","143.59","140.88","144.46","140.66","13.70M","2.29%"
"Aug 02, 2020","140.38","137.44","140.80","136.42","13.87M","2.47%"
"Jul 26, 2020","137.00","136.12","138.21","134.63","15.03M","1.08%"
"Jul 19, 2020","135.54","133.94","137.51","133.61","14.63M","1.27%"
"Jul 12, 2020","133.84","134.51","136.50","129.43","22.25M","0.40%"
"Jul 05, 2020","133.31","131.44","133.41","129.62","19.31M","2.93%"
"Jun 28, 2020","129.51","124.30","131.65","122.93","16.53M","4.65%"
"Jun 21, 2020","123.75","126.87","130.21","123.54","23.13M","-2.85%"
"Jun 14, 2020","127.38","122.59","130.54","121.92","22.71M","1.63%"
"Jun 07, 2020","125.34","132.01","133.30","122.80","24.60M","-4.50%"
"May 31, 2020","131.25","124.34","131.99","124.24","23.92M","5.68%"
"May 24, 2020","124.19","124.44","126.08","122.10","20.48M","2.44%"
"May 17, 2020","121.23","118.64","122.07","118.52","22.61M","4.98%"
"May 10, 2020","115.48","116.24","117.96","110.06","28.69M","-1.52%"
"May 03, 2020","117.26","110.76","117.37","110.12","22.33M","4.47%"
"Apr 26, 2020","112.24","113.40","118.21","111.37","25.18M","-0.01%"
"Apr 19, 2020","112.25","111.70","113.19","107.24","18.17M","-0.60%"
"Apr 12, 2020","112.93","106.26","113.20","104.65","21.96M","5.86%"
"Apr 05, 2020","106.68","95.79","108.44","95.79","21.80M","15.44%"
"Mar 29, 2020","92.41","98.64","100.69","91.23","29.75M","-5.75%"
"Mar 22, 2020","98.05","86.86","102.10","84.66","39.65M","11.66%"
"Mar 15, 2020","87.81","91.05","95.85","81.74","56.14M","-14.16%"
"Mar 08, 2020","102.30","106.08","113.37","95.25","45.03M","-10.77%"
"Mar 01, 2020","114.65","116.18","121.74","112.17","47.26M","-1.02%"
"Feb 23, 2020","115.83","125.88","127.19","112.53","74.06M","-11.11%"
"Feb 16, 2020","130.30","131.50","132.73","129.96","17.27M","-1.06%"
"Feb 09, 2020","131.69","128.21","132.38","128.21","18.38M","2.63%"
"Feb 02, 2020","128.31","126.02","129.52","126.01","32.26M","2.39%"
"Jan 26, 2020","125.32","123.23","127.73","122.99","30.37M","-0.50%"
"Jan 19, 2020","125.95","127.34","128.53","125.40","17.65M","-1.59%"
"Jan 12, 2020","127.99","126.60","128.17","126.10","21.91M","1.31%"
"Jan 05, 2020","126.34","124.91","127.49","124.75","27.81M","0.41%"
"Dec 29, 2019","125.83","126.16","126.91","124.85","17.01M","-0.17%"
"Dec 22, 2019","126.05","124.82","126.73","124.26","10.29M","1.20%"
"Dec 15, 2019","124.55","123.81","124.87","123.51","16.28M","1.12%"
"Dec 08, 2019","123.17","121.65","123.38","121.36","14.55M","1.17%"
"Dec 01, 2019","121.74","122.54","122.66","119.55","15.82M","-0.58%"
"Nov 24, 2019","122.45","120.86","123.39","120.77","13.56M","1.78%"
"Nov 17, 2019","120.31","121.40","121.80","119.44","15.37M","-0.87%"
"Nov 10, 2019","121.37","120.80","121.84","120.32","10.80M","0.02%"
"Nov 03, 2019","121.34","122.01","122.43","120.86","16.44M","-0.25%"
"Oct 27, 2019","121.65","121.37","121.75","120.18","13.61M","0.49%"
"Oct 20, 2019","121.06","122.79","123.15","119.44","11.99M","-0.91%"
"Oct 13, 2019","122.17","120.46","122.91","120.21","11.57M","1.31%"
"Oct 06, 2019","120.59","118.89","121.64","117.43","17.34M","1.15%"
"Sep 29, 2019","119.22","119.92","121.43","115.96","22.06M","-0.38%"
"Sep 22, 2019","119.67","120.07","121.78","119.03","17.43M","-0.60%"
"Sep 15, 2019","120.39","122.61","122.93","120.38","14.72M","-2.46%"
"Sep 08, 2019","123.42","123.29","124.39","121.62","15.68M","0.45%"
"Sep 01, 2019","122.87","119.01","123.18","118.58","15.66M","2.75%"
"Aug 25, 2019","119.58","117.37","120.81","116.53","17.05M","2.65%"
"Aug 18, 2019","116.49","117.48","120.26","116.00","21.70M","0.52%"
"Aug 11, 2019","115.89","117.48","119.50","113.63","23.29M","-2.03%"
"Aug 04, 2019","118.29","116.10","119.43","114.09","25.83M","0.16%"
"Jul 28, 2019","118.10","123.24","123.45","117.64","20.85M","-4.41%"
"Jul 21, 2019","123.55","122.37","123.69","121.76","11.10M","1.14%"
"Jul 14, 2019","122.16","124.35","124.60","122.09","10.74M","-1.55%"
"Jul 07, 2019","124.08","121.32","124.11","121.20","13.86M","1.96%"
"Jun 30, 2019","121.70","120.71","121.81","119.63","18.35M","2.10%"
"Jun 23, 2019","119.20","119.57","119.72","117.56","17.14M","-0.27%"
"Jun 16, 2019","119.52","118.71","120.79","118.40","19.56M","0.87%"
"Jun 09, 2019","118.49","116.52","118.73","116.44","17.95M","2.34%"
"Jun 02, 2019","115.78","110.67","116.13","109.43","26.77M","4.36%"
"May 26, 2019","110.94","113.75","114.39","110.62","17.04M","-2.20%"
"May 19, 2019","113.43","115.49","116.19","112.73","18.73M","-2.14%"
"May 12, 2019","115.91","114.92","117.49","113.43","23.69M","-1.18%"
"May 05, 2019","117.29","118.02","119.57","115.11","30.75M","-2.34%"
"Apr 28, 2019","120.10","120.72","120.73","117.85","26.51M","-0.47%"
"Apr 21, 2019","120.67","118.85","120.90","118.44","16.10M","1.17%"
"Apr 14, 2019","119.27","118.37","119.76","117.83","11.30M","0.80%"
"Apr 07, 2019","118.32","117.29","118.53","116.61","17.80M","0.68%"
"Mar 31, 2019","117.52","114.77","117.62","114.41","18.84M","3.22%"
"Mar 24, 2019","113.85","111.43","114.06","111.32","28.86M","1.95%"
"Mar 17, 2019","111.67","110.65","114.02","110.65","36.94M","0.97%"
"Mar 10, 2019","110.60","108.78","111.25","108.74","28.38M","2.02%"
"Mar 03, 2019","108.41","111.58","111.77","107.66","27.46M","-2.42%"
"Feb 24, 2019","111.10","111.77","111.91","109.71","23.18M","-0.01%"
"Feb 17, 2019","111.11","109.72","111.16","109.61","21.62M","0.95%"
"Feb 10, 2019","110.06","107.49","110.29","107.16","18.19M","2.73%"
"Feb 03, 2019","107.13","107.04","109.21","106.36","18.53M","-0.06%"
"Jan 27, 2019","107.19","105.98","109.15","105.07","25.92M","0.15%"
"Jan 20, 2019","107.03","106.33","107.42","104.22","23.71M","0.21%"
"Jan 13, 2019","106.81","103.75","107.26","103.24","21.40M","2.13%"
"Jan 06, 2019","104.58","101.31","105.24","101.26","28.61M","3.72%"
"Dec 30, 2018","100.83","98.78","101.57","96.79","26.67M","2.93%"
"Dec 23, 2018","97.96","92.90","99.48","91.73","39.27M","4.48%"
"Dec 16, 2018","93.76","101.60","102.33","93.54","65.70M","-8.37%"
"Dec 09, 2018","102.33","103.26","105.83","101.35","37.30M","-1.01%"
"Dec 02, 2018","103.37","110.21","110.59","103.11","36.21M","-4.28%"
"Nov 25, 2018","107.99","103.31","108.10","103.14","28.87M","5.85%"
"Nov 18, 2018","102.02","106.12","106.43","100.31","30.14M","-4.09%"
"Nov 11, 2018","106.37","109.78","110.12","104.19","38.81M","-3.32%"
"Nov 04, 2018","110.02","108.05","112.15","106.91","25.52M","1.90%"
"Oct 28, 2018","107.97","104.50","109.29","100.99","52.67M","4.41%"
"Oct 21, 2018","103.41","106.84","107.37","102.31","57.94M","-2.76%"
"Oct 14, 2018","106.34","108.46","110.63","105.98","46.35M","-1.97%"
"Oct 07, 2018","108.48","111.82","113.64","105.57","70.65M","-3.35%"
"Sep 30, 2018","112.24","117.91","118.13","111.33","46.58M","-4.25%"
"Sep 23, 2018","117.22","116.53","117.78","115.73","24.49M","0.26%"
"Sep 16, 2018","116.92","116.75","118.08","115.37","24.89M","0.00%"
"Sep 09, 2018","116.92","116.37","117.74","115.56","21.33M","1.16%"
"Sep 02, 2018","115.58","116.83","117.44","114.80","21.62M","-1.17%"
"Aug 26, 2018","116.95","115.46","117.24","115.35","23.66M","1.79%"
"Aug 19, 2018","114.89","112.89","115.03","112.58","22.75M","2.12%"
"Aug 12, 2018","112.51","113.04","113.40","111.20","23.28M","-0.19%"
"Aug 05, 2018","112.72","111.93","114.07","111.61","20.06M","0.77%"
"Jul 29, 2018","111.86","111.65","112.01","110.03","25.59M","0.20%"
"Jul 22, 2018","111.64","112.13","113.57","111.06","26.82M","-0.45%"
"Jul 15, 2018","112.15","112.87","113.31","111.47","20.52M","-0.39%"
"Jul 08, 2018","112.59","110.99","112.77","110.75","19.78M","2.08%"
"Jul 01, 2018","110.30","108.51","110.46","108.22","18.78M","0.91%"
"Jun 24, 2018","109.30","110.86","110.86","107.80","35.27M","-1.81%"
