"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2022","6,277.82","6,053.67","6,466.12","5,756.38","148.75M","3.57%"
"Feb 27, 2022","6,061.66","6,620.48","6,684.54","6,061.66","826.58M","-10.23%"
"Feb 20, 2022","6,752.43","6,984.31","6,986.83","6,432.89","629.73M","-2.56%"
"Feb 13, 2022","6,929.63","6,868.07","7,031.93","6,757.33","462.77M","-1.17%"
"Feb 06, 2022","7,011.60","6,987.17","7,169.63","6,929.71","424.57M","0.87%"
"Jan 30, 2022","6,951.38","7,039.71","7,150.54","6,914.77","434.05M","-0.21%"
"Jan 23, 2022","6,965.88","7,014.84","7,070.92","6,754.24","534.75M","-1.45%"
"Jan 16, 2022","7,068.59","7,167.53","7,213.70","7,013.49","403.83M","-1.04%"
"Jan 09, 2022","7,143.00","7,245.21","7,250.24","7,105.55","399.12M","-1.06%"
"Jan 02, 2022","7,219.48","7,197.40","7,384.86","7,178.18","383.36M","0.93%"
"Dec 26, 2021","7,153.03","7,070.14","7,201.65","7,062.40","162.76M","0.94%"
"Dec 19, 2021","7,086.58","6,783.83","7,119.87","6,747.69","283.80M","2.31%"
"Dec 12, 2021","6,926.63","7,004.76","7,054.92","6,884.91","488.76M","-0.93%"
"Dec 05, 2021","6,991.68","6,810.93","7,104.06","6,776.17","388.98M","3.34%"
"Nov 28, 2021","6,765.52","6,831.41","6,902.46","6,655.86","577.76M","0.38%"
"Nov 21, 2021","6,739.73","7,130.24","7,143.60","6,725.08","451.32M","-5.24%"
"Nov 14, 2021","7,112.29","7,090.96","7,183.08","7,068.43","395.35M","0.29%"
"Nov 07, 2021","7,091.40","7,041.60","7,097.46","7,014.94","362.01M","0.72%"
"Oct 31, 2021","7,040.79","6,870.28","7,063.40","6,859.44","353.55M","3.08%"
"Oct 24, 2021","6,830.34","6,752.98","6,830.34","6,707.32","372.20M","1.44%"
"Oct 17, 2021","6,733.69","6,697.29","6,765.46","6,636.61","323.96M","0.09%"
"Oct 10, 2021","6,727.52","6,546.07","6,746.81","6,491.58","370.38M","2.55%"
"Oct 03, 2021","6,559.99","6,484.90","6,617.34","6,421.64","420.14M","0.65%"
