Date,Price
2022-03-06,6277.82
2022-02-27,6061.66
2022-02-20,6752.43
2022-02-13,6929.63
2022-02-06,7011.6
2022-01-30,6951.38
2022-01-23,6965.88
2022-01-16,7068.59
2022-01-09,7143.0
2022-01-02,7219.48
2021-12-26,7153.03
2021-12-19,7086.58
2021-12-12,6926.63
2021-12-05,6991.68
2021-11-28,6765.52
2021-11-21,6739.73
2021-11-14,7112.29
2021-11-07,7091.4
2021-10-31,7040.79
2021-10-24,6830.34
2021-10-17,6733.69
2021-10-10,6727.52
2021-10-03,6559.99
2021-09-26,6517.69
2021-09-19,6638.46
2021-09-12,6570.19
2021-09-05,6663.77
2021-08-29,6689.99
2021-08-22,6681.92
2021-08-15,6626.11
2021-08-08,6896.04
2021-08-01,6816.96
2021-07-25,6612.76
2021-07-18,6568.82
2021-07-11,6460.08
2021-07-04,6529.42
2021-06-27,6552.86
2021-06-20,6622.87
2021-06-13,6569.16
2021-06-06,6600.66
2021-05-30,6515.66
2021-05-23,6484.11
2021-05-16,6386.41
2021-05-09,6385.14
2021-05-02,6385.51
2021-04-25,6269.48
2021-04-18,6257.94
2021-04-11,6287.07
2021-04-04,6169.41
2021-03-28,6102.96
2021-03-21,5988.81
2021-03-14,5997.96
2021-03-07,6046.55
2021-02-28,5782.65
2021-02-21,5703.22
2021-02-14,5773.55
2021-02-07,5703.67
2021-01-31,5659.26
2021-01-24,5399.21
2021-01-17,5559.57
2021-01-10,5611.69
2021-01-03,5706.88
2020-12-27,5551.41
2020-12-20,5522.01
2020-12-13,5527.84
2020-12-06,5507.55
2020-11-29,5609.15
2020-11-22,5598.18
2020-11-15,5495.89
2020-11-08,5380.16
2020-11-01,4960.88
2020-10-25,4594.24
2020-10-18,4909.64
2020-10-11,4935.86
2020-10-04,4946.81
2020-09-27,4824.88
2020-09-20,4729.66
2020-09-13,4978.18
2020-09-06,5034.14
2020-08-30,4965.07
2020-08-23,5002.94
2020-08-16,4896.33
2020-08-09,4962.93
2020-08-02,4889.52
2020-07-26,4783.69
2020-07-19,4956.43
2020-07-12,5069.42
2020-07-05,4970.48
2020-06-28,5007.14
2020-06-21,4909.64
2020-06-14,4979.45
2020-06-07,4839.26
2020-05-31,5197.79
2020-05-24,4695.44
2020-05-17,4444.56
2020-05-10,4277.63
2020-05-03,4549.64
2020-04-26,4572.18
2020-04-19,4393.32
2020-04-12,4499.01
2020-04-05,4506.85
2020-03-29,4154.58
2020-03-22,4351.49
2020-03-15,4048.8
2020-03-08,4118.36
2020-03-01,5139.11
2020-02-23,5309.9
2020-02-16,6029.72
2020-02-09,6069.35
2020-02-02,6029.75
2020-01-26,5806.34
2020-01-19,6024.26
2020-01-12,6100.72
2020-01-05,6037.11
2019-12-29,6044.16
2019-12-22,6037.39
2019-12-15,6021.53
2019-12-08,5919.02
2019-12-01,5871.91
2019-11-24,5905.17
2019-11-17,5893.13
2019-11-10,5939.27
2019-11-03,5889.7
2019-10-27,5761.89
2019-10-20,5722.15
2019-10-13,5636.25
2019-10-06,5665.48
2019-09-29,5488.32
2019-09-22,5640.58
2019-09-15,5690.78
2019-09-08,5655.46
2019-09-01,5603.99
2019-08-25,5480.48
2019-08-18,5326.87
2019-08-11,5300.79
2019-08-04,5327.92
2019-07-28,5359.0
2019-07-21,5610.05
2019-07-14,5552.34
2019-07-07,5572.86
2019-06-30,5593.72
2019-06-23,5538.97
2019-06-16,5528.33
2019-06-09,5367.62
2019-06-02,5364.05
2019-05-26,5207.63
2019-05-19,5316.51
2019-05-12,5438.23
2019-05-05,5327.44
2019-04-28,5548.84
2019-04-21,5569.36
2019-04-14,5580.38
2019-04-07,5502.7
2019-03-31,5476.2
2019-03-24,5350.53
2019-03-17,5269.92
2019-03-10,5405.32
2019-03-03,5231.22
2019-02-24,5265.19
2019-02-17,5215.85
2019-02-10,5153.19
2019-02-03,4961.64
2019-01-27,5019.26
