"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2022","13,087.13","12,564.42","13,093.41","12,436.06","-","-0.06%"
"Feb 27, 2022","13,094.54","14,263.73","14,510.77","13,094.54","762.40M","-10.11%"
"Feb 20, 2022","14,567.23","15,186.63","15,192.47","13,807.28","662.79M","-3.16%"
"Feb 13, 2022","15,042.51","15,065.73","15,542.84","14,844.10","436.16M","-2.48%"
"Feb 06, 2022","15,425.12","15,220.08","15,614.47","15,076.89","432.17M","2.16%"
"Jan 30, 2022","15,099.56","15,506.79","15,736.52","15,060.48","428.30M","-1.43%"
"Jan 23, 2022","15,318.95","15,499.61","15,587.39","14,952.67","482.23M","-1.83%"
"Jan 16, 2022","15,603.88","15,948.90","15,962.70","15,456.87","360.94M","-1.76%"
"Jan 09, 2022","15,883.24","16,006.44","16,090.29","15,724.23","380.25M","-0.40%"
"Jan 02, 2022","15,947.74","15,947.44","16,285.35","15,862.71","350.52M","0.40%"
