Date,Price
2022-03-06,13087.13
2022-02-27,13094.54
2022-02-20,14567.23
2022-02-13,15042.51
2022-02-06,15425.12
2022-01-30,15099.56
2022-01-23,15318.95
2022-01-16,15603.88
2022-01-09,15883.24
2022-01-02,15947.74
2021-12-26,15884.86
2021-12-19,15756.31
2021-12-12,15531.69
2021-12-05,15623.31
2021-11-28,15169.98
2021-11-21,15257.04
2021-11-14,16159.97
2021-11-07,16094.07
2021-10-31,16054.36
2021-10-24,15688.77
2021-10-17,15542.98
2021-10-10,15587.36
2021-10-03,15206.13
2021-09-26,15156.44
2021-09-19,15531.75
2021-09-12,15490.17
2021-09-05,15609.81
2021-08-29,15781.2
2021-08-22,15851.75
2021-08-15,15808.04
2021-08-08,15977.44
2021-08-01,15761.45
2021-07-25,15544.39
2021-07-18,15669.29
2021-07-11,15540.31
2021-07-04,15687.93
2021-06-27,15650.09
2021-06-20,15607.97
2021-06-13,15448.04
2021-06-06,15693.27
2021-05-30,15692.9
2021-05-23,15519.98
2021-05-16,15437.51
2021-05-09,15416.64
2021-05-02,15399.65
2021-04-25,15135.91
2021-04-18,15279.62
2021-04-11,15459.75
2021-04-04,15234.16
2021-03-28,15107.17
2021-03-21,14748.94
2021-03-14,14621.0
2021-03-07,14502.39
2021-02-28,13920.69
2021-02-21,13786.29
2021-02-14,13993.23
2021-02-07,14049.89
2021-01-31,14056.72
2021-01-24,13432.87
2021-01-17,13873.97
2021-01-10,13787.73
2021-01-03,14049.53
2020-12-27,13718.78
2020-12-20,13587.23
2020-12-13,13630.51
2020-12-06,13114.3
2020-11-29,13298.96
2020-11-22,13335.68
2020-11-15,13137.25
2020-11-08,13076.72
2020-11-01,12480.02
2020-10-25,11556.48
2020-10-18,12645.75
2020-10-11,12908.99
2020-10-04,13051.23
2020-09-27,12689.04
2020-09-20,12469.2
2020-09-13,13116.25
2020-09-06,13202.84
2020-08-30,12842.66
2020-08-23,13033.2
2020-08-16,12764.8
2020-08-09,12901.34
2020-08-02,12674.88
2020-07-26,12313.36
2020-07-19,12838.06
2020-07-12,12919.61
2020-07-05,12633.71
2020-06-28,12528.18
2020-06-21,12089.39
2020-06-14,12330.76
2020-06-07,11949.28
2020-05-31,12847.68
