"Date","Price","Open","High","Low","Vol.","Change %"
"02.03.2003","2.431,66","2.553,74","2.600,76","2.393,59","441,42M","-4,53%"
"23.02.2003","2.547,05","2.648,49","2.648,55","2.433,15","552,90M","-3,84%"
"16.02.2003","2.648,87","2.683,48","2.750,08","2.565,14","590,23M","-0,96%"
"09.02.2003","2.674,46","2.573,26","2.711,59","2.528,90","447,20M","4,09%"
"02.02.2003","2.569,34","2.750,40","2.802,93","2.561,73","475,01M","-6,50%"
"26.01.2003","2.747,83","2.716,42","2.753,26","2.563,92","596,38M","1,10%"
"19.01.2003","2.717,82","2.927,58","2.966,78","2.714,89","502,73M","-6,89%"
"12.01.2003","2.918,82","3.039,91","3.145,66","2.918,26","481,65M","-3,90%"
"05.01.2003","3.037,33","3.101,17","3.157,25","2.932,93","469,48M","-1,80%"
"29.12.2002","3.092,94","2.838,87","3.124,86","2.836,01","176,42M","8,91%"
"22.12.2002","2.840,00","3.022,31","3.048,29","2.840,00","74,27M","-6,09%"
"15.12.2002","3.024,22","3.074,51","3.222,40","2.925,87","522,24M","-1,72%"
"08.12.2002","3.077,06","3.206,36","3.223,42","3.034,12","388,55M","-4,07%"
"01.12.2002","3.207,53","3.332,73","3.476,83","3.108,76","530,34M","-3,40%"
"24.11.2002","3.320,32","3.322,78","3.403,40","3.148,94","401,18M","-0,02%"
"17.11.2002","3.320,88","3.195,97","3.337,34","3.117,02","406,86M","4,05%"
"10.11.2002","3.191,76","3.076,25","3.232,07","2.987,85","445,63M","3,66%"
"03.11.2002","3.079,10","3.167,49","3.443,49","3.072,81","490,32M","-2,72%"
"27.10.2002","3.165,16","3.105,29","3.235,66","2.999,60","433,13M","2,04%"
"20.10.2002","3.102,01","3.151,94","3.299,01","2.983,64","466,28M","-1,95%"
"13.10.2002","3.163,67","2.928,63","3.226,25","2.793,93","544,11M","7,95%"
"06.10.2002","2.930,74","2.710,33","2.930,74","2.519,30","545,06M","7,96%"
"29.09.2002","2.714,62","2.906,60","2.974,34","2.677,61","468,07M","-7,00%"
"22.09.2002","2.918,90","3.063,44","3.106,09","2.774,36","507,68M","-4,79%"
"15.09.2002","3.065,73","3.359,33","3.445,59","2.956,56","566,84M","-8,79%"
"08.09.2002","3.361,28","3.480,57","3.615,59","3.275,28","332,40M","-3,57%"
"01.09.2002","3.485,68","3.698,69","3.698,69","3.301,81","406,53M","-6,12%"
"25.08.2002","3.712,94","3.830,08","3.900,11","3.580,91","316,93M","-3,01%"
"18.08.2002","3.828,26","3.681,67","3.930,96","3.628,46","382,75M","3,90%"
"11.08.2002","3.684,69","3.750,26","3.750,26","3.542,06","346,40M","-2,03%"
"04.08.2002","3.760,86","3.533,30","3.760,86","3.235,38","480,48M","6,46%"
"28.07.2002","3.532,49","3.584,51","3.945,38","3.496,49","483,21M","-1,30%"
"21.07.2002","3.579,00","3.888,11","3.888,11","3.265,96","622,29M","-8,04%"
"14.07.2002","3.891,88","4.124,53","4.152,45","3.825,54","567,04M","-5,78%"
"07.07.2002","4.130,80","4.475,89","4.480,49","4.039,23","519,11M","-7,86%"
"30.06.2002","4.483,03","4.377,10","4.483,03","4.101,58","441,55M","2,29%"
"23.06.2002","4.382,56","4.233,87","4.388,27","3.946,70","528,73M","3,55%"
"16.06.2002","4.232,40","4.317,84","4.503,80","4.153,31","632,34M","-1,66%"
"09.06.2002","4.303,85","4.617,19","4.686,13","4.252,86","390,54M","-6,64%"
"02.06.2002","4.610,18","4.818,07","4.850,38","4.513,00","326,79M","-4,32%"
"26.05.2002","4.818,30","4.896,84","5.016,11","4.741,95","315,47M","-1,65%"
"19.05.2002","4.899,13","5.046,17","5.059,42","4.859,54","333,07M","-2,73%"
"12.05.2002","5.036,41","4.861,15","5.126,33","4.832,86","378,26M","3,38%"
"05.05.2002","4.871,70","4.884,03","5.028,59","4.773,49","320,41M","-0,23%"
"28.04.2002","4.882,77","4.994,20","5.066,97","4.872,19","330,45M","-2,35%"
"21.04.2002","5.000,38","5.285,42","5.285,42","4.984,62","384,86M","-5,38%"
"14.04.2002","5.284,55","5.194,94","5.378,27","5.167,19","312,39M","1,83%"
"07.04.2002","5.189,65","5.261,37","5.290,87","5.128,02","312,23M","-1,35%"
"31.03.2002","5.260,53","5.379,64","5.379,64","5.211,74","229,00M","-2,53%"
"24.03.2002","5.397,29","5.361,20","5.424,52","5.289,93","212,73M","0,58%"
"17.03.2002","5.366,13","5.399,15","5.467,31","5.312,03","351,78M","-0,65%"
"10.03.2002","5.401,11","5.360,04","5.403,28","5.233,66","451,93M","0,78%"
"03.03.2002","5.359,55","5.107,87","5.376,23","5.107,87","426,98M","5,14%"
"24.02.2002","5.097,41","4.758,83","5.116,14","4.731,41","361,86M","7,41%"
"17.02.2002","4.745,58","4.865,83","4.894,49","4.706,01","333,17M","-2,41%"
"10.02.2002","4.862,60","4.845,24","4.992,60","4.834,15","341,72M","0,55%"
"03.02.2002","4.835,95","5.088,83","5.093,49","4.730,70","443,05M","-5,12%"
"27.01.2002","5.097,06","5.156,52","5.205,63","4.980,70","378,50M","-1,16%"
"20.01.2002","5.156,63","5.122,40","5.219,85","5.006,26","333,49M","0,67%"
"13.01.2002","5.122,23","5.206,23","5.206,23","4.974,58","412,90M","-1,68%"
"06.01.2002","5.209,97","5.327,40","5.347,12","5.172,04","422,20M","-2,04%"
"30.12.2001","5.318,73","5.155,26","5.352,16","5.107,36","202,20M","3,07%"
"23.12.2001","5.160,10","5.032,87","5.175,57","5.032,87","55,50M","2,81%"
"16.12.2001","5.019,01","4.913,93","5.115,79","4.877,57","377,10M","2,23%"
"09.12.2001","4.909,42","5.200,54","5.212,95","4.901,04","340,40M","-5,57%"
"02.12.2001","5.199,03","4.986,58","5.341,86","4.872,25","394,20M","4,19%"
"25.11.2001","4.989,91","5.159,81","5.217,47","4.874,23","358,34M","-3,13%"
"18.11.2001","5.150,97","5.071,63","5.212,03","5.016,92","331,74M","1,74%"
"11.11.2001","5.062,64","4.907,61","5.114,40","4.648,68","454,51M","3,11%"
"04.11.2001","4.910,07","4.588,69","5.005,95","4.588,69","353,93M","7,13%"
"28.10.2001","4.583,31","4.812,60","4.812,60","4.457,72","323,11M","-4,92%"
"21.10.2001","4.820,26","4.518,36","4.874,31","4.480,16","336,75M","6,80%"
"14.10.2001","4.513,53","4.619,59","4.779,64","4.445,64","349,35M","-2,41%"
"07.10.2001","4.625,13","4.469,11","4.742,18","4.330,54","342,61M","3,06%"
"30.09.2001","4.487,69","4.315,06","4.592,14","4.157,60","362,11M","4,17%"
"23.09.2001","4.308,15","3.792,86","4.317,63","3.792,86","418,54M","13,75%"
"16.09.2001","3.787,23","4.120,56","4.301,47","3.539,18","612,66M","-7,99%"
"09.09.2001","4.115,98","4.725,16","4.788,38","4.115,98","482,51M","-12,99%"
"02.09.2001","4.730,67","5.195,67","5.220,10","4.713,12","370,55M","-8,82%"
"26.08.2001","5.188,17","5.397,64","5.455,12","5.132,27","285,08M","-3,70%"
"19.08.2001","5.387,50","5.219,75","5.423,54","5.124,69","313,55M","3,17%"
"12.08.2001","5.222,12","5.441,10","5.569,05","5.174,30","329,88M","-3,89%"
"05.08.2001","5.433,49","5.734,24","5.802,68","5.387,34","397,82M","-5,27%"
"29.07.2001","5.735,88","5.749,25","5.930,45","5.712,48","265,67M","-0,33%"
"22.07.2001","5.754,86","5.751,13","5.844,07","5.551,14","263,26M","-0,16%"
"15.07.2001","5.764,06","5.927,45","5.928,89","5.684,56","278,77M","-2,77%"
"08.07.2001","5.928,01","5.861,92","5.932,64","5.731,85","320,00M","1,12%"
"01.07.2001","5.862,10","6.053,81","6.131,97","5.846,63","275,32M","-3,24%"
"24.06.2001","6.058,38","5.928,50","6.058,50","5.758,69","299,27M","1,96%"
"17.06.2001","5.941,77","5.921,61","5.980,14","5.812,70","299,64M","0,45%"
"10.06.2001","5.915,18","6.189,06","6.225,84","5.889,41","674,30M","-4,40%"
"03.06.2001","6.187,21","6.134,10","6.278,04","6.134,10","238,98M","1,01%"
"27.05.2001","6.125,17","6.225,66","6.255,19","5.994,66","299,73M","-1,58%"
"20.05.2001","6.223,57","6.193,13","6.337,47","6.139,24","223,18M","0,59%"
"13.05.2001","6.186,87","6.122,45","6.226,58","5.960,46","269,29M","0,75%"
"06.05.2001","6.141,02","6.137,92","6.222,24","6.025,86","264,29M","0,04%"
"29.04.2001","6.138,28","6.176,73","6.296,62","6.001,51","217,91M","-0,60%"
"22.04.2001","6.175,24","6.118,24","6.186,68","6.032,74","258,82M","0,77%"
"15.04.2001","6.127,97","6.004,32","6.224,30","5.827,62","228,73M","2,09%"
"08.04.2001","6.002,30","5.695,77","6.019,26","5.657,87","217,51M","5,32%"
"01.04.2001","5.698,88","5.843,37","5.912,26","5.383,99","298,16M","-2,25%"
"25.03.2001","5.829,95","5.557,82","5.944,25","5.557,82","295,42M","5,15%"
"18.03.2001","5.544,67","5.732,85","5.805,71","5.351,48","293,38M","-3,31%"
"11.03.2001","5.734,49","6.202,37","6.202,37","5.663,54","601,11M","-7,57%"
"04.03.2001","6.204,42","6.172,35","6.342,54","6.134,02","225,56M","0,74%"
"25.02.2001","6.159,02","6.079,97","6.284,81","6.052,01","230,98M","1,38%"
"18.02.2001","6.075,34","6.441,26","6.530,13","6.071,35","266,19M","-5,65%"
"11.02.2001","6.439,26","6.498,93","6.603,17","6.439,26","244,55M","-0,89%"
"04.02.2001","6.497,07","6.633,78","6.693,45","6.497,07","200,12M","-2,13%"
"28.01.2001","6.638,20","6.699,10","6.795,14","6.624,19","223,25M","-0,85%"
"21.01.2001","6.695,20","6.652,46","6.775,26","6.594,19","247,78M","0,66%"
"14.01.2001","6.651,53","6.506,70","6.737,18","6.452,62","259,10M","2,49%"
"07.01.2001","6.490,03","6.368,83","6.552,52","6.293,49","240,88M","1,69%"
"31.12.2000","6.382,31","6.431,14","6.556,94","6.172,44","215,44M","-0,80%"
"24.12.2000","6.433,61","6.252,11","6.469,74","6.252,11","62,36M","2,91%"
"17.12.2000","6.251,40","6.337,81","6.505,75","6.110,26","199,00M","-1,26%"
"10.12.2000","6.331,30","6.702,25","6.813,30","6.331,30","284,09M","-5,38%"
"03.12.2000","6.691,25","6.507,64","6.745,91","6.343,45","234,82M","2,74%"
"26.11.2000","6.512,91","6.665,25","6.804,22","6.361,43","206,22M","-2,27%"
"19.11.2000","6.664,18","6.755,23","6.794,41","6.474,50","192,53M","-1,30%"
"12.11.2000","6.752,29","6.839,98","6.976,63","6.690,61","196,68M","-1,45%"
"05.11.2000","6.851,69","7.139,94","7.185,66","6.831,40","205,80M","-3,88%"
"29.10.2000","7.128,27","6.921,33","7.152,45","6.880,18","213,84M","2,94%"
"22.10.2000","6.924,68","6.614,18","6.930,36","6.542,87","221,40M","4,63%"
"15.10.2000","6.618,43","6.668,12","6.725,33","6.297,49","235,53M","-0,64%"
"08.10.2000","6.661,30","6.776,04","6.776,04","6.383,17","234,17M","-1,70%"
"01.10.2000","6.776,39","6.800,07","6.921,08","6.712,48","167,00M","-0,32%"
"24.09.2000","6.798,12","6.739,28","6.884,63","6.716,84","198,86M","0,86%"
"17.09.2000","6.740,25","6.959,93","6.977,25","6.468,46","239,87M","-3,70%"
"10.09.2000","6.999,54","7.267,68","7.273,30","6.976,41","279,83M","-3,69%"
"03.09.2000","7.267,77","7.355,74","7.456,71","7.248,94","166,43M","-1,05%"
"27.08.2000","7.344,67","7.320,93","7.397,12","7.168,52","168,00M","0,51%"
"20.08.2000","7.307,17","7.233,74","7.333,09","7.147,15","163,24M","1,03%"
"13.08.2000","7.232,42","7.323,87","7.380,19","7.214,68","158,01M","-1,24%"
"06.08.2000","7.322,98","7.020,65","7.327,22","7.020,65","197,70M","4,37%"
"30.07.2000","7.016,59","7.135,39","7.251,88","6.954,60","176,42M","-1,57%"
"23.07.2000","7.128,30","7.377,98","7.428,17","7.076,37","228,99M","-3,32%"
"16.07.2000","7.373,26","7.320,10","7.503,32","7.303,91","178,01M","0,75%"
"09.07.2000","7.318,38","7.052,68","7.342,22","6.955,58","175,04M","3,77%"
"02.07.2000","7.052,22","6.912,97","7.090,11","6.842,61","178,87M","2,23%"
"25.06.2000","6.898,21","6.986,89","7.085,27","6.851,84","156,83M","-1,18%"
"18.06.2000","6.980,41","7.134,17","7.270,20","6.976,97","180,24M","-2,12%"
"11.06.2000","7.131,40","7.251,29","7.388,24","7.131,40","344,87M","-1,70%"
"04.06.2000","7.254,53","7.456,22","7.486,40","7.211,97","148,02M","-2,48%"
"28.05.2000","7.438,95","6.956,14","7.460,51","6.956,14","135,95M","7,22%"
"21.05.2000","6.938,33","6.983,46","7.040,57","6.794,08","179,95M","-0,73%"
"14.05.2000","6.989,03","7.266,08","7.398,48","6.958,92","156,70M","-3,86%"
"07.05.2000","7.269,28","7.532,97","7.532,97","7.013,70","154,60M","-3,47%"
"30.04.2000","7.530,82","7.407,53","7.571,72","7.321,43","109,76M","1,57%"
"23.04.2000","7.414,68","7.164,15","7.444,28","7.096,38","118,78M","3,59%"
"16.04.2000","7.157,95","7.201,66","7.305,94","6.890,96","151,04M","-0,79%"
"09.04.2000","7.214,83","7.534,91","7.614,81","7.168,90","152,42M","-4,09%"
"02.04.2000","7.522,20","7.599,78","7.641,53","7.205,86","203,15M","-1,02%"
"26.03.2000","7.599,39","7.932,71","8.031,21","7.522,70","167,06M","-4,20%"
"19.03.2000","7.932,42","7.716,24","7.949,72","7.677,08","188,45M","2,87%"
"12.03.2000","7.710,92","7.977,06","7.991,07","7.411,76","698,52M","-3,32%"
"05.03.2000","7.975,95","7.960,09","8.136,16","7.877,19","230,32M","0,20%"
"27.02.2000","7.960,03","7.732,90","8.022,48","7.492,23","180,61M","2,86%"
"20.02.2000","7.738,68","7.568,34","7.813,20","7.447,71","191,48M","2,18%"
"13.02.2000","7.573,78","7.569,01","7.699,97","7.342,65","227,73M","-0,50%"
"06.02.2000","7.611,55","7.450,79","7.812,09","7.263,19","282,40M","2,24%"
"30.01.2000","7.444,61","7.054,24","7.491,79","6.816,54","245,15M","5,35%"
"23.01.2000","7.066,60","6.987,59","7.214,58","6.809,64","198,47M","1,06%"
"16.01.2000","6.992,75","7.177,48","7.306,48","6.939,94","229,20M","-2,52%"
"09.01.2000","7.173,22","6.785,47","7.207,45","6.783,22","215,74M","5,78%"
