Date,Price
2022-02-27,33614.67
2022-02-20,34058.55
2022-02-13,34079.12
2022-02-06,34737.47
2022-01-30,35089.74
2022-01-23,34725.47
2022-01-16,34265.37
2022-01-09,35911.81
2022-01-02,36231.66
2021-12-26,36338.3
2021-12-19,35950.56
2021-12-12,35365.44
2021-12-05,35970.99
2021-11-28,34580.08
2021-11-21,34899.34
2021-11-14,35601.98
2021-11-07,36100.31
2021-10-31,36327.95
2021-10-24,35819.56
2021-10-17,35677.02
2021-10-10,35294.76
2021-10-03,34746.25
2021-09-26,34326.46
2021-09-19,34798.0
2021-09-12,34584.88
2021-09-05,34607.72
2021-08-29,35369.09
2021-08-22,35455.8
2021-08-15,35120.08
2021-08-08,35515.38
2021-08-01,35208.51
2021-07-25,34935.47
2021-07-18,35061.55
2021-07-11,34687.85
2021-07-04,34870.16
2021-06-27,34786.35
2021-06-20,34433.84
2021-06-13,33290.08
2021-06-06,34479.6
2021-05-30,34756.39
2021-05-23,34529.45
2021-05-16,34207.84
2021-05-09,34382.13
2021-05-02,34777.76
2021-04-25,33874.85
2021-04-18,34043.49
2021-04-11,34200.67
2021-04-04,33800.6
2021-03-28,33153.21
2021-03-21,33072.88
2021-03-14,32627.97
2021-03-07,32778.64
2021-02-28,31496.3
2021-02-21,30932.37
2021-02-14,31494.32
2021-02-07,31458.4
2021-01-31,31148.24
2021-01-24,29982.62
2021-01-17,30996.98
2021-01-10,30814.26
2021-01-03,31097.97
2020-12-27,30606.48
2020-12-20,30199.87
2020-12-13,30179.05
2020-12-06,30046.37
2020-11-29,30218.26
2020-11-22,29910.37
2020-11-15,29263.48
2020-11-08,29479.81
2020-11-01,28323.4
2020-10-25,26501.6
2020-10-18,28335.57
2020-10-11,28606.31
2020-10-04,28586.9
2020-09-27,27682.81
2020-09-20,27173.96
2020-09-13,27657.42
2020-09-06,27665.64
2020-08-30,28133.31
2020-08-23,28653.87
2020-08-16,27930.33
2020-08-09,27931.02
2020-08-02,27433.48
2020-07-26,26428.32
2020-07-19,26469.89
2020-07-12,26671.95
2020-07-05,26075.3
2020-06-28,25827.36
2020-06-21,25015.55
2020-06-14,25871.46
2020-06-07,25605.54
2020-05-31,27110.98
2020-05-24,25383.11
2020-05-17,24465.16
2020-05-10,23685.42
2020-05-03,24331.32
2020-04-26,23723.69
2020-04-19,23775.27
2020-04-12,24242.49
2020-04-05,23719.37
2020-03-29,21052.53
2020-03-22,21636.78
2020-03-15,19173.98
2020-03-08,23185.62
2020-03-01,25864.78
