"Date","Price","Open","High","Low","Vol.","Change %"
"02.02.2003","7.864,23","8.053,74","8.152,53","7.830,02","1,12B","-2,35%"
"26.01.2003","8.053,81","8.128,54","8.158,02","7.917,16","1,40B","-0,95%"
"19.01.2003","8.131,01","8.586,26","8.623,49","8.112,43","1,04B","-5,31%"
"12.01.2003","8.586,74","8.787,83","8.869,29","8.559,11","1,24B","-2,26%"
"05.01.2003","8.784,89","8.602,78","8.818,55","8.580,10","1,27B","2,13%"
"29.12.2002","8.601,69","8.304,06","8.635,49","8.242,91","869,14M","3,59%"
"22.12.2002","8.303,78","8.511,39","8.565,01","8.285,14","541,01M","-2,44%"
"15.12.2002","8.511,32","8.436,59","8.638,64","8.327,78","1,29B","0,92%"
"08.12.2002","8.433,71","8.643,99","8.643,99","8.422,94","1,09B","-2,45%"
"01.12.2002","8.645,77","8.902,95","9.043,37","8.501,86","1,29B","-2,81%"
"24.11.2002","8.896,09","8.804,97","8.950,33","8.670,18","818,72M","1,04%"
"17.11.2002","8.804,84","8.579,74","8.880,39","8.405,12","1,47B","2,63%"
"10.11.2002","8.579,09","8.535,81","8.583,95","8.298,68","1,35B","0,49%"
"03.11.2002","8.537,13","8.521,60","8.800,00","8.498,92","1,42B","0,23%"
"27.10.2002","8.517,64","8.448,98","8.542,27","8.198,04","1,44B","0,87%"
"20.10.2002","8.443,99","8.320,74","8.558,63","8.230,50","1,48B","1,46%"
"13.10.2002","8.322,40","7.848,21","8.331,56","7.745,70","1,73B","6,01%"
"06.10.2002","7.850,29","7.528,68","7.901,26","7.197,49","1,80B","4,28%"
"29.09.2002","7.528,40","7.698,81","7.969,37","7.460,78","1,69B","-2,25%"
"22.09.2002","7.701,45","7.984,77","8.012,42","7.665,66","1,59B","-3,56%"
"15.09.2002","7.986,02","8.311,79","8.482,34","7.922,07","1,45B","-3,93%"
"08.09.2002","8.312,69","8.425,88","8.726,90","8.247,84","1,11B","-1,36%"
"01.09.2002","8.427,20","8.659,27","8.659,27","8.217,05","1,08B","-2,73%"
"25.08.2002","8.663,50","8.873,93","9.017,02","8.558,02","1,04B","-2,36%"
"18.08.2002","8.872,96","8.777,09","9.077,01","8.753,52","1,23B","1,08%"
"11.08.2002","8.778,06","8.741,92","8.854,21","8.353,07","1,30B","0,37%"
"04.08.2002","8.745,45","8.312,92","8.796,68","8.030,82","1,42B","5,20%"
"28.07.2002","8.313,13","8.267,99","8.762,14","8.203,82","1,59B","0,59%"
"21.07.2002","8.264,39","8.015,04","8.309,39","7.532,66","2,32B","3,06%"
"14.07.2002","8.019,26","8.681,28","8.723,37","7.966,72","1,78B","-7,66%"
"07.07.2002","8.684,53","9.375,70","9.410,38","8.599,66","1,58B","-7,41%"
"30.06.2002","9.379,50","9.239,25","9.379,85","8.897,54","988,31M","1,47%"
"23.06.2002","9.243,26","9.252,47","9.413,08","8.926,57","1,72B","-0,11%"
"16.06.2002","9.253,79","9.476,50","9.733,39","9.220,63","1,40B","-2,33%"
"09.06.2002","9.474,21","9.587,38","9.758,80","9.260,99","1,33B","-1,20%"
"02.06.2002","9.589,67","9.923,94","9.986,49","9.472,54","1,35B","-3,38%"
"26.05.2002","9.925,25","10.106,54","10.118,51","9.802,23","836,88M","-1,77%"
"19.05.2002","10.104,26","10.348,93","10.348,93","10.063,50","921,69M","-2,40%"
"12.05.2002","10.353,08","9.938,82","10.353,43","9.920,20","1,14B","4,16%"
"05.05.2002","9.939,92","10.005,80","10.148,94","9.807,69","1,19B","-0,67%"
"28.04.2002","10.006,63","9.910,52","10.117,54","9.811,57","1,20B","0,97%"
"21.04.2002","9.910,72","10.256,00","10.256,00","9.910,72","1,13B","-3,38%"
"14.04.2002","10.257,11","10.189,57","10.326,44","10.057,00","1,26B","0,65%"
"07.04.2002","10.190,82","10.258,91","10.394,67","10.120,87","1,27B","-0,79%"
"31.03.2002","10.271,64","10.402,07","10.402,07","10.139,48","977,95M","-1,27%"
"24.03.2002","10.403,94","10.428,43","10.502,61","10.276,76","762,39M","-0,23%"
"17.03.2002","10.427,67","10.608,54","10.673,10","10.354,74","997,49M","-1,69%"
"10.03.2002","10.607,23","10.570,07","10.647,09","10.474,17","1,18B","0,33%"
"03.03.2002","10.572,49","10.368,10","10.663,83","10.366,78","1,36B","1,96%"
"24.02.2002","10.368,86","9.969,75","10.374,88","9.966,36","1,31B","4,02%"
"17.02.2002","9.968,15","9.899,24","10.029,94","9.734,21","1,07B","0,66%"
"10.02.2002","9.903,04","9.739,81","10.052,29","9.710,68","1,05B","1,63%"
"03.02.2002","9.744,24","9.905,46","9.905,46","9.580,32","1,26B","-1,65%"
"27.01.2002","9.907,26","9.843,05","9.943,94","9.529,46","1,26B","0,68%"
