Date,Price
2022-03-06,1167.58
2022-02-27,1159.76
2022-02-20,1275.75
2022-02-13,1302.45
2022-02-06,1324.03
2022-01-30,1306.44
2022-01-23,1307.99
2022-01-16,1335.09
2022-01-09,1356.84
2022-01-02,1363.02
2021-12-26,1361.69
2021-12-19,1349.62
2021-12-12,1315.69
2021-12-05,1333.19
2021-11-28,1298.5
2021-11-21,1303.92
2021-11-14,1372.66
2021-11-07,1375.85
2021-10-31,1373.1
2021-10-24,1343.09
2021-10-17,1331.44
2021-10-10,1320.37
2021-10-03,1283.4
2021-09-26,1275.94
2021-09-19,1305.63
2021-09-12,1294.64
2021-09-05,1308.81
2021-08-29,1314.2
2021-08-22,1307.29
2021-08-15,1288.28
2021-08-08,1327.64
2021-08-01,1311.81
2021-07-25,1281.19
2021-07-18,1279.86
2021-07-11,1258.67
2021-07-04,1265.84
2021-06-27,1273.19
2021-06-20,1282.9
2021-06-13,1268.39
2021-06-06,1279.72
2021-05-30,1262.79
2021-05-23,1256.6
2021-05-16,1238.92
2021-05-09,1237.89
2021-05-02,1248.14
2021-04-25,1228.38
2021-04-18,1231.79
2021-04-11,1234.77
2021-04-04,1217.16
2021-03-28,1206.44
2021-03-21,1184.05
2021-03-14,1176.57
2021-03-07,1179.42
2021-02-28,1133.33
2021-02-21,1123.08
2021-02-14,1154.79
2021-02-07,1147.6
2021-01-31,1132.93
2021-01-24,1085.38
2021-01-17,1123.64
2021-01-10,1121.8
2021-01-03,1132.1
2020-12-27,1103.54
2020-12-20,1100.24
2020-12-13,1100.61
2020-12-06,1094.31
2020-11-29,1108.6
2020-11-22,1103.08
2020-11-15,1083.87
2020-11-08,1068.17
2020-11-01,1001.38
2020-10-25,930.91
2020-10-18,979.97
2020-10-11,991.05
2020-10-04,993.52
2020-09-27,965.36
2020-09-20,944.55
2020-09-13,982.77
2020-09-06,988.06
2020-08-30,974.02
2020-08-23,991.54
2020-08-16,971.82
2020-08-09,984.47
2020-08-02,972.95
2020-07-26,954.26
2020-07-19,986.95
2020-07-12,1006.22
2020-07-05,993.7
2020-06-28,992.87
2020-06-21,971.07
2020-06-14,985.42
2020-06-07,953.39
2020-05-31,1014.74
2020-05-24,930.25
2020-05-17,890.87
2020-05-10,858.52
2020-05-03,900.37
2020-04-26,899.87
2020-04-19,865.8
2020-04-12,883.28
2020-04-05,887.87
2020-03-29,819.98
2020-03-22,843.39
2020-03-15,792.16
2020-03-08,800.75
2020-03-01,994.77
2020-02-23,1021.98
2020-02-16,1164.17
2020-02-09,1174.35
2020-02-02,1161.09
2020-01-26,1120.23
2020-01-19,1160.41
2020-01-12,1170.06
2020-01-05,1157.33
2019-12-29,1157.38
2019-12-22,1156.61
2019-12-15,1152.58
2019-12-08,1132.44
2019-12-01,1127.99
2019-11-24,1129.97
2019-11-17,1124.2
2019-11-10,1134.03
2019-11-03,1125.96
2019-10-27,1103.74
2019-10-20,1098.98
2019-10-13,1089.39
2019-10-06,1094.13
2019-09-29,1065.09
2019-09-22,1093.19
2019-09-15,1098.69
2019-09-08,1093.59
2019-09-01,1082.53
2019-08-25,1064.09
2019-08-18,1035.17
2019-08-11,1031.32
2019-08-04,1038.33
2019-07-28,1051.28
2019-07-21,1097.82
2019-07-14,1081.64
2019-07-07,1079.31
2019-06-30,1086.08
2019-06-23,1071.44
2019-06-16,1071.4
2019-06-09,1047.69
2019-06-02,1047.98
2019-05-26,1022.09
2019-05-19,1037.34
2019-05-12,1059.02
2019-05-05,1040.59
2019-04-28,1080.24
2019-04-21,1081.94
2019-04-14,1085.97
2019-04-07,1072.63
2019-03-31,1067.98
2019-03-24,1042.48
2019-03-17,1026.78
2019-03-10,1047.25
2019-03-03,1013.72
2019-02-24,1025.26
2019-02-17,1013.22
2019-02-10,1005.88
2019-02-03,973.75
2019-01-27,978.22
2019-01-20,961.78
2019-01-13,953.23
2019-01-06,935.18
2018-12-30,921.3
2018-12-23,906.88
2018-12-16,909.69
2018-12-09,943.28
2018-12-02,938.08
2018-11-25,973.2
2018-11-18,962.11
2018-11-11,980.75
2018-11-04,994.39
2018-10-28,991.01
2018-10-21,964.6
2018-10-14,993.91
2018-10-07,988.77
2018-09-30,1038.87
2018-09-23,1060.91
2018-09-16,1063.94
2018-09-09,1042.7
2018-09-02,1029.38
2018-08-26,1058.73
2018-08-19,1065.1
2018-08-12,1051.14
2018-08-05,1062.51
2018-07-29,1075.09
2018-07-22,1080.72
2018-07-15,1067.38
2018-07-08,1066.17
2018-07-01,1053.74
2018-06-24,1044.81
2018-06-17,1054.8
2018-06-10,1069.46
2018-06-03,1057.54
2018-05-27,1059.77
2018-05-20,1071.81
2018-05-13,1081.35
2018-05-06,1070.68
2018-04-29,1063.02
2018-04-22,1059.94
2018-04-15,1050.02
2018-04-08,1037.88
2018-04-01,1027.42
2018-03-25,1011.72
2018-03-18,996.32
2018-03-11,1029.47
2018-03-04,1030.32
2018-02-25,998.18
2018-02-18,1026.71
2018-02-11,1021.0
2018-02-04,987.55
2018-01-28,1043.52
2018-01-21,1072.39
2018-01-14,1073.77
2018-01-07,1066.79
2017-12-31,1061.69
2017-12-24,1032.74
2017-12-17,1041.04
2017-12-10,1038.24
2017-12-03,1045.49
2017-11-26,1030.43
2017-11-19,1041.77
2017-11-12,1030.01
2017-11-05,1046.81
2017-10-29,1071.47
2017-10-22,1064.26
2017-10-15,1049.59
2017-10-08,1048.18
2017-10-01,1043.33
2017-09-24,1036.54
2017-09-17,1022.5
2017-09-10,1016.05
2017-09-03,999.89
2017-08-27,997.51
2017-08-20,992.5
2017-08-13,995.81
2017-08-06,986.18
2017-07-30,1012.15
2017-07-23,1000.74
2017-07-16,995.24
2017-07-09,1008.73
2017-07-02,989.64
2017-06-25,986.22
2017-06-18,1013.91
2017-06-11,1017.29
2017-06-04,1023.83
2017-05-28,1030.43
2017-05-21,1028.06
2017-05-14,1026.04
2017-05-07,1041.31
2017-04-30,1043.24
2017-04-23,1010.93
2017-04-16,976.53
2017-04-09,980.69
2017-04-02,990.21
2017-03-26,986.27
2017-03-19,969.01
2017-03-12,973.14
2017-03-05,964.48
2017-02-26,963.21
2017-02-19,940.3
2017-02-12,944.4
2017-02-05,933.94
2017-01-29,932.52
