"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 26, 2021","1,361.69","1,345.89","1,368.30","1,345.89","369.80M","0.89%"
"Dec 19, 2021","1,349.62","1,286.97","1,355.16","1,284.63","651.71M","2.58%"
"Dec 12, 2021","1,315.69","1,337.59","1,342.91","1,306.02","1.08B","-1.31%"
"Dec 05, 2021","1,333.19","1,306.87","1,361.71","1,299.13","863.90M","2.67%"
"Nov 28, 2021","1,298.50","1,322.34","1,329.77","1,288.95","1.28B","-0.42%"
"Nov 21, 2021","1,303.92","1,376.17","1,378.40","1,302.73","1.06B","-5.01%"
"Nov 14, 2021","1,372.66","1,376.66","1,391.40","1,367.35","900.59M","-0.23%"
"Nov 07, 2021","1,375.85","1,372.88","1,377.25","1,363.09","772.93M","0.20%"
"Oct 31, 2021","1,373.10","1,349.48","1,377.36","1,347.24","823.86M","2.23%"
"Oct 24, 2021","1,343.09","1,334.98","1,343.36","1,326.93","895.79M","0.87%"
"Oct 17, 2021","1,331.44","1,314.25","1,336.18","1,305.69","747.01M","0.84%"
"Oct 10, 2021","1,320.37","1,281.93","1,321.75","1,269.30","899.25M","2.88%"
"Oct 03, 2021","1,283.40","1,268.84","1,293.23","1,255.85","997.63M","0.58%"
"Sep 26, 2021","1,275.94","1,315.34","1,316.12","1,256.86","1.13B","-2.27%"
"Sep 19, 2021","1,305.63","1,274.38","1,323.48","1,262.72","996.54M","0.85%"
"Sep 12, 2021","1,294.64","1,312.48","1,318.97","1,291.48","1.06B","-1.08%"
"Sep 05, 2021","1,308.81","1,318.62","1,328.58","1,299.01","711.58M","-0.41%"
"Aug 29, 2021","1,314.20","1,309.42","1,327.45","1,303.56","717.44M","0.53%"
"Aug 22, 2021","1,307.29","1,300.90","1,308.63","1,293.32","604.07M","1.48%"
"Aug 15, 2021","1,288.28","1,318.35","1,320.34","1,271.57","736.74M","-2.96%"
"Aug 08, 2021","1,327.64","1,311.58","1,330.07","1,311.58","691.11M","1.21%"
"Aug 01, 2021","1,311.81","1,290.40","1,314.74","1,286.13","771.01M","2.39%"
"Jul 25, 2021","1,281.19","1,270.99","1,290.71","1,262.24","827.35M","0.10%"
"Jul 18, 2021","1,279.86","1,245.59","1,280.97","1,220.86","866.09M","1.68%"
"Jul 11, 2021","1,258.67","1,266.07","1,277.81","1,252.74","714.05M","-0.57%"
"Jul 04, 2021","1,265.84","1,270.56","1,275.36","1,236.76","1.03B","-0.58%"
"Jun 27, 2021","1,273.19","1,280.25","1,283.56","1,260.13","918.19M","-0.76%"
"Jun 20, 2021","1,282.90","1,260.74","1,285.79","1,257.87","971.12M","1.14%"
"Jun 13, 2021","1,268.39","1,285.08","1,292.71","1,267.37","1.11B","-0.89%"
"Jun 06, 2021","1,279.72","1,260.70","1,280.78","1,256.57","863.16M","1.34%"
"May 30, 2021","1,262.79","1,256.08","1,265.66","1,248.14","677.76M","0.49%"
"May 23, 2021","1,256.60","1,240.65","1,259.21","1,238.46","937.08M","1.43%"
"May 16, 2021","1,238.92","1,241.10","1,244.24","1,202.78","892.73M","0.08%"
"May 09, 2021","1,237.89","1,249.78","1,249.78","1,195.64","1.01B","-0.82%"
"May 02, 2021","1,248.14","1,231.02","1,248.20","1,216.02","980.82M","1.61%"
"Apr 25, 2021","1,228.38","1,231.18","1,245.82","1,228.38","906.53M","-0.28%"
"Apr 18, 2021","1,231.79","1,236.34","1,238.89","1,208.12","965.43M","-0.24%"
"Apr 11, 2021","1,234.77","1,215.58","1,236.46","1,210.42","919.22M","1.45%"
"Apr 04, 2021","1,217.16","1,217.70","1,220.30","1,208.36","773.74M","0.89%"
"Mar 28, 2021","1,206.44","1,186.11","1,208.23","1,184.12","742.39M","1.89%"
"Mar 21, 2021","1,184.05","1,170.22","1,185.20","1,160.19","1.01B","0.64%"
"Mar 14, 2021","1,176.57","1,183.26","1,188.13","1,171.91","1.42B","-0.24%"
"Mar 07, 2021","1,179.42","1,139.86","1,183.53","1,134.83","1.18B","4.07%"
"Feb 28, 2021","1,133.33","1,138.02","1,155.85","1,129.66","1.20B","0.91%"
"Feb 21, 2021","1,123.08","1,145.56","1,152.99","1,119.34","1.35B","-2.75%"
"Feb 14, 2021","1,154.79","1,152.32","1,163.94","1,144.69","1.16B","0.63%"
"Feb 07, 2021","1,147.60","1,139.04","1,147.76","1,130.09","1.21B","1.29%"
"Jan 31, 2021","1,132.93","1,094.68","1,135.86","1,093.54","1.04B","4.38%"
"Jan 24, 2021","1,085.38","1,130.54","1,131.52","1,080.78","1.29B","-3.41%"
"Jan 17, 2021","1,123.64","1,117.99","1,138.41","1,114.66","911.70M","0.16%"
"Jan 10, 2021","1,121.80","1,129.54","1,134.28","1,114.01","1.16B","-0.91%"
"Jan 03, 2021","1,132.10","1,116.88","1,133.00","1,103.51","1.20B","2.59%"
"Dec 27, 2020","1,103.54","1,105.49","1,117.00","1,101.56","384.01M","0.30%"
"Dec 20, 2020","1,100.24","1,078.60","1,102.06","1,060.43","659.03M","-0.03%"
"Dec 13, 2020","1,100.61","1,100.99","1,110.22","1,095.22","1.28B","0.58%"
"Dec 06, 2020","1,094.31","1,106.58","1,108.33","1,086.66","1.08B","-1.29%"
"Nov 29, 2020","1,108.60","1,096.66","1,108.60","1,088.73","1.32B","0.50%"
"Nov 22, 2020","1,103.08","1,092.36","1,105.58","1,083.04","1.32B","1.77%"
"Nov 15, 2020","1,083.87","1,076.97","1,089.51","1,072.50","1.28B","1.47%"
"Nov 08, 2020","1,068.17","1,013.68","1,079.26","1,013.68","2.03B","6.67%"
"Nov 01, 2020","1,001.38","934.33","1,006.39","928.74","1.35B","7.57%"
"Oct 25, 2020","930.91","968.27","977.99","916.75","1.39B","-5.01%"
"Oct 18, 2020","979.97","995.62","1,001.65","961.03","939.78M","-1.12%"
"Oct 11, 2020","991.05","995.39","1,003.90","968.70","1.14B","-0.25%"
"Oct 04, 2020","993.52","972.78","993.52","969.41","1.26B","2.92%"
"Sep 27, 2020","965.36","958.47","970.34","951.32","1.13B","2.20%"
"Sep 20, 2020","944.55","976.75","976.75","932.04","1.26B","-3.89%"
"Sep 13, 2020","982.77","995.47","1,001.41","982.23","1.28B","-0.54%"
"Sep 06, 2020","988.06","976.71","992.74","964.94","965.11M","1.44%"
"Aug 30, 2020","974.02","1,000.42","1,012.24","966.65","1.15B","-1.77%"
"Aug 23, 2020","991.54","982.38","1,004.82","982.38","825.41M","2.03%"
"Aug 16, 2020","971.82","986.23","991.06","960.71","789.98M","-1.28%"
"Aug 09, 2020","984.47","974.40","1,008.20","968.77","1.03B","1.18%"
"Aug 02, 2020","972.95","956.19","986.30","949.94","1.05B","1.96%"
"Jul 26, 2020","954.26","983.90","990.92","954.26","1.16B","-3.31%"
"Jul 19, 2020","986.95","1,004.53","1,028.53","981.22","1.01B","-1.92%"
"Jul 12, 2020","1,006.22","1,005.01","1,019.96","985.13","1.06B","1.26%"
"Jul 05, 2020","993.70","1,011.85","1,012.89","978.82","1.05B","0.08%"
"Jun 28, 2020","992.87","967.72","1,001.90","962.36","1.18B","2.24%"
"Jun 21, 2020","971.07","976.11","999.11","950.31","1.23B","-1.46%"
"Jun 14, 2020","985.42","931.16","994.31","926.94","1.78B","3.36%"
"Jun 07, 2020","953.39","1,006.53","1,014.20","937.52","1.83B","-6.05%"
"May 31, 2020","1,014.74","945.78","1,015.10","934.40","1.73B","9.08%"
"May 24, 2020","930.25","897.81","944.62","893.02","1.74B","4.42%"
"May 17, 2020","890.87","873.68","902.58","872.77","1.41B","3.77%"
"May 10, 2020","858.52","904.83","906.73","843.63","1.41B","-4.65%"
"May 03, 2020","900.37","870.19","902.07","860.21","1.24B","0.06%"
"Apr 26, 2020","899.87","881.66","926.99","877.83","1.19B","3.94%"
"Apr 19, 2020","865.80","888.82","889.33","858.01","1.26B","-1.98%"
"Apr 12, 2020","883.28","896.87","897.88","852.52","1.33B","-0.52%"
"Apr 05, 2020","887.87","848.07","894.71","841.62","1.40B","8.28%"
"Mar 29, 2020","819.98","847.52","868.55","817.76","1.95B","-2.78%"
"Mar 22, 2020","843.39","756.96","881.91","751.55","2.40B","6.47%"
"Mar 15, 2020","792.16","756.65","807.22","710.47","3.40B","-1.07%"
"Mar 08, 2020","800.75","943.27","956.39","785.45","3.61B","-19.50%"
"Mar 01, 2020","994.77","1,040.58","1,061.00","989.07","2.17B","-2.66%"
"Feb 23, 2020","1,021.98","1,133.97","1,134.15","1,007.93","2.25B","-12.21%"
"Feb 16, 2020","1,164.17","1,176.50","1,182.10","1,157.76","1.04B","-0.87%"
"Feb 09, 2020","1,174.35","1,157.11","1,177.71","1,154.55","1.10B","1.14%"
"Feb 02, 2020","1,161.09","1,122.94","1,166.06","1,119.49","1.15B","3.65%"
"Jan 26, 2020","1,120.23","1,142.49","1,149.12","1,119.17","1.18B","-3.46%"
"Jan 19, 2020","1,160.41","1,169.21","1,169.49","1,147.43","855.64M","-0.82%"
"Jan 12, 2020","1,170.06","1,157.93","1,171.47","1,145.92","898.38M","1.10%"
"Jan 05, 2020","1,157.33","1,148.64","1,163.80","1,139.88","852.24M","-0.00%"
"Dec 29, 2019","1,157.38","1,155.09","1,160.66","1,142.41","424.33M","0.07%"
"Dec 22, 2019","1,156.61","1,150.92","1,160.82","1,149.71","247.65M","0.35%"
"Dec 15, 2019","1,152.58","1,137.45","1,152.59","1,137.11","1.10B","1.78%"
"Dec 08, 2019","1,132.44","1,127.05","1,141.02","1,110.13","911.15M","0.39%"
"Dec 01, 2019","1,127.99","1,131.10","1,138.46","1,095.85","938.28M","-0.18%"
"Nov 24, 2019","1,129.97","1,128.67","1,136.64","1,126.33","821.05M","0.51%"
"Nov 17, 2019","1,124.20","1,134.68","1,139.36","1,113.44","854.75M","-0.87%"
"Nov 10, 2019","1,134.03","1,123.31","1,134.55","1,122.49","827.13M","0.72%"
"Nov 03, 2019","1,125.96","1,108.27","1,127.83","1,108.07","1.07B","2.01%"
"Oct 27, 2019","1,103.74","1,098.37","1,107.20","1,095.52","965.34M","0.43%"
"Oct 20, 2019","1,098.98","1,089.93","1,102.62","1,085.29","871.01M","0.88%"
"Oct 13, 2019","1,089.39","1,090.61","1,105.89","1,082.51","957.23M","-0.43%"
"Oct 06, 2019","1,094.13","1,063.92","1,094.27","1,057.61","956.47M","2.73%"
"Sep 29, 2019","1,065.09","1,092.01","1,105.85","1,046.36","985.46M","-2.57%"
"Sep 22, 2019","1,093.19","1,095.69","1,096.99","1,071.88","858.87M","-0.50%"
"Sep 15, 2019","1,098.69","1,088.37","1,100.33","1,082.09","1.13B","0.47%"
"Sep 08, 2019","1,093.59","1,084.15","1,096.52","1,072.84","1.12B","1.02%"
"Sep 01, 2019","1,082.53","1,064.81","1,084.49","1,057.25","798.02M","1.73%"
"Aug 25, 2019","1,064.09","1,031.09","1,067.79","1,028.01","787.37M","2.79%"
"Aug 18, 2019","1,035.17","1,038.28","1,055.31","1,035.17","807.42M","0.37%"
"Aug 11, 2019","1,031.32","1,045.01","1,049.60","1,005.18","1.10B","-0.68%"
"Aug 04, 2019","1,038.33","1,039.21","1,049.96","1,021.01","1.10B","-1.23%"
"Jul 28, 2019","1,051.28","1,094.14","1,099.75","1,049.45","1.12B","-4.24%"
"Jul 21, 2019","1,097.82","1,081.95","1,108.48","1,081.23","953.43M","1.50%"
"Jul 14, 2019","1,081.64","1,079.07","1,090.02","1,074.27","776.93M","0.22%"
"Jul 07, 2019","1,079.31","1,083.45","1,087.38","1,075.77","738.07M","-0.62%"
"Jun 30, 2019","1,086.08","1,080.97","1,094.49","1,077.12","794.42M","1.37%"
"Jun 23, 2019","1,071.44","1,071.74","1,075.57","1,057.01","882.30M","0.00%"
"Jun 16, 2019","1,071.40","1,048.13","1,080.35","1,045.70","1.23B","2.26%"
"Jun 09, 2019","1,047.69","1,051.69","1,061.11","1,043.43","755.43M","-0.03%"
"Jun 02, 2019","1,047.98","1,015.35","1,051.75","1,010.93","1.02B","2.53%"
"May 26, 2019","1,022.09","1,042.69","1,046.19","1,013.58","910.84M","-1.47%"
"May 19, 2019","1,037.34","1,056.24","1,059.24","1,030.37","916.57M","-2.05%"
"May 12, 2019","1,059.02","1,041.32","1,062.02","1,025.27","975.24M","1.77%"
"May 05, 2019","1,040.59","1,062.25","1,070.31","1,036.12","919.90M","-3.67%"
"Apr 28, 2019","1,080.24","1,081.41","1,086.58","1,077.24","691.30M","-0.16%"
"Apr 21, 2019","1,081.94","1,084.82","1,088.84","1,076.18","743.39M","-0.37%"
"Apr 14, 2019","1,085.97","1,074.03","1,089.06","1,072.52","726.86M","1.24%"
"Apr 07, 2019","1,072.63","1,066.62","1,073.50","1,059.96","843.05M","0.44%"
"Mar 31, 2019","1,067.98","1,050.32","1,069.92","1,047.24","838.68M","2.45%"
"Mar 24, 2019","1,042.48","1,016.21","1,043.18","1,016.21","886.61M","1.53%"
"Mar 17, 2019","1,026.78","1,047.06","1,056.73","1,025.66","914.81M","-1.95%"
"Mar 10, 2019","1,047.25","1,017.69","1,049.22","1,014.28","1.15B","3.31%"
"Mar 03, 2019","1,013.72","1,029.19","1,032.41","1,011.78","999.94M","-1.13%"
"Feb 24, 2019","1,025.26","1,016.06","1,028.43","1,008.80","962.24M","1.19%"
"Feb 17, 2019","1,013.22","1,005.56","1,015.88","1,002.43","798.65M","0.73%"
"Feb 10, 2019","1,005.88","978.91","1,008.21","978.63","998.53M","3.30%"
"Feb 03, 2019","973.75","978.36","997.39","971.34","1.01B","-0.46%"
"Jan 27, 2019","978.22","957.75","978.85","951.21","1.05B","1.71%"
"Jan 20, 2019","961.78","951.60","962.70","942.62","828.00M","0.90%"
"Jan 13, 2019","953.23","928.37","953.90","925.02","917.70M","1.93%"
"Jan 06, 2019","935.18","924.81","941.02","914.41","916.39M","1.51%"
"Dec 30, 2018","921.30","911.68","923.19","894.56","603.57M","1.59%"
"Dec 23, 2018","906.88","900.33","910.93","884.35","396.15M","-0.31%"
"Dec 16, 2018","909.69","940.78","941.45","897.45","1.37B","-3.56%"
"Dec 09, 2018","943.28","933.84","957.27","920.84","1.09B","0.55%"
"Dec 02, 2018","938.08","993.74","993.92","926.83","1.09B","-3.61%"
"Nov 25, 2018","973.20","968.85","980.86","964.12","1.07B","1.15%"
"Nov 18, 2018","962.11","983.67","987.62","952.57","852.89M","-1.90%"
"Nov 11, 2018","980.75","998.89","1,000.78","973.75","982.78M","-1.37%"
"Nov 04, 2018","994.39","991.12","1,005.66","984.00","877.76M","0.34%"
"Oct 28, 2018","991.01","963.79","1,002.42","957.40","1.09B","2.74%"
"Oct 21, 2018","964.60","1,001.66","1,001.66","951.33","1.24B","-2.95%"
"Oct 14, 2018","993.91","988.63","1,012.91","981.31","1.13B","0.52%"
"Oct 07, 2018","988.77","1,035.99","1,037.73","988.77","1.19B","-4.82%"
"Sep 30, 2018","1,038.87","1,060.93","1,065.91","1,038.16","960.15M","-2.08%"
"Sep 23, 2018","1,060.91","1,061.98","1,070.67","1,055.10","980.94M","-0.28%"
"Sep 16, 2018","1,063.94","1,041.57","1,065.52","1,038.88","1.28B","2.04%"
"Sep 09, 2018","1,042.70","1,028.03","1,045.75","1,027.81","938.09M","1.29%"
"Sep 02, 2018","1,029.38","1,057.52","1,062.72","1,022.99","1.01B","-2.77%"
"Aug 26, 2018","1,058.73","1,069.05","1,077.70","1,057.54","781.10M","-0.60%"
"Aug 19, 2018","1,065.10","1,054.06","1,068.58","1,053.10","703.41M","1.33%"
"Aug 12, 2018","1,051.14","1,060.30","1,067.49","1,041.57","835.86M","-1.07%"
"Aug 05, 2018","1,062.51","1,076.40","1,084.11","1,058.14","817.88M","-1.17%"
"Jul 29, 2018","1,075.09","1,076.01","1,081.67","1,066.87","1.02B","-0.52%"
"Jul 22, 2018","1,080.72","1,064.83","1,081.36","1,061.23","995.04M","1.25%"
"Jul 15, 2018","1,067.38","1,066.43","1,072.41","1,057.77","850.29M","0.11%"
"Jul 08, 2018","1,066.17","1,058.66","1,068.13","1,052.57","834.35M","1.18%"
"Jul 01, 2018","1,053.74","1,034.18","1,055.26","1,029.80","899.65M","0.85%"
"Jun 24, 2018","1,044.81","1,048.83","1,051.61","1,029.71","956.77M","-0.95%"
"Jun 17, 2018","1,054.80","1,067.11","1,068.41","1,039.51","1.04B","-1.37%"
"Jun 10, 2018","1,069.46","1,060.96","1,080.94","1,055.81","1.26B","1.13%"
"Jun 03, 2018","1,057.54","1,066.31","1,072.65","1,049.14","1.00B","-0.21%"
"May 27, 2018","1,059.77","1,075.86","1,077.52","1,044.21","1.29B","-1.12%"
"May 20, 2018","1,071.81","1,083.60","1,090.20","1,066.96","1.15B","-0.88%"
"May 13, 2018","1,081.35","1,070.50","1,087.00","1,067.96","1.07B","1.00%"
"May 06, 2018","1,070.68","1,062.20","1,071.18","1,061.17","818.96M","0.72%"
"Apr 29, 2018","1,063.02","1,056.69","1,067.03","1,055.91","803.97M","0.29%"
"Apr 22, 2018","1,059.94","1,048.09","1,060.59","1,044.06","977.02M","0.94%"
"Apr 15, 2018","1,050.02","1,038.96","1,053.17","1,034.15","922.79M","1.17%"
"Apr 08, 2018","1,037.88","1,029.24","1,041.58","1,024.94","905.09M","1.02%"
"Apr 01, 2018","1,027.42","1,005.84","1,031.79","996.93","808.05M","1.55%"
"Mar 25, 2018","1,011.72","998.80","1,016.68","986.63","845.94M","1.55%"
"Mar 18, 2018","996.32","1,026.68","1,026.72","989.21","1.01B","-3.22%"
"Mar 11, 2018","1,029.47","1,035.66","1,036.83","1,019.12","1.16B","-0.08%"
"Mar 04, 2018","1,030.32","995.65","1,033.16","995.63","1.02B","3.22%"
"Feb 25, 2018","998.18","1,032.01","1,036.61","995.28","1.07B","-2.78%"
"Feb 18, 2018","1,026.71","1,023.81","1,027.55","1,014.51","829.56M","0.56%"
"Feb 11, 2018","1,021.00","997.41","1,022.83","987.92","1.10B","3.39%"
"Feb 04, 2018","987.55","1,034.95","1,035.70","982.36","1.52B","-5.36%"
"Jan 28, 2018","1,043.52","1,073.31","1,073.49","1,043.49","1.00B","-2.69%"
"Jan 21, 2018","1,072.39","1,073.04","1,081.76","1,060.54","926.42M","-0.13%"
"Jan 14, 2018","1,073.77","1,066.83","1,074.61","1,063.87","884.26M","0.65%"
"Jan 07, 2018","1,066.79","1,064.23","1,071.76","1,061.09","1.01B","0.48%"
