"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 30, 1983","498.50","499.50","498.50","498.50","0.97%"
"Jan 23, 1983","493.70","476.00","493.70","493.70","1.79%"
"Jan 16, 1983","485.00","498.50","485.00","485.00","0.37%"
"Jan 09, 1983","483.20","474.00","483.20","483.20","3.91%"
"Jan 02, 1983","465.00","452.00","465.00","465.00","1.77%"
"Dec 26, 1982","456.90","457.00","456.90","456.90","2.51%"
"Dec 19, 1982","445.70","440.20","445.70","445.70","1.99%"
"Dec 12, 1982","437.00","438.70","437.00","437.00","0.30%"
"Dec 05, 1982","435.70","445.20","435.70","435.70","-1.25%"
"Nov 28, 1982","441.20","434.00","441.20","441.20","8.67%"
"Nov 21, 1982","406.00","410.50","406.00","406.00","-2.78%"
"Nov 14, 1982","417.60","403.20","417.60","417.60","4.92%"
"Nov 07, 1982","398.00","407.20","398.00","398.00","-4.67%"
"Oct 31, 1982","417.50","427.50","417.50","417.50","-0.17%"
"Oct 24, 1982","418.20","418.60","418.20","418.20","-2.29%"
"Oct 17, 1982","428.00","428.20","428.00","428.00","-1.04%"
"Oct 10, 1982","432.50","441.20","432.50","432.50","-0.12%"
"Oct 03, 1982","433.00","387.50","433.00","433.00","7.71%"
"Sep 26, 1982","402.00","413.70","402.00","402.00","-6.73%"
"Sep 19, 1982","431.00","424.20","431.00","431.00","-2.38%"
"Sep 12, 1982","441.50","439.00","441.50","441.50","-2.54%"
"Sep 05, 1982","453.00","481.00","453.00","453.00","-0.44%"
"Aug 29, 1982","455.00","402.20","455.00","455.00","8.85%"
"Aug 22, 1982","418.00","394.50","418.00","418.00","8.15%"
"Aug 15, 1982","386.50","341.70","386.50","386.50","14.35%"
"Aug 08, 1982","338.00","336.00","338.00","338.00","-1.94%"
"Aug 01, 1982","344.70","351.30","344.70","344.70","0.52%"
"Jul 25, 1982","342.90","352.20","342.90","342.90","-5.59%"
"Jul 18, 1982","363.20","347.50","363.20","363.20","4.67%"
"Jul 11, 1982","347.00","343.00","347.00","347.00","5.63%"
"Jul 04, 1982","328.50","311.00","328.50","328.50","5.05%"
"Jun 27, 1982","312.70","303.75","312.70","312.70","2.36%"
"Jun 20, 1982","305.50","296.75","305.50","305.50","-1.05%"
"Jun 13, 1982","308.75","320.75","308.75","308.75","-5.07%"
"Jun 06, 1982","325.25","325.25","325.25","325.25","2.04%"
"May 30, 1982","318.75","325.25","318.75","318.75","-2.00%"
"May 23, 1982","325.25","329.00","325.25","325.25","-3.91%"
"May 16, 1982","338.50","338.50","338.50","338.50","1.58%"
"May 09, 1982","333.25","329.00","333.25","333.25","-0.45%"
"May 02, 1982","334.75","345.50","334.75","334.75","-7.34%"
"Apr 25, 1982","361.25","357.00","361.25","361.25","2.56%"
"Apr 18, 1982","352.25","357.00","352.25","352.25","-2.89%"
"Apr 11, 1982","362.75","353.50","362.75","362.75","3.20%"
"Apr 04, 1982","351.50","337.50","351.50","351.50","7.25%"
"Mar 28, 1982","327.75","318.50","327.75","327.75","1.71%"
"Mar 21, 1982","322.25","320.80","322.25","322.25","2.06%"
"Mar 14, 1982","315.75","312.00","315.75","315.75","-2.32%"
"Mar 07, 1982","323.25","330.50","323.25","323.25","-5.59%"
"Feb 28, 1982","342.40","361.25","342.40","342.40","-5.57%"
"Feb 21, 1982","362.60","364.25","362.60","362.60","-1.80%"
"Feb 14, 1982","369.25","377.50","369.25","369.25","-2.19%"
"Feb 07, 1982","377.50","379.75","377.50","377.50","-1.76%"
"Jan 31, 1982","384.25","379.50","384.25","384.25","-0.71%"
"Jan 24, 1982","387.00","372.00","387.00","387.00","2.58%"
"Jan 17, 1982","377.25","373.75","377.25","377.25","-0.53%"
"Jan 10, 1982","379.25","388.25","379.25","379.25","-5.25%"
"Jan 03, 1982","400.25","395.00","400.25","400.25","-0.19%"
"Dec 27, 1981","401.00","396.00","401.00","401.00","0.15%"
"Dec 20, 1981","400.40","410.50","400.40","400.40","-3.69%"
"Dec 13, 1981","415.75","417.50","415.75","415.75","1.46%"
"Dec 06, 1981","409.75","416.75","409.75","409.75","-3.81%"
"Nov 29, 1981","426.00","414.50","426.00","426.00","4.03%"
"Nov 22, 1981","409.50","396.75","409.50","409.50","1.99%"
"Nov 15, 1981","401.50","404.25","401.50","401.50","-2.67%"
"Nov 08, 1981","412.50","429.75","412.50","412.50","-3.68%"
"Nov 01, 1981","428.25","430.00","428.25","428.25","0.29%"
"Oct 25, 1981","427.00","426.00","427.00","427.00","-1.27%"
"Oct 18, 1981","432.50","436.70","432.50","432.50","-2.54%"
"Oct 11, 1981","443.75","453.50","443.75","443.75","-2.15%"
"Oct 04, 1981","453.50","441.25","453.50","453.50","4.25%"
"Sep 27, 1981","435.00","421.50","435.00","435.00","-3.44%"
"Sep 20, 1981","450.50","463.50","450.50","450.50","0.78%"
"Sep 13, 1981","447.00","451.25","447.00","447.00","-0.28%"
"Sep 06, 1981","448.25","439.50","448.25","448.25","1.99%"
"Aug 30, 1981","439.50","427.00","439.50","439.50","3.41%"
"Aug 23, 1981","425.00","422.00","425.00","425.00","-1.05%"
"Aug 16, 1981","429.50","441.50","429.50","429.50","4.00%"
"Aug 09, 1981","413.00","393.75","413.00","413.00","3.96%"
"Aug 02, 1981","397.25","392.50","397.25","397.25","-2.16%"
"Jul 26, 1981","406.00","408.75","406.00","406.00","-0.37%"
"Jul 19, 1981","407.50","412.50","407.50","407.50","-1.81%"
"Jul 12, 1981","415.00","413.00","415.00","415.00","-0.36%"
"Jul 05, 1981","416.50","403.75","416.50","416.50","0.48%"
"Jun 28, 1981","414.50","428.75","414.50","414.50","-6.22%"
"Jun 21, 1981","442.00","462.00","442.00","442.00","-3.55%"
"Jun 14, 1981","458.25","471.75","458.25","458.25","-2.91%"
"Jun 07, 1981","472.00","473.50","472.00","472.00","2.61%"
