"Date","Price","Open","High","Low","Vol.","Change %"
"26.01.2003","5.947,70","6.230,50","6.235,00","5.789,80","849,94M","-5,12%"
"19.01.2003","6.268,90","6.408,30","6.502,30","6.227,10","635,12M","-2,93%"
"12.01.2003","6.458,20","6.469,90","6.645,50","6.422,00","702,76M","0,30%"
"05.01.2003","6.438,90","6.349,90","6.475,60","6.237,40","542,13M","3,23%"
"29.12.2002","6.237,30","6.037,70","6.331,00","5.981,10","264,05M","2,57%"
"22.12.2002","6.081,30","6.214,30","6.250,80","6.081,30","155,22M","-2,04%"
"15.12.2002","6.208,00","6.091,20","6.342,60","6.068,70","632,25M","1,43%"
"08.12.2002","6.120,60","6.380,50","6.454,40","6.094,30","629,58M","-4,74%"
"01.12.2002","6.425,30","6.659,60","6.848,80","6.405,20","509,38M","-3,89%"
"24.11.2002","6.685,60","6.581,00","6.766,80","6.420,20","578,65M","2,24%"
"17.11.2002","6.539,20","6.251,60","6.560,00","6.183,00","527,02M","4,61%"
"10.11.2002","6.250,80","6.069,10","6.358,50","5.978,60","561,15M","2,91%"
"03.11.2002","6.074,20","6.271,70","6.459,90","6.031,20","722,16M","-1,06%"
"27.10.2002","6.139,40","6.164,10","6.262,00","5.944,30","541,69M","0,77%"
"20.10.2002","6.092,50","5.998,20","6.146,00","5.878,50","582,37M","1,36%"
"13.10.2002","6.010,80","5.641,70","6.123,70","5.568,30","774,03M","6,18%"
"06.10.2002","5.661,00","5.426,40","5.665,60","5.266,90","764,80M","2,94%"
"29.09.2002","5.499,20","5.475,80","5.679,60","5.304,70","703,31M","-2,33%"
"22.09.2002","5.630,60","5.761,00","5.845,00","5.293,50","706,02M","-2,27%"
"15.09.2002","5.761,10","6.166,90","6.280,20","5.715,30","673,03M","-6,19%"
"08.09.2002","6.141,30","6.218,10","6.514,50","6.045,40","497,22M","-1,92%"
"01.09.2002","6.261,60","6.433,00","6.433,00","5.989,80","493,19M","-2,71%"
"25.08.2002","6.435,70","6.538,90","6.727,20","6.316,10","442,76M","-2,34%"
"18.08.2002","6.590,10","6.268,10","6.707,50","6.259,00","442,07M","4,16%"
"11.08.2002","6.326,60","6.375,40","6.384,50","6.086,50","349,10M","-1,15%"
"04.08.2002","6.400,30","6.145,40","6.495,70","5.815,60","737,15M","4,68%"
"28.07.2002","6.114,10","6.361,90","6.743,50","6.029,30","805,92M","-3,00%"
"21.07.2002","6.303,40","6.374,00","6.458,50","5.824,20","907,65M","-1,82%"
"14.07.2002","6.420,40","6.726,90","6.861,70","6.271,80","762,70M","-4,52%"
"07.07.2002","6.724,60","7.009,80","7.165,10","6.631,10","549,35M","-5,00%"
"30.06.2002","7.078,40","6.851,40","7.078,40","6.579,70","627,93M","2,39%"
"23.06.2002","6.913,00","6.894,70","6.946,70","6.433,60","757,89M","-0,18%"
"16.06.2002","6.925,50","7.180,20","7.398,20","6.850,40","581,38M","-2,84%"
"09.06.2002","7.128,20","7.542,60","7.571,10","7.014,20","540,08M","-4,71%"
"02.06.2002","7.480,60","7.917,50","8.016,80","7.399,60","571,29M","-5,90%"
"26.05.2002","7.949,90","7.925,90","8.054,70","7.809,70","427,90M","-0,00%"
"19.05.2002","7.950,20","8.108,70","8.122,90","7.833,90","460,49M","-1,74%"
"12.05.2002","8.090,60","7.891,30","8.193,40","7.810,70","526,96M","2,45%"
"05.05.2002","7.897,10","8.041,20","8.165,30","7.788,10","560,34M","-1,52%"
"28.04.2002","8.019,00","8.152,50","8.229,70","7.970,90","460,48M","-1,99%"
"21.04.2002","8.182,00","8.359,30","8.400,30","8.133,60","506,18M","-2,83%"
"14.04.2002","8.420,40","8.032,80","8.470,80","7.979,90","547,66M","4,90%"
"07.04.2002","8.027,30","8.156,10","8.162,70","7.933,10","535,51M","-1,75%"
"31.03.2002","8.170,10","8.235,80","8.265,00","8.094,90","395,26M","-0,96%"
"24.03.2002","8.249,70","8.285,10","8.330,50","8.066,00","449,36M","-1,15%"
"17.03.2002","8.346,00","8.358,40","8.481,10","8.295,50","393,34M","0,33%"
"10.03.2002","8.318,80","8.404,90","8.422,10","8.177,80","552,37M","-0,61%"
"03.03.2002","8.369,70","8.312,60","8.469,00","8.230,80","581,99M","1,69%"
"24.02.2002","8.230,70","7.713,70","8.254,40","7.669,90","495,60M","7,42%"
"17.02.2002","7.662,40","7.884,90","7.977,20","7.628,00","508,79M","-3,26%"
"10.02.2002","7.920,40","7.909,50","8.024,60","7.711,40","577,37M","1,16%"
"03.02.2002","7.829,80","8.120,60","8.122,30","7.645,60","571,81M","-4,18%"
"27.01.2002","8.171,10","8.201,00","8.319,60","7.974,00","481,08M","-0,17%"
"20.01.2002","8.185,00","8.008,70","8.232,80","7.825,90","482,33M","2,20%"
"13.01.2002","8.008,80","7.944,80","8.021,00","7.737,70","579,17M","0,32%"
"06.01.2002","7.983,10","8.356,30","8.506,20","7.835,30","672,43M","-5,67%"
"30.12.2001","8.463,10","8.330,80","8.608,50","8.247,70","305,42M","0,78%"
"23.12.2001","8.397,60","8.273,40","8.519,70","8.268,20","198,06M","1,36%"
"16.12.2001","8.284,90","8.299,40","8.605,00","8.099,50","641,03M","0,04%"
"09.12.2001","8.281,60","8.660,50","8.711,40","8.256,50","481,72M","-4,84%"
"02.12.2001","8.703,20","8.253,90","8.876,00","8.131,60","453,44M","4,05%"
"25.11.2001","8.364,70","8.616,20","8.661,40","8.226,80","552,54M","-1,96%"
"18.11.2001","8.531,70","8.552,10","8.742,70","8.387,90","481,78M","-0,06%"
"11.11.2001","8.536,60","8.240,50","8.611,10","7.958,20","640,16M","3,83%"
"04.11.2001","8.222,00","7.726,90","8.416,70","7.712,00","544,32M","7,09%"
"28.10.2001","7.677,50","7.953,10","7.959,70","7.514,90","497,76M","-3,53%"
"21.10.2001","7.958,30","7.677,80","8.176,60","7.585,10","546,19M","4,84%"
"14.10.2001","7.590,70","7.508,60","7.935,20","7.427,00","608,07M","0,50%"
"07.10.2001","7.553,10","7.054,50","7.739,20","6.925,90","471,32M","5,35%"
"30.09.2001","7.169,30","7.341,00","7.466,30","7.102,00","648,49M","-1,98%"
"23.09.2001","7.314,00","6.583,30","7.368,20","6.583,30","682,78M","12,55%"
"16.09.2001","6.498,40","6.825,50","7.105,00","6.260,10","797,22M","-5,98%"
