"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2022","7,754.65","7,515.42","7,761.55","7,286.65","-","0.44%"
"Feb 27, 2022","7,720.90","8,302.80","8,510.30","7,719.00","1.79B","-9.02%"
"Feb 20, 2022","8,486.60","8,638.80","8,666.40","8,048.00","1.49B","-1.20%"
"Feb 13, 2022","8,590.00","8,583.90","8,798.00","8,504.50","1.05B","-2.37%"
"Feb 06, 2022","8,798.10","8,646.30","8,912.20","8,509.00","1.30B","2.43%"
"Jan 30, 2022","8,589.30","8,697.10","8,785.20","8,551.10","1.20B","-0.24%"
"Jan 23, 2022","8,609.80","8,660.00","8,740.60","8,361.40","1.14B","-0.98%"
"Jan 16, 2022","8,694.70","8,848.40","8,866.60","8,622.10","911.71M","-1.27%"
"Jan 09, 2022","8,806.60","8,771.40","8,817.10","8,679.50","830.95M","0.63%"
"Jan 02, 2022","8,751.80","8,729.70","8,834.10","8,628.90","801.11M","0.44%"
