Date,Price
2022-03-06,7754.65
2022-02-27,7720.9
2022-02-20,8486.6
2022-02-13,8590.0
2022-02-06,8798.1
2022-01-30,8589.3
2022-01-23,8609.8
2022-01-16,8694.7
2022-01-09,8806.6
2022-01-02,8751.8
2021-12-26,8713.8
2021-12-19,8563.7
2021-12-12,8311.6
2021-12-05,8360.2
2021-11-28,8241.7
2021-11-21,8402.7
2021-11-14,8753.2
2021-11-07,9080.8
2021-10-31,9130.6
2021-10-24,9057.7
2021-10-17,8906.4
2021-10-10,8997.0
2021-10-03,8955.0
2021-09-26,8799.5
2021-09-19,8873.1
2021-09-12,8760.9
2021-09-05,8695.3
2021-08-29,8864.0
2021-08-22,8922.2
2021-08-15,8915.3
2021-08-08,8999.8
2021-08-01,8879.0
2021-07-25,8675.7
2021-07-18,8717.2
2021-07-11,8506.2
2021-07-04,8776.6
2021-06-27,8907.6
2021-06-20,9095.0
2021-06-13,9030.6
2021-06-06,9205.0
2021-05-30,9088.3
2021-05-23,9224.6
2021-05-16,9204.0
2021-05-09,9145.6
2021-05-02,9059.2
2021-04-25,8815.0
2021-04-18,8618.6
2021-04-11,8613.5
2021-04-04,8565.8
2021-03-28,8577.6
2021-03-21,8498.2
2021-03-14,8493.0
2021-03-07,8644.5
2021-02-28,8286.8
2021-02-21,8225.0
2021-02-14,8151.6
2021-02-07,8055.0
2021-01-31,8214.7
2021-01-24,7757.5
2021-01-17,8036.4
2021-01-10,8230.7
2021-01-03,8407.7
2020-12-27,8073.7
2020-12-20,8111.5
2020-12-13,8037.4
2020-12-06,8063.1
2020-11-29,8322.9
2020-11-22,8190.7
2020-11-15,7977.9
2020-11-08,7783.7
2020-11-01,6870.4
2020-10-25,6452.2
2020-10-18,6893.4
2020-10-11,6849.7
2020-10-04,6950.9
2020-09-27,6754.5
2020-09-20,6628.3
2020-09-13,6929.8
2020-09-06,6943.2
2020-08-30,6989.7
2020-08-23,7133.0
2020-08-16,6982.1
2020-08-09,7154.3
2020-08-02,6950.5
2020-07-26,6877.4
2020-07-19,7294.7
2020-07-12,7440.4
2020-07-05,7321.1
2020-06-28,7403.5
2020-06-21,7178.4
2020-06-14,7414.2
2020-06-07,7292.7
2020-05-31,7872.6
2020-05-24,7096.5
2020-05-17,6697.5
2020-05-10,6474.9
2020-05-03,6783.1
2020-04-26,6922.3
2020-04-19,6613.9
2020-04-12,6875.8
2020-04-05,7070.6
2020-03-29,6581.6
2020-03-22,6777.9
2020-03-15,6443.3
2020-03-08,6629.6
2020-03-01,8375.6
2020-02-23,8723.2
2020-02-16,9886.2
2020-02-09,9956.8
2020-02-02,9811.0
2020-01-26,9367.9
2020-01-19,9562.0
2020-01-12,9681.3
2020-01-05,9573.6
2019-12-29,9646.6
2019-12-22,9700.5
2019-12-15,9675.5
2019-12-08,9563.7
2019-12-01,9382.7
2019-11-24,9352.0
2019-11-17,9254.7
2019-11-10,9261.4
2019-11-03,9393.7
2019-10-27,9328.0
2019-10-20,9430.2
2019-10-13,9329.8
2019-10-06,9273.8
2019-09-29,8961.8
2019-09-22,9184.1
2019-09-15,9179.0
2019-09-08,9137.9
2019-09-01,8990.1
2019-08-25,8812.9
2019-08-18,8649.5
2019-08-11,8670.4
2019-08-04,8757.8
2019-07-28,8897.6
2019-07-21,9225.5
2019-07-14,9170.5
2019-07-07,9293.2
2019-06-30,9335.0
2019-06-23,9198.8
2019-06-16,9227.2
2019-06-09,9194.2
2019-06-02,9236.1
2019-05-26,9004.2
2019-05-19,9174.6
2019-05-12,9280.1
2019-05-05,9117.5
2019-04-28,9409.6
2019-04-21,9506.0
2019-04-14,9581.9
2019-04-07,9468.5
2019-03-31,9510.3
2019-03-24,9240.3
2019-03-17,9199.4
2019-03-10,9342.2
2019-03-03,9129.3
2019-02-24,9267.7
2019-02-17,9204.6
2019-02-10,9123.2
2019-02-03,8856.8
2019-01-27,9019.4
2019-01-20,9185.2
2019-01-13,9069.1
2019-01-06,8877.1
2018-12-30,8737.8
2018-12-23,8493.7
2018-12-16,8556.8
2018-12-09,8886.1
2018-12-02,8815.5
2018-11-25,9077.2
2018-11-18,8916.7
2018-11-11,9056.8
2018-11-04,9134.8
2018-10-28,8993.0
2018-10-21,8730.4
2018-10-14,8892.1
2018-10-07,8902.0
2018-09-30,9253.9
2018-09-23,9389.2
2018-09-16,9590.4
2018-09-09,9365.3
2018-09-02,9171.2
2018-08-26,9399.1
2018-08-19,9589.5
2018-08-12,9417.3
2018-08-05,9602.1
2018-07-29,9739.8
2018-07-22,9867.9
2018-07-15,9724.8
2018-07-08,9734.8
2018-07-01,9905.0
2018-06-24,9622.7
2018-06-17,9792.1
2018-06-10,9851.0
2018-06-03,9746.3
2018-05-27,9632.4
2018-05-20,9826.5
2018-05-13,10112.4
2018-05-06,10271.4
2018-04-29,10104.1
2018-04-22,9925.4
2018-04-15,9884.2
2018-04-08,9767.3
2018-04-01,9682.8
2018-03-25,9600.4
2018-03-18,9393.1
2018-03-11,9761.0
2018-03-04,9686.1
2018-02-25,9531.1
2018-02-18,9822.4
2018-02-11,9832.1
2018-02-04,9639.6
2018-01-28,10211.2
2018-01-21,10595.4
2018-01-14,10479.5
2018-01-07,10462.4
2017-12-31,10411.4
2017-12-24,10043.9
2017-12-17,10182.0
2017-12-10,10150.4
2017-12-03,10321.1
2017-11-26,10085.0
2017-11-19,10053.5
2017-11-12,10010.4
2017-11-05,10092.7
2017-10-29,10357.8
2017-10-22,10197.5
2017-10-15,10222.7
2017-10-08,10258.0
2017-10-01,10185.5
2017-09-24,10381.5
2017-09-17,10305.0
2017-09-10,10317.4
2017-09-03,10129.6
2017-08-27,10325.5
2017-08-20,10345.3
2017-08-13,10385.7
2017-08-06,10282.9
2017-07-30,10658.4
2017-07-23,10536.1
2017-07-16,10426.6
2017-07-09,10655.1
2017-07-02,10488.8
2017-06-25,10444.5
2017-06-18,10630.8
2017-06-11,10759.4
2017-06-04,10978.3
2017-05-28,10905.9
2017-05-21,10904.2
2017-05-14,10835.4
2017-05-07,10897.0
2017-04-30,11135.4
2017-04-23,10715.8
2017-04-16,10377.0
2017-04-09,10326.1
2017-04-02,10529.0
2017-03-26,10462.9
2017-03-19,10309.4
2017-03-12,10245.8
2017-03-05,10006.4
2017-02-26,9798.5
2017-02-19,9453.5
2017-02-12,9500.3
2017-02-05,9378.1
2017-01-29,9462.7
2017-01-22,9504.1
2017-01-15,9380.1
2017-01-08,9511.6
2017-01-01,9515.9
2016-12-25,9352.1
2016-12-18,9367.7
2016-12-11,9412.8
2016-12-04,9169.6
2016-11-27,8607.1
2016-11-20,8674.4
2016-11-13,8622.9
2016-11-06,8639.2
2016-10-30,8791.6
2016-10-23,9201.3
2016-10-16,9100.4
2016-10-09,8767.9
2016-10-02,8624.3
2016-09-25,8779.4
2016-09-18,8823.6
2016-09-11,8633.4
2016-09-04,9025.5
2016-08-28,8908.9
2016-08-21,8659.5
2016-08-14,8450.6
2016-08-07,8716.4
2016-07-31,8539.4
2016-07-24,8587.2
2016-07-17,8599.9
2016-07-10,8531.0
2016-07-03,8185.9
2016-06-26,8268.9
2016-06-19,7787.7
2016-06-12,8362.0
2016-06-05,8490.5
2016-05-29,8801.6
2016-05-22,9107.3
2016-05-15,8771.2
2016-05-08,8721.5
2016-05-01,8702.1
2016-04-24,9025.7
2016-04-17,9232.8
2016-04-10,8850.9
2016-04-03,8427.6
2016-03-27,8602.3
2016-03-20,8789.8
2016-03-13,9051.1
2016-03-06,9090.6
2016-02-28,8811.6
2016-02-21,8349.2
2016-02-14,8194.2
2016-02-07,7920.8
2016-01-31,8499.5
2016-01-24,8815.8
2016-01-17,8722.9
2016-01-10,8543.6
2016-01-03,8909.2
2015-12-27,9544.2
2015-12-20,9682.9
2015-12-13,9717.1
2015-12-06,9630.7
2015-11-29,10078.7
2015-11-22,10310.7
2015-11-15,10290.3
2015-11-08,10111.4
2015-11-01,10453.2
2015-10-25,10360.7
2015-10-18,10476.3
2015-10-11,10231.5
2015-10-04,10309.6
2015-09-27,9603.6
2015-09-20,9519.5
2015-09-13,9847.2
2015-09-06,9737.9
2015-08-30,9821.8
2015-08-23,10352.9
2015-08-16,10271.7
2015-08-09,10879.3
2015-08-02,11178.2
2015-07-26,11180.7
2015-07-19,11309.3
2015-07-12,11480.7
2015-07-05,11036.1
2015-06-28,10779.8
2015-06-21,11372.3
2015-06-14,10944.3
2015-06-07,11030.5
2015-05-31,11062.0
2015-05-24,11217.6
2015-05-17,11554.2
2015-05-10,11317.3
2015-05-03,11424.7
2015-04-26,11385.0
2015-04-19,11505.4
2015-04-12,11359.4
2015-04-05,11749.3
2015-03-29,11634.0
2015-03-22,11427.4
2015-03-15,11419.6
2015-03-08,11033.8
2015-03-01,11091.9
2015-02-22,11178.3
2015-02-15,10879.3
2015-02-08,10739.5
2015-02-01,10573.1
2015-01-25,10403.3
2015-01-18,10581.5
2015-01-11,10038.9
2015-01-04,9719.0
2014-12-28,10350.8
2014-12-21,10481.8
2014-12-14,10363.6
2014-12-07,10145.0
2014-11-30,10900.7
2014-11-23,10770.7
2014-11-16,10520.8
2014-11-09,10148.0
2014-11-02,10126.3
2014-10-26,10477.8
2014-10-19,10339.3
2014-10-12,9956.8
2014-10-05,10150.5
2014-09-28,10567.6
2014-09-21,10851.4
2014-09-14,11001.9
2014-09-07,10888.9
2014-08-31,11148.9
2014-08-24,10728.8
2014-08-17,10500.2
2014-08-10,10222.2
2014-08-03,10104.8
2014-07-27,10514.0
2014-07-20,10888.1
2014-07-13,10527.0
2014-07-06,10538.8
2014-06-29,11009.4
2014-06-22,10959.9
2014-06-15,11155.1
2014-06-08,11113.7
2014-06-01,11064.3
2014-05-25,10798.7
2014-05-18,10558.9
2014-05-11,10478.7
2014-05-04,10487.2
2014-04-27,10474.5
2014-04-20,10306.2
2014-04-13,10292.4
2014-04-06,10205.4
2014-03-30,10677.2
2014-03-23,10328.9
2014-03-16,10053.1
2014-03-09,9812.0
2014-03-02,10164.2
2014-02-23,10114.2
2014-02-16,10071.0
2014-02-09,10132.8
2014-02-02,10072.4
2014-01-26,9920.2
2014-01-19,9868.9
2014-01-12,10465.7
2014-01-05,10290.6
2013-12-29,9798.0
2013-12-22,9900.1
2013-12-15,9689.9
2013-12-08,9272.7
2013-12-01,9400.5
2013-11-24,9837.6
2013-11-17,9677.4
2013-11-10,9695.9
2013-11-03,9747.2
2013-10-27,9838.3
2013-10-20,9815.5
2013-10-13,10001.8
2013-10-06,9668.5
2013-09-29,9420.9
2013-09-22,9228.4
2013-09-15,9171.8
2013-09-08,8941.6
2013-09-01,8655.0
2013-08-25,8290.5
2013-08-18,8686.8
2013-08-11,8821.3
2013-08-04,8735.5
2013-07-28,8574.0
2013-07-21,8353.6
2013-07-14,7943.2
2013-07-07,7844.7
2013-06-30,7868.4
2013-06-23,7762.7
2013-06-16,7700.2
2013-06-09,8070.9
2013-06-02,8266.6
2013-05-26,8320.6
2013-05-19,8264.6
2013-05-12,8582.4
2013-05-05,8544.5
2013-04-28,8544.8
2013-04-21,8297.0
2013-04-14,7915.5
2013-04-07,8040.4
2013-03-31,7798.4
2013-03-24,7920.0
2013-03-17,8329.5
2013-03-10,8619.1
2013-03-03,8628.1
2013-02-24,8187.1
2013-02-17,8179.0
2013-02-10,8150.2
2013-02-03,8174.9
2013-01-27,8229.7
2013-01-20,8724.6
2013-01-13,8604.0
2013-01-06,8664.7
2012-12-30,8435.8
2012-12-23,8131.0
2012-12-16,8291.0
2012-12-09,8024.1
