"Date","Price","Open","High","Low","Vol.","Change %"
"26.12.2021","16.320,08","16.361,72","16.605,62","16.317,34","-","0,07%"
"19.12.2021","16.308,21","15.571,86","16.360,67","15.508,93","-","3,21%"
"12.12.2021","15.801,46","16.318,72","16.338,19","15.664,78","-","-3,25%"
"05.12.2021","16.331,98","15.746,04","16.412,53","15.560,17","-","3,95%"
"28.11.2021","15.712,04","16.263,30","16.454,01","15.543,49","-","-1,96%"
"21.11.2021","16.025,58","16.645,64","16.764,72","15.990,99","-","-3,31%"
"14.11.2021","16.573,34","16.227,41","16.625,86","16.096,69","-","2,31%"
"07.11.2021","16.199,88","16.353,72","16.401,93","15.905,28","-","-0,97%"
"31.10.2021","16.359,38","15.879,78","16.454,41","15.787,73","-","3,21%"
"24.10.2021","15.850,47","15.416,27","15.856,67","15.339,83","-","3,23%"
"17.10.2021","15.355,07","15.094,17","15.497,58","15.075,26","-","1,37%"
"10.10.2021","15.146,92","14.766,25","15.149,97","14.636,75","-","2,20%"
"03.10.2021","14.820,75","14.715,15","15.010,29","14.384,93","-","0,20%"
"26.09.2021","14.791,87","15.205,79","15.240,01","14.555,42","-","-3,51%"
"19.09.2021","15.329,68","15.072,01","15.356,89","14.821,23","-","-0,02%"
"12.09.2021","15.333,47","15.543,37","15.561,49","15.291,06","696,70M","-0,69%"
"05.09.2021","15.440,75","15.662,30","15.701,40","15.433,43","627,56M","-1,36%"
"29.08.2021","15.652,86","15.460,93","15.696,42","15.459,74","797,17M","1,42%"
"22.08.2021","15.432,95","15.140,14","15.447,03","15.140,14","776,08M","2,26%"
"15.08.2021","15.092,57","15.090,15","15.141,86","14.774,08","-","-0,29%"
"08.08.2021","15.136,68","15.136,63","15.169,34","14.956,78","-","0,18%"
"01.08.2021","15.109,36","15.047,36","15.183,90","14.864,82","-","1,00%"
"25.07.2021","14.959,90","15.089,71","15.142,35","14.788,11","-","-1,01%"
"18.07.2021","15.111,79","14.517,96","15.125,84","14.455,07","940,28M","2,93%"
"11.07.2021","14.681,38","14.878,71","15.002,28","14.667,10","762,13M","-0,98%"
"04.07.2021","14.826,09","14.755,15","14.891,19","14.551,76","655,67M","0,67%"
"27.06.2021","14.727,63","14.401,63","14.738,14","14.400,59","757,66M","2,67%"
"20.06.2021","14.345,18","14.055,04","14.429,14","13.967,89","836,58M","2,10%"
"13.06.2021","14.049,58","14.002,14","14.205,43","13.843,60","1,06B","0,37%"
"06.06.2021","13.998,30","13.744,15","13.998,65","13.710,11","771,76M","1,65%"
"30.05.2021","13.770,78","13.764,27","13.784,77","13.469,85","615,30M","0,62%"
"23.05.2021","13.686,51","13.504,39","13.765,80","13.500,12","934,75M","2,05%"
"16.05.2021","13.411,74","13.329,87","13.573,84","12.994,35","879,27M","0,14%"
"09.05.2021","13.393,12","13.647,73","13.648,49","12.967,18","1,02B","-2,38%"
"02.05.2021","13.719,63","13.923,04","13.955,00","13.396,11","932,24M","-1,02%"
"25.04.2021","13.860,76","13.954,94","14.073,48","13.836,10","936,86M","-0,58%"
"18.04.2021","13.941,44","13.970,83","14.025,64","13.716,76","850,56M","-0,72%"
"11.04.2021","14.041,91","13.792,74","14.050,38","13.747,63","877,19M","1,42%"
"04.04.2021","13.845,05","13.434,04","13.849,31","13.420,81","810,99M","3,87%"
"28.03.2021","13.329,51","12.950,51","13.333,41","12.798,03","807,34M","2,70%"
"21.03.2021","12.979,12","12.943,14","13.180,66","12.627,92","1,09B","0,87%"
"14.03.2021","12.866,99","12.936,13","13.297,48","12.704,07","1,39B","-0,54%"
"07.03.2021","12.937,29","12.629,56","13.117,87","12.287,57","1,14B","2,12%"
"28.02.2021","12.668,51","13.106,02","13.301,62","12.208,39","1,24B","-1,87%"
"21.02.2021","12.909,44","13.414,04","13.447,37","12.758,12","1,27B","-4,94%"
"14.02.2021","13.580,78","13.841,03","13.879,78","13.477,17","694,83M","-1,64%"
"07.02.2021","13.807,70","13.672,33","13.816,25","13.531,93","803,05M","1,50%"
"31.01.2021","13.603,96","13.067,65","13.642,96","12.983,10","939,98M","5,25%"
"24.01.2021","12.925,38","13.515,63","13.563,70","12.845,43","1,28B","-3,30%"
"17.01.2021","13.366,40","12.921,61","13.433,69","12.861,30","798,70M","4,39%"
"10.01.2021","12.803,93","12.961,50","13.037,05","12.758,10","1,03B","-2,30%"
"03.01.2021","13.105,20","12.950,22","13.113,09","12.537,42","1,10B","1,68%"
"27.12.2020","12.888,28","12.813,97","12.925,53","12.747,05","596,03M","1,39%"
"20.12.2020","12.711,01","12.575,60","12.761,23","12.474,03","611,70M","-0,21%"
"13.12.2020","12.738,18","12.427,86","12.793,47","12.426,25","1,45B","2,93%"
"06.12.2020","12.375,41","12.523,57","12.651,35","12.226,13","918,90M","-1,22%"
"29.11.2020","12.528,48","12.278,78","12.538,92","12.090,93","1,11B","2,20%"
"22.11.2020","12.258,21","11.959,89","12.306,71","11.817,53","667,16M","2,95%"
"15.11.2020","11.906,44","11.925,36","12.047,13","11.842,67","980,97M","-0,26%"
"08.11.2020","11.937,84","12.194,71","12.268,66","11.512,46","1,12B","-1,27%"
"01.11.2020","12.091,35","11.152,48","12.117,04","10.957,11","1,04B","9,39%"
"25.10.2020","11.052,95","11.584,17","11.708,08","10.960,02","1,09B","-5,47%"
"18.10.2020","11.692,57","11.913,01","11.962,46","11.529,73","821,08M","-1,35%"
"11.10.2020","11.852,17","11.900,12","12.204,75","11.765,49","963,47M","1,08%"
"04.10.2020","11.725,85","11.345,24","11.727,60","11.256,26","857,22M","4,18%"
"27.09.2020","11.255,69","11.332,32","11.606,73","11.225,17","1,04B","0,94%"
"20.09.2020","11.151,13","10.768,01","11.207,08","10.677,85","1,17B","1,96%"
"13.09.2020","10.936,98","11.250,80","11.495,40","10.769,39","1,48B","-1,36%"
"06.09.2020","11.087,40","11.143,91","11.566,34","10.945,22","1,08B","-4,60%"
"30.08.2020","11.622,13","12.017,46","12.439,48","11.145,99","1,52B","-3,12%"
"23.08.2020","11.995,86","11.703,34","12.047,99","11.535,55","862,75M","3,81%"
"16.08.2020","11.555,16","11.231,97","11.574,79","11.228,14","820,26M","3,50%"
"09.08.2020","11.164,45","11.153,51","11.271,22","10.855,06","854,47M","0,22%"
"02.08.2020","11.139,39","11.018,02","11.282,24","10.997,67","874,96M","2,14%"
"26.07.2020","10.905,88","10.547,11","10.908,34","10.527,43","995,27M","4,03%"
"19.07.2020","10.483,13","10.672,96","11.017,43","10.313,94","998,67M","-1,52%"
"12.07.2020","10.645,22","10.951,54","11.069,26","10.370,79","945,53M","-1,76%"
"05.07.2020","10.836,33","10.487,70","10.842,78","10.485,82","844,61M","4,78%"
"28.06.2020","10.341,89","9.850,54","10.432,55","9.742,89","741,54M","5,00%"
"21.06.2020","9.849,36","10.009,00","10.306,90","9.837,74","1,18B","-1,59%"
"14.06.2020","10.008,64","9.517,14","10.121,67","9.489,58","1,32B","3,57%"
"07.06.2020","9.663,78","9.805,69","10.155,20","9.499,09","1,17B","-1,63%"
"31.05.2020","9.824,39","9.526,43","9.846,63","9.511,88","1,04B","2,81%"
"24.05.2020","9.555,53","9.570,53","9.573,55","9.182,45","1,01B","1,50%"
"17.05.2020","9.413,99","9.281,36","9.515,05","9.248,78","921,05M","2,86%"
"10.05.2020","9.152,64","9.155,21","9.354,45","8.860,77","1,06B","-0,73%"
"03.05.2020","9.220,35","8.683,94","9.224,49","8.665,40","869,15M","5,76%"
"26.04.2020","8.718,18","8.865,58","9.025,82","8.668,67","1,14B","-0,78%"
"19.04.2020","8.786,60","8.742,54","8.855,18","8.359,84","1,05B","-0,52%"
"12.04.2020","8.832,41","8.209,68","8.879,24","8.158,58","1,18B","7,21%"
"05.04.2020","8.238,53","7.819,06","8.334,23","7.763,09","1,09B","9,44%"
"29.03.2020","7.528,11","7.678,83","8.011,60","7.423,97","1,30B","-0,79%"
"22.03.2020","7.588,37","6.952,71","7.913,11","6.771,91","1,72B","8,49%"
"15.03.2020","6.994,29","7.502,26","7.563,45","6.837,53","2,16B","-12,52%"
"08.03.2020","7.995,26","7.912,14","8.376,44","7.255,62","1,91B","-6,27%"
"01.03.2020","8.530,34","8.569,91","9.000,46","8.319,90","1,53B","0,81%"
"23.02.2020","8.461,83","9.055,30","9.194,91","8.133,85","1,63B","-10,43%"
"16.02.2020","9.446,69","9.567,28","9.736,57","9.406,38","662,19M","-1,84%"
"09.02.2020","9.623,58","9.373,20","9.636,41","9.373,20","780,58M","2,37%"
"02.02.2020","9.401,10","9.033,52","9.453,24","9.031,07","896,13M","4,56%"
"26.01.2020","8.991,51","8.913,16","9.170,22","8.910,97","923,52M","-1,64%"
"19.01.2020","9.141,47","9.145,64","9.272,37","9.101,44","700,84M","-0,35%"
"12.01.2020","9.173,73","9.007,94","9.176,47","8.991,35","775,57M","2,31%"
"05.01.2020","8.966,64","8.713,89","9.024,87","8.713,89","743,27M","1,96%"
"29.12.2019","8.793,90","8.766,39","8.873,63","8.671,92","514,18M","0,26%"
"22.12.2019","8.770,98","8.703,06","8.811,10","8.684,12","375,03M","1,07%"
"15.12.2019","8.678,49","8.544,26","8.687,66","8.542,42","1,13B","2,25%"
"08.12.2019","8.487,71","8.388,75","8.517,52","8.339,37","755,19M","1,08%"
"01.12.2019","8.397,37","8.409,87","8.409,87","8.167,35","697,90M","-0,08%"
"24.11.2019","8.403,68","8.309,55","8.445,61","8.309,55","582,64M","1,59%"
"17.11.2019","8.272,05","8.303,22","8.357,80","8.226,25","849,65M","-0,52%"
"10.11.2019","8.315,52","8.212,37","8.315,90","8.202,36","695,27M","0,72%"
"03.11.2019","8.255,89","8.218,93","8.271,82","8.157,36","751,01M","1,16%"
"27.10.2019","8.161,17","8.071,39","8.161,98","8.017,92","760,19M","1,64%"
"20.10.2019","8.029,22","7.911,58","8.033,29","7.845,09","717,76M","2,04%"
"13.10.2019","7.868,49","7.834,75","7.981,14","7.827,16","673,44M","0,31%"
