Date,Price
2022-02-27,13837.83
2022-02-20,14189.16
2022-02-13,14009.54
2022-02-06,14253.84
2022-01-30,14694.35
2022-01-23,14454.61
2022-01-16,14438.4
2022-01-09,15611.59
2022-01-02,15592.19
2021-12-26,16320.08
2021-12-19,16308.21
2021-12-12,15801.46
2021-12-05,16331.98
2021-11-28,15712.04
2021-11-21,16025.58
2021-11-14,16573.34
2021-11-07,16199.88
2021-10-31,16359.38
2021-10-24,15850.47
2021-10-17,15355.07
2021-10-10,15146.92
2021-10-03,14820.75
2021-09-26,14791.87
2021-09-19,15329.68
2021-09-12,15333.47
2021-09-05,15440.75
2021-08-29,15652.86
2021-08-22,15432.95
2021-08-15,15092.57
2021-08-08,15136.68
2021-08-01,15109.36
2021-07-25,14959.9
2021-07-18,15111.79
2021-07-11,14681.38
2021-07-04,14826.09
2021-06-27,14727.63
2021-06-20,14345.18
2021-06-13,14049.58
2021-06-06,13998.3
2021-05-30,13770.78
2021-05-23,13686.51
2021-05-16,13411.74
2021-05-09,13393.12
2021-05-02,13719.63
2021-04-25,13860.76
2021-04-18,13941.44
2021-04-11,14041.91
2021-04-04,13845.05
2021-03-28,13329.51
2021-03-21,12979.12
2021-03-14,12866.99
2021-03-07,12937.29
2021-02-28,12668.51
2021-02-21,12909.44
2021-02-14,13580.78
2021-02-07,13807.7
2021-01-31,13603.96
2021-01-24,12925.38
2021-01-17,13366.4
2021-01-10,12803.93
2021-01-03,13105.2
2020-12-27,12888.28
2020-12-20,12711.01
2020-12-13,12738.18
2020-12-06,12375.41
2020-11-29,12528.48
2020-11-22,12258.21
2020-11-15,11906.44
2020-11-08,11937.84
2020-11-01,12091.35
2020-10-25,11052.95
2020-10-18,11692.57
2020-10-11,11852.17
2020-10-04,11725.85
2020-09-27,11255.69
2020-09-20,11151.13
2020-09-13,10936.98
2020-09-06,11087.4
2020-08-30,11622.13
2020-08-23,11995.86
2020-08-16,11555.16
2020-08-09,11164.45
2020-08-02,11139.39
2020-07-26,10905.88
2020-07-19,10483.13
2020-07-12,10645.22
2020-07-05,10836.33
2020-06-28,10341.89
2020-06-21,9849.36
2020-06-14,10008.64
2020-06-07,9663.78
2020-05-31,9824.39
2020-05-24,9555.53
2020-05-17,9413.99
2020-05-10,9152.64
2020-05-03,9220.35
2020-04-26,8718.18
2020-04-19,8786.6
2020-04-12,8832.41
2020-04-05,8238.53
2020-03-29,7528.11
2020-03-22,7588.37
2020-03-15,6994.29
2020-03-08,7995.26
2020-03-01,8530.34
2020-02-23,8461.83
2020-02-16,9446.69
2020-02-09,9623.58
2020-02-02,9401.1
2020-01-26,8991.51
2020-01-19,9141.47
2020-01-12,9173.73
2020-01-05,8966.64
2019-12-29,8793.9
2019-12-22,8770.98
2019-12-15,8678.49
2019-12-08,8487.71
2019-12-01,8397.37
2019-11-24,8403.68
2019-11-17,8272.05
2019-11-10,8315.52
2019-11-03,8255.89
2019-10-27,8161.17
2019-10-20,8029.22
2019-10-13,7868.49
2019-10-06,7843.88
2019-09-29,7754.1
2019-09-22,7681.58
2019-09-15,7823.55
2019-09-08,7892.96
2019-09-01,7852.54
