"Date","Price","Open","High","Low","Vol.","Change %"
"30.01.1983","891,3","885,5","891,3","873,5","-","1,13%"
"23.01.1983","881,3","855,6","881,3","855,6","-","0,20%"
"16.01.1983","879,5","896,5","896,5","879,5","-","-1,76%"
"09.01.1983","895,3","894,8","895,3","889,4","-","1,20%"
"02.01.1983","884,7","843,7","885,1","843,7","-","3,26%"
"26.12.1982","856,8","863,1","863,1","854,3","-","-0,73%"
"19.12.1982","863,1","830,5","863,1","830,5","-","3,07%"
"12.12.1982","837,4","853,0","853,0","825,2","-","-1,60%"
"05.12.1982","851,1","862,9","868,4","851,1","-","0,55%"
"28.11.1982","846,4","821,9","847,3","821,9","-","2,44%"
"21.11.1982","826,2","823,2","826,2","815,5","-","-1,49%"
"14.11.1982","838,7","838,7","845,7","827,9","-","-1,71%"
"07.11.1982","853,3","855,8","870,8","853,3","-","-1,38%"
"31.10.1982","865,3","823,9","867,6","823,9","-","6,34%"
"24.10.1982","813,7","810,5","821,4","810,5","-","-3,43%"
"17.10.1982","842,5","829,0","843,8","828,5","-","3,83%"
"10.10.1982","811,4","813,2","827,9","811,4","-","2,32%"
"03.10.1982","793,0","737,7","793,0","737,7","-","7,13%"
"26.09.1982","740,3","749,5","749,5","731,5","-","-1,05%"
"19.09.1982","748,1","742,8","755,9","742,8","-","0,58%"
"12.09.1982","743,8","740,5","752,7","740,5","-","1,34%"
"05.09.1982","733,9","735,5","740,4","733,9","-","-1,21%"
"29.08.1982","742,9","713,9","742,9","713,9","-","4,51%"
"22.08.1982","710,9","701,7","719,1","698,9","-","3,99%"
"15.08.1982","683,6","631,8","683,6","631,8","-","8,58%"
"08.08.1982","629,6","626,5","629,6","621,7","-","-0,25%"
"01.08.1982","631,2","660,8","660,8","631,2","-","-2,96%"
"25.07.1982","650,4","669,8","669,8","650,4","-","-3,59%"
"18.07.1982","674,6","671,8","676,2","671,8","-","0,20%"
"11.07.1982","673,2","665,7","673,2","665,1","-","1,64%"
"04.07.1982","662,3","653,3","662,3","652,4","-","1,05%"
"27.06.1982","655,5","669,2","669,2","655,5","-","-1,16%"
"20.06.1982","663,2","652,7","668,9","652,7","-","1,59%"
"13.06.1982","652,8","668,8","668,8","652,8","-","-3,44%"
"06.06.1982","676,1","670,0","676,1","662,8","-","0,82%"
"30.05.1982","670,6","680,6","682,5","670,6","-","-1,75%"
"23.05.1982","682,5","699,7","699,7","682,5","-","-2,58%"
"16.05.1982","700,6","712,3","712,3","698,8","-","-2,72%"
"09.05.1982","720,2","721,3","727,5","720,2","-","-0,94%"
"02.05.1982","727,0","711,2","727,0","711,2","-","2,50%"
"25.04.1982","709,3","725,3","725,3","707,9","-","-1,71%"
"18.04.1982","721,7","710,5","721,7","703,7","-","1,47%"
"11.04.1982","711,2","705,9","711,2","705,0","-","0,75%"
"04.04.1982","705,9","698,3","707,3","698,3","-","0,82%"
"28.03.1982","700,2","683,6","700,2","682,2","-","2,62%"
"21.03.1982","682,3","685,8","690,5","682,3","-","1,43%"
"14.03.1982","672,7","664,9","672,7","663,4","-","1,76%"
"07.03.1982","661,1","655,9","666,6","655,9","-","-0,98%"
"28.02.1982","667,6","691,9","691,9","667,6","-","-3,35%"
"21.02.1982","690,8","682,5","692,0","681,4","-","-0,15%"
"14.02.1982","691,8","696,5","696,5","691,8","-","-1,00%"
"07.02.1982","698,8","701,3","701,3","695,1","-","-2,51%"
