Date,Price
2022-02-27,16129.7
2022-02-20,16428.0
2022-02-13,16392.3
2022-02-06,16665.0
2022-01-30,16701.6
2022-01-23,16397.9
2022-01-16,16397.3
2022-01-09,17219.1
2022-01-02,17166.3
2021-12-26,17164.1
2021-12-19,16963.4
2021-12-12,16668.6
2021-12-05,16856.6
2021-11-28,16347.9
2021-11-21,16624.9
2021-11-14,16974.0
2021-11-07,17297.7
2021-10-31,17242.4
2021-10-24,17016.4
2021-10-17,17122.2
2021-10-10,16871.7
2021-10-03,16517.2
2021-09-26,16323.7
2021-09-19,16539.2
2021-09-12,16460.3
2021-09-05,16563.5
2021-08-29,16909.7
2021-08-22,16844.8
2021-08-15,16516.7
2021-08-08,16868.1
2021-08-01,16748.1
2021-07-25,16602.3
2021-07-18,16552.4
2021-07-11,16364.7
2021-07-04,16633.3
2021-06-27,16674.8
2021-06-20,16658.8
2021-06-13,16144.0
2021-06-06,16694.9
2021-05-30,16708.7
2021-05-23,16555.7
2021-05-16,16375.0
2021-05-09,16415.4
2021-05-02,16590.4
2021-04-25,16219.3
2021-04-18,16206.0
2021-04-11,16186.3
2021-04-04,15956.4
2021-03-28,15752.2
2021-03-21,15682.5
2021-03-14,15562.3
2021-03-07,15715.2
2021-02-28,15251.8
2021-02-21,15010.5
2021-02-14,15362.7
2021-02-07,15369.6
2021-01-31,15069.6
2021-01-24,14397.2
2021-01-17,14951.8
2021-01-10,14894.2
2021-01-03,14966.8
2020-12-27,14524.8
2020-12-20,14382.5
2020-12-13,14467.8
2020-12-06,14355.3
2020-11-29,14417.3
2020-11-22,14198.5
2020-11-15,13827.0
2020-11-08,13761.3
2020-11-01,13218.7
2020-10-25,12429.3
2020-10-18,13199.9
2020-10-11,13169.3
2020-10-04,13252.6
2020-09-27,12749.8
2020-09-20,12485.4
2020-09-13,12833.6
2020-09-06,12773.0
2020-08-30,12917.2
2020-08-23,13171.0
2020-08-16,12809.1
2020-08-09,12902.5
2020-08-02,12765.8
2020-07-26,12465.0
2020-07-19,12461.8
2020-07-12,12402.7
2020-07-05,12075.6
2020-06-28,11991.5
2020-06-21,11604.4
2020-06-14,11980.1
2020-06-07,11867.2
2020-05-31,12641.4
2020-05-24,11803.0
2020-05-17,11332.0
2020-05-10,10947.3
2020-05-03,11354.3
2020-04-26,11058.6
2020-04-19,11017.9
2020-04-12,11208.3
2020-04-05,11136.6
2020-03-29,9880.6
2020-03-22,10187.2
2020-03-15,9133.2
2020-03-08,10852.0
2020-03-01,12352.0
2020-02-23,12381.0
2020-02-16,13975.8
2020-02-09,14097.3
2020-02-02,13931.9
2020-01-26,13614.1
2020-01-19,13978.5
2020-01-12,14183.2
2020-01-05,13958.0
2019-12-29,13917.0
2019-12-22,13944.1
2019-12-15,13889.3
2019-12-08,13697.3
2019-12-01,13588.3
2019-11-24,13545.2
2019-11-17,13441.0
2019-11-10,13493.0
2019-11-03,13407.8
2019-10-27,13300.3
2019-10-20,13146.2
2019-10-13,13006.6
2019-10-06,12926.9
2019-09-29,12831.5
2019-09-22,12972.0
2019-09-15,13093.8
2019-09-08,13124.3
2019-09-01,12933.4
2019-08-25,12736.9
2019-08-18,12416.5
2019-08-11,12580.4
2019-08-04,12748.4
2019-07-28,12839.5
2019-07-21,13235.5
2019-07-14,13112.0
2019-07-07,13234.8
2019-06-30,13210.9
2019-06-23,13049.7
2019-06-16,13047.2
2019-06-09,12787.2
2019-06-02,12765.9
2019-05-26,12264.5
2019-05-19,12581.4
2019-05-12,12657.6
2019-05-05,12788.1
2019-04-28,13037.9
2019-04-21,12991.2
2019-04-14,12922.7
2019-04-07,12969.5
2019-03-31,12927.7
2019-03-24,12696.9
2019-03-17,12539.4
2019-03-10,12715.8
2019-03-03,12415.1
2019-02-24,12700.7
2019-02-17,12694.5
2019-02-10,12603.5
2019-02-03,12292.1
2019-01-27,12329.7
2019-01-20,12127.3
2019-01-13,12151.8
2019-01-06,11848.0
2018-12-30,11533.3
2018-12-23,11291.0
2018-12-16,11036.8
2018-12-09,11755.4
2018-12-02,11941.9
2018-11-25,12457.5
2018-11-18,12036.2
2018-11-11,12400.3
2018-11-04,12537.5
2018-10-28,12321.8
2018-10-21,11977.0
2018-10-14,12457.3
2018-10-07,12439.4
2018-09-30,12992.0
2018-09-23,13082.5
2018-09-16,13236.4
2018-09-09,13050.5
2018-09-02,12911.1
2018-08-26,13016.9
2018-08-19,12999.4
2018-08-12,12908.3
