"Date","Price","Open","High","Low","Vol.","Change %"
"26.02.1984","159,24","157,51","159,90","156,41","473,24M","1,10%"
"19.02.1984","157,51","155,71","157,51","152,13","364,81M","1,14%"
"12.02.1984","155,74","156,30","157,48","154,13","423,48M","-0,36%"
"05.02.1984","156,30","160,91","160,91","154,30","534,03M","-2,86%"
"29.01.1984","160,91","164,40","164,67","160,82","544,16M","-1,85%"
"22.01.1984","163,94","166,21","167,12","163,07","513,35M","-1,37%"
"15.01.1984","166,21","167,02","168,34","165,87","487,25M","-0,48%"
"08.01.1984","167,02","169,18","169,54","166,64","516,53M","-1,34%"
"01.01.1984","169,28","164,93","169,31","163,98","481,90M","2,64%"
"25.12.1983","164,93","163,22","165,84","163,22","307,86M","1,05%"
"18.12.1983","163,22","162,34","164,18","161,64","435,97M","0,51%"
"11.12.1983","162,39","165,13","165,63","161,58","425,60M","-1,63%"
"04.12.1983","165,08","165,44","166,34","164,50","478,50M","-0,22%"
"27.11.1983","165,44","167,20","168,07","165,25","499,73M","-1,04%"
"20.11.1983","167,18","165,04","167,26","165,00","381,19M","1,27%"
"13.11.1983","165,09","166,29","167,58","164,50","417,12M","-0,72%"
"06.11.1983","166,29","162,42","166,30","161,63","380,40M","2,37%"
"30.10.1983","162,44","163,37","165,21","162,22","416,56M","-0,57%"
"23.10.1983","163,37","165,85","167,15","163,23","408,27M","-1,55%"
"16.10.1983","165,95","169,85","171,18","164,98","454,24M","-2,30%"
"09.10.1983","169,86","170,77","172,65","169,13","361,54M","-0,55%"
"02.10.1983","170,80","165,99","171,10","164,93","491,11M","2,85%"
"25.09.1983","166,07","169,53","170,41","165,63","387,91M","-2,03%"
"18.09.1983","169,51","166,27","170,17","166,26","470,19M","1,96%"
"11.09.1983","166,25","166,95","169,20","164,17","407,31M","-0,40%"
"04.09.1983","166,92","165,20","168,48","165,03","338,98M","1,16%"
"28.08.1983","165,00","162,14","165,07","160,97","331,62M","1,76%"
"21.08.1983","162,14","164,18","165,64","159,96","347,21M","-1,12%"
"14.08.1983","163,98","162,22","165,91","162,22","384,01M","1,12%"
"07.08.1983","162,16","161,73","162,60","158,50","378,25M","0,26%"
"31.07.1983","161,74","162,34","163,44","159,63","400,76M","-0,50%"
"24.07.1983","162,56","167,67","170,72","161,50","437,90M","-3,75%"
"17.07.1983","168,89","164,28","169,80","163,30","423,13M","2,80%"
"10.07.1983","164,29","167,09","168,11","164,03","347,39M","-1,67%"
"03.07.1983","167,08","166,55","169,15","165,80","316,64M","-0,93%"
"26.06.1983","168,64","170,40","170,46","165,43","375,09M","-1,04%"
