"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2022","4,319.94","4,319.93","4,320.30","4,319.93","-","-0.21%"
"Feb 27, 2022","4,328.87","4,326.72","4,416.60","4,280.04","-","-1.27%"
"Feb 20, 2022","4,384.62","4,329.23","4,385.80","4,114.50","-","0.82%"
"Feb 13, 2022","4,348.87","4,410.70","4,489.40","4,326.99","-","-1.58%"
"Feb 06, 2022","4,418.64","4,510.20","4,589.70","4,401.00","-","-1.82%"
"Jan 30, 2022","4,500.54","4,423.30","4,595.10","4,411.09","-","1.55%"
"Jan 23, 2022","4,431.85","4,328.40","4,454.10","4,221.54","-","0.77%"
"Jan 16, 2022","4,397.93","4,612.60","4,614.40","4,395.00","-","-5.68%"
"Jan 09, 2022","4,662.85","4,642.60","4,748.61","4,581.80","-","-0.30%"
"Jan 02, 2022","4,677.02","4,781.00","4,817.88","4,662.75","-","-1.87%"
