Date,Price
2022-03-06,4319.94
2022-02-27,4328.87
2022-02-20,4384.62
2022-02-13,4348.87
2022-02-06,4418.64
2022-01-30,4500.54
2022-01-23,4431.85
2022-01-16,4397.93
2022-01-09,4662.85
2022-01-02,4677.02
2021-12-26,4766.18
2021-12-19,4725.78
2021-12-12,4620.64
2021-12-05,4712.02
2021-11-28,4538.43
2021-11-21,4594.62
2021-11-14,4697.96
2021-11-07,4682.85
2021-10-31,4697.53
2021-10-24,4605.38
2021-10-17,4544.9
2021-10-10,4471.37
2021-10-03,4391.36
2021-09-26,4357.05
2021-09-19,4455.48
2021-09-12,4432.99
2021-09-05,4458.58
2021-08-29,4535.43
2021-08-22,4509.37
2021-08-15,4441.67
2021-08-08,4468.0
2021-08-01,4436.52
2021-07-25,4395.26
2021-07-18,4411.8
2021-07-11,4327.16
2021-07-04,4369.55
2021-06-27,4352.34
2021-06-20,4280.7
2021-06-13,4166.45
2021-06-06,4247.44
2021-05-30,4229.89
2021-05-23,4204.11
2021-05-16,4155.86
2021-05-09,4173.85
2021-05-02,4232.6
2021-04-25,4181.17
2021-04-18,4180.17
2021-04-11,4185.47
2021-04-04,4128.8
2021-03-28,4019.87
2021-03-21,3974.54
2021-03-14,3913.1
2021-03-07,3943.34
2021-02-28,3841.94
2021-02-21,3811.15
2021-02-14,3906.71
2021-02-07,3934.83
2021-01-31,3886.83
2021-01-24,3714.24
2021-01-17,3841.47
2021-01-10,3768.25
2021-01-03,3824.68
2020-12-27,3756.07
2020-12-20,3703.06
2020-12-13,3709.41
2020-12-06,3663.46
2020-11-29,3699.12
2020-11-22,3638.35
2020-11-15,3557.54
2020-11-08,3585.15
2020-11-01,3509.44
2020-10-25,3269.96
2020-10-18,3465.39
2020-10-11,3483.81
2020-10-04,3477.13
2020-09-27,3348.44
2020-09-20,3298.46
2020-09-13,3319.47
2020-09-06,3340.97
2020-08-30,3426.96
2020-08-23,3508.01
2020-08-16,3397.16
2020-08-09,3372.85
2020-08-02,3351.28
2020-07-26,3271.12
2020-07-19,3215.63
2020-07-12,3224.73
2020-07-05,3185.04
2020-06-28,3130.01
2020-06-21,3009.05
2020-06-14,3097.74
2020-06-07,3041.31
2020-05-31,3193.93
2020-05-24,3044.31
2020-05-17,2955.45
2020-05-10,2863.7
2020-05-03,2929.8
2020-04-26,2830.71
2020-04-19,2836.74
2020-04-12,2874.56
2020-04-05,2789.82
2020-03-29,2488.65
2020-03-22,2541.47
2020-03-15,2304.92
2020-03-08,2711.02
2020-03-01,2972.37
2020-02-23,2954.22
2020-02-16,3337.75
2020-02-09,3380.16
2020-02-02,3327.71
2020-01-26,3225.52
2020-01-19,3295.47
2020-01-12,3329.62
2020-01-05,3265.35
2019-12-29,3234.85
2019-12-22,3240.02
2019-12-15,3221.22
2019-12-08,3168.8
2019-12-01,3145.91
2019-11-24,3140.98
2019-11-17,3110.29
2019-11-10,3120.46
2019-11-03,3093.08
2019-10-27,3066.91
2019-10-20,3022.55
2019-10-13,2986.2
2019-10-06,2970.27
2019-09-29,2952.01
2019-09-22,2961.79
2019-09-15,2992.07
2019-09-08,3007.39
2019-09-01,2978.71
2019-08-25,2926.46
2019-08-18,2847.11
2019-08-11,2888.68
2019-08-04,2918.65
2019-07-28,2932.05
2019-07-21,3025.86
2019-07-14,2976.61
2019-07-07,3013.77
2019-06-30,2990.41
2019-06-23,2941.76
2019-06-16,2950.46
2019-06-09,2886.98
2019-06-02,2873.34
2019-05-26,2752.06
2019-05-19,2826.06
2019-05-12,2859.53
2019-05-05,2881.4
2019-04-28,2945.64
2019-04-21,2939.88
2019-04-14,2905.03
2019-04-07,2907.41
2019-03-31,2892.74
2019-03-24,2834.4
2019-03-17,2800.71
2019-03-10,2822.48
2019-03-03,2743.07
2019-02-24,2803.69
2019-02-17,2792.67
2019-02-10,2775.6
2019-02-03,2707.88
2019-01-27,2706.53
2019-01-20,2664.76
2019-01-13,2670.71
2019-01-06,2596.26
2018-12-30,2531.94
2018-12-23,2485.74
2018-12-16,2416.62
2018-12-09,2599.95
2018-12-02,2633.08
2018-11-25,2760.17
2018-11-18,2632.56
2018-11-11,2736.27
2018-11-04,2781.01
2018-10-28,2723.06
2018-10-21,2658.69
2018-10-14,2767.78
2018-10-07,2767.13
2018-09-30,2885.57
2018-09-23,2913.98
2018-09-16,2929.67
2018-09-09,2904.98
2018-09-02,2871.68
2018-08-26,2901.52
2018-08-19,2874.69
2018-08-12,2850.13
2018-08-05,2833.28
2018-07-29,2840.35
2018-07-22,2818.82
2018-07-15,2801.83
2018-07-08,2801.31
2018-07-01,2759.82
2018-06-24,2718.37
2018-06-17,2754.88
2018-06-10,2779.66
2018-06-03,2779.03
2018-05-27,2734.62
2018-05-20,2721.33
2018-05-13,2712.97
2018-05-06,2727.72
2018-04-29,2663.42
2018-04-22,2669.91
2018-04-15,2670.14
2018-04-08,2656.3
2018-04-01,2604.47
2018-03-25,2640.87
2018-03-18,2588.26
2018-03-11,2752.01
2018-03-04,2786.57
2018-02-25,2691.25
2018-02-18,2747.3
2018-02-11,2732.22
2018-02-04,2619.55
2018-01-28,2762.13
2018-01-21,2872.87
2018-01-14,2810.3
2018-01-07,2786.24
2017-12-31,2743.15
2017-12-24,2673.61
2017-12-17,2683.34
2017-12-10,2675.81
2017-12-03,2651.5
2017-11-26,2642.22
2017-11-19,2602.42
2017-11-12,2578.85
2017-11-05,2582.3
2017-10-29,2587.84
2017-10-22,2581.07
2017-10-15,2575.21
2017-10-08,2553.17
2017-10-01,2549.33
2017-09-24,2519.36
2017-09-17,2502.22
2017-09-10,2500.23
2017-09-03,2461.43
2017-08-27,2476.55
2017-08-20,2443.05
2017-08-13,2425.55
2017-08-06,2441.32
2017-07-30,2476.83
2017-07-23,2472.1
2017-07-16,2472.54
2017-07-09,2459.27
2017-07-02,2425.18
2017-06-25,2423.41
2017-06-18,2438.3
2017-06-11,2433.15
2017-06-04,2431.77
2017-05-28,2439.07
2017-05-21,2415.82
2017-05-14,2381.73
2017-05-07,2390.9
2017-04-30,2399.29
2017-04-23,2384.2
2017-04-16,2348.69
2017-04-09,2328.95
2017-04-02,2355.54
2017-03-26,2362.72
2017-03-19,2343.98
2017-03-12,2378.25
2017-03-05,2372.6
2017-02-26,2383.12
2017-02-19,2367.34
2017-02-12,2351.16
2017-02-05,2316.1
2017-01-29,2297.42
2017-01-22,2294.69
2017-01-15,2271.31
2017-01-08,2274.64
2017-01-01,2276.98
2016-12-25,2238.83
2016-12-18,2263.79
2016-12-11,2258.07
2016-12-04,2259.53
2016-11-27,2191.95
2016-11-20,2213.35
2016-11-13,2181.9
2016-11-06,2164.45
2016-10-30,2085.18
2016-10-23,2126.41
2016-10-16,2141.16
2016-10-09,2132.98
2016-10-02,2153.74
2016-09-25,2168.27
2016-09-18,2164.69
2016-09-11,2139.16
2016-09-04,2127.81
2016-08-28,2179.98
2016-08-21,2169.04
2016-08-14,2183.87
2016-08-07,2184.05
2016-07-31,2182.87
2016-07-24,2173.6
2016-07-17,2175.03
2016-07-10,2161.74
2016-07-03,2129.9
2016-06-26,2102.95
2016-06-19,2037.41
2016-06-12,2071.22
2016-06-05,2096.07
2016-05-29,2099.13
2016-05-22,2099.06
2016-05-15,2052.32
2016-05-08,2046.61
2016-05-01,2057.14
2016-04-24,2065.3
2016-04-17,2091.58
2016-04-10,2080.73
2016-04-03,2047.6
2016-03-27,2072.78
2016-03-20,2035.94
2016-03-13,2049.58
2016-03-06,2022.19
2016-02-28,1999.99
2016-02-21,1948.05
2016-02-14,1917.78
2016-02-07,1864.78
2016-01-31,1880.05
2016-01-24,1940.24
2016-01-17,1906.9
2016-01-10,1880.33
2016-01-03,1922.03
2015-12-27,2043.94
2015-12-20,2060.99
2015-12-13,2005.55
2015-12-06,2012.37
2015-11-29,2091.69
2015-11-22,2090.11
2015-11-15,2089.17
2015-11-08,2023.04
2015-11-01,2099.2
2015-10-25,2079.36
2015-10-18,2075.15
2015-10-11,2033.11
2015-10-04,2014.89
2015-09-27,1951.36
2015-09-20,1931.34
2015-09-13,1958.03
2015-09-06,1961.05
2015-08-30,1921.22
2015-08-23,1988.87
2015-08-16,1970.89
2015-08-09,2091.54
2015-08-02,2077.57
2015-07-26,2103.84
2015-07-19,2079.65
2015-07-12,2126.64
2015-07-05,2076.62
2015-06-28,2076.78
2015-06-21,2101.49
2015-06-14,2109.99
2015-06-07,2094.11
2015-05-31,2092.83
2015-05-24,2107.39
2015-05-17,2126.06
